instruction,response,category
شكونو زياد التايب وشنوة عمل في ناسا؟ وكيفاش أثر هذا على تونس؟,"زياد التايب ولد المظيلة، مهندس تونسي نابغة خدم مع ناسا في 2019. صمم منظومة ذكاء اصطناعي تخلي الروبوتات تحس بالمحيط متاعها كيف الإنسان، والمشروع متاعه طلع من أحسن 10 مشاريع في العالم.
تأثيره:
• عطى أمل كبير للشباب التونسي اللي 'المستحيل مش تونسي'.
• شجع الدولة باش تلتفت أكثر لعلوم الفضاء.
• هو توة يحب يحل فرع للشركة متاعه في تونس باش يعاون المهندسين الصغار.",cultural_knowledge
تنجم تقلي كيفاش عاونت روسيا تونس باش تطلع القمر الصناعي تحدي 1؟,روسيا عاونتنا بالصاروخ متاعها 'Soyouz2' اللي هو من أقوى وأصح الصواريخ في العالم. الإطلاق صار من قاعدة 'بايكونور' في كازاخستان، والخبراء الروس وفروا كل الظروف التقنية باش القمر التونسي يوصل لمداره بسلام.,cultural_knowledge
الـ فأرة الحاسوب متاع الـ Laptop ما عادش تحرك، كيفاش نرجعها؟,"ساعات تتسكر بالغالط:
1. ثبت في الكيبورد فماش قفلة فيها رسمة 'Touchpad' (الاكثرية تكون F5 ولا F9)، انزل عليها مع زر 'Fn'.
2. ادخل للـ 'Settings' > 'Devices' > 'Touchpad' وثبت اللي هي 'On'.
3. ساعات فما نقطة صغيرة في زاوية الـ Touchpad، انزل عليها مرتين ورا بعضهم توة تتحل.
4. جرب ركب 'فأرة الحاسوب USB' خارجية وشوفها تمشي ولا لا.",task_oriented
شنوة الفرق بين دمّلة بجنب المخرج، والتهاب جلدة عادي؟,الدمّلة (خراج / دُمَّل) تكون وجيعتها 'تنبض' ومحجرة ومعبية بالقِحة، وتحتاج فتح. أما الالتهاب يكون مجرد حمورية وحكة وتبرى بالمضاد والتعقيم.,advice_guidance
شنوّة الفرق العلمي بين الألماس و الفحم؟ ياخي بالرسمي الزوز أصلهم واحد؟,إيه نعم، الزوز مخدومين من نفس المادة اللي هي **الكربون**. الفرق الوحيد هو 'التستيفة' (Structure) والظروف. الفحم يتكون في ضغط عادي، أما الألماس يتكون في أعماق الأرض تحت ضغط خيالي وسخانة قوية برشة تخلي ذرات الكربون تشد في بعضها بطريقة صلبة ومستحيلة تتكسر. يعني الألماس هو مجرد فحم 'صبر' على الضغط!,general_knowledge
شنوة هو المرڨوم وشنوة فرقه على الزربية؟,المرڨوم والزربية الزوز منسوجات صوفية، أما الفرق في 'النقشة'. الزربية تكون فيها 'الڨطيفة' (الصوف عالي) وفي العادة تكون منقوشة بصور ولا أشكال هندسية معقدة. أما 'المرڨوم' فيكون 'شايح' (من غير ڨطيفة) ويمتاز بالأشكال الهندسية البسيطة والمثلثات اللي تتسمى 'الرڨمة'. المرڨوم أخف ويستعمل برشا في الديكور الصيفي وفي بيوت القيروان والجنوب.,cultural_knowledge
احكيلي على الفسقية الأغلبية في القيروان؟,الفسقيات هي أحواض مائية ضخمة بناوها الأغالبة في القرن التاسع (862م) باش يخزنوا ماء المطر ويوصلوه للمدينة. هي أكبر منشأة مائية في العصر الإسلامي الوسيط. الفسقية الكبيرة فيها 'فسقية' صغيرة في وسطها للتصفية، وهي لليوم شاهدة على ذكاء التوانسة في التحكم في الثروة المائية في منطقة شبه جافة.,cultural_knowledge
تنجم تقلي شنوّة يتقال لواحد يحب يخبّي الحقيقة الواضحة للناس الكل بكلام فارغ ومغالطات؟,يقولوا 'الشَّمْسْ مَا تِتْغَطَّاشْ بِالْغَرْبَالْ'. يعني الحقيقة الواضحة والقوية مهما حاولت تخبيها ولا تزيّفها، باش تقعد باينة للناس الكل وما تنجمش تغالطهم للأبد.,cultural_knowledge
شنوة الفرق بين الضغط الانقباضي والانبساطي اللي ديما يحكيو عليهم؟,الضغط الانقباضي (الرقم الكبير) هو قوة دفع الدم كِي القلب يدق، والانبساطي (الرقم الصغير) هو الضغط كِي القلب يرتاح بين الدقة والدقة. الزوز مهمين، وأي خلل فيهم ينجم يخلي الواحد يحس بالدوخة والفشل.,advice_guidance
يا دكتور، ديما نحس في تصفير في صدري كي نخرج النفس، خاصة في الليل ولا كي نعمل مجهود، زعمة فدة؟,التصفير في الصدر علامة واضحة اللي المسالك الهوائية ضياقت، وهذا اللي نسموه 'الضيق' ولا 'الفدة'. اللي يصير هو أن الرواير تعمل ردة فعل قوية ضد الغبرة ولا الروائح ولا البرد. لازمك تعمل 'تست' متاع نفس عند طبيب صدري باش يقيس قوة الهواء، وغالباً باش تمشي على 'باقة' تعاونك باش تفتح العروق وتتنفس مرتاح.,advice_guidance
قداش يعمل سوم البيانو الكبير في تونس؟,سوم البيانو الكبير يفرق برشة حسب الماركة وحسب الحالة متاعو. في العادة، الماركات العالمية كيف 'ياماها' تبدأ أسوامها من 9 ملاين وتوصل حتى لـ 30 مليون دينار تونسي وأكثر، خاصة إذا كان مصنوع من لوح رفيع وموجه للمحترفين في الكونسرفاتوار.,general_knowledge
تنصحني بـ مكيف ولا مروحة في الصيف؟,المكيف يوفر راحة حقيقية ويبرد البيت بصفة فعالة حتى في السخانة القوية، أما يستهلك برشة ضوء وينجم يمرض إذا خرجت من السخون للبارد فجأة. المروحة أرخص ببرشة، استهلاكها للضوء ضعيف، وأرفق بالصحة، أما كي تبدا السخانة فوق الـ 40 درجة تولي تدور في الهواء السخون وما تبردش. إذا ميزانيتك تسمح وتحب نومة مرتاحة، المكيف لازم، أما استعمله بعقلانية. المروحة تبقى حل باهي للأيام اللي فيها نسمة شوية ولا للميزانيات المحدودة.,opinions_recommendations
شكونهم أقوى رابورات في تاريخ الهيب هوب؟,فمة أسامي ما يتمسوش كيف 2Pac و Biggie. ومن بعدهم جا Eminem اللي بدل قواعد اللعبة. توة عندك Kendrick Lamar اللي يتسمى شاعر الراب المعاصر. في تونس، بلتي (Balti) قعد مسيطر سنين، وتوة فمة جيل جديد كيف Kaso وسامارا (Samara) قاعدين يعملو في أرقام خيالية.,general_knowledge
نجم نصلي في بيت فيها كلب؟,إذا البقعة اللي بش تصلي فوقها (السجادة) نظيفة، صلاتك صحيحة. المهم ما يمسكش ريقه وأنت تصلي.,cultural_knowledge
