Reference,Prediction
عايش في الخيال,هايش في الخيال
عنب,آنب
عنصري,أنصري
عطريا,آت راية
ثناش,ناش
خشم,خشم
خاتم,خاتم
حقة,حقا
حلوف خبيث,حلو خبيث
حوات,حويت
حزار,حزار
حبلى حامل,حبلة حامل
قريات,قريت
قاضي,قاوية
بلاروسيا,بلاروسيا
اسبانيا,اسبانيا
الصومال,إنه خطأه
الهند,الهند
نمسا,نمسا
اكرانيا,أوكرانيا
سويسرا,سويسرا
يا ممو عينيا,ياما معينة يا
عالسلامة يسلمك,عسلما يسلمك
بالفرحة,بالفرحة
بابا,بابا
بنفسجي,بناف ساجي
بيلت,بيالت
بشع خايب يعيف,بشع خايب يعيف
بقر,بجاري
بيرو,بيرو
بليد,بليد
بوفي,بوشي
بوسا,بوشا
شفما جديد,شفامة جديد
شكون,شكونا
شنوا آش,شنوة إش
شنوا هاذا,شنوه هذا؟
دبوزة,ده بوزة
ديكسيونار,ديكسيونر
ديون,ديون
العشية,لا شيء
نعزك برشا,نازك برشا
فديت ملا فدا,فاديت مالفادة
فمة فمة,سامة سامة
فروج,فار روش
فكرة,فكرة
فرشتا فراشة,فرشيتا فراشت
غاز,اشتركوا في القناة
غراب,غراب
حاد,حد
حر,حر
هوما,هما
جلسة,جلسة
جرح,جرح
جواب,جويب
كراتي,كراتي
كبير,كبير
كينو,كيانو
خزانة,خزينة
كرهبة كراهب,كرهبة كرهب
محل تجارى تجارى,محل تجارة تجارة
مقفول و كسكاس,مقفول كسكس
مرحبا,مرحبا
متواضع,ماتوا هذا
ميتين,ميتين
ممتاز,ممتاز
موسيقى موزيكا,موسيقى
نعرسو,نارسو
ناشط خفيف رشيق,ناشط، خفيف، رشيق
نمل,نملة
نهارك زين,نهارك زين
نمر,نمر
اوتوروت,أوتوروت
بابايا,ترجمة نانسي قنقر
قبل,قبل
رغم انو,الأرما أنو
رقبة,رقبة
رياضه,رياضة
روج,روش
صعيب,سعيد
سامحني دزولي,سامحني ديزولي
صبع صوابع,سبا سويبا
صفر,صفر
صغير,سريع
سياده,سيدا
سلاطة,سلطة
سميد,سميد
سكر,السكر
صندوق ادخار,صندوق اديخار
سباغيتي,السباكيتي
سوايع,سويا
طبلا,طبلة
تنين,تنين
تسعميه,تسع مئة
طفل,اشتركوا في القناة
ثلج,سلمش
ثلاثة,سلسة
تمر,اشتركوا في القناة
فرنسوية,فرانساوية
خمسة,خمسة
حداش,حديش
واحد و عشرين,واحد وعشرين
خمسين,خمسين
ترد بالك,ترد بيلك
واحد و عشرين الف,21000
واحد و ثلاثين الف,واحد وثلاثين الف
وزير اول,وزير أول
ولد,ويلت
و انت,ونجي
يتعاود ديما,يتعاود ديما
زعما زعما,سامة سامة
زرزومية,زرزومية
كان ابراهيم راجل صالح و يعرف ربي و كان زادة راجل غني برشا نهار من نهارات شاف ابراهيم منامة ظهرلو فيها ربي باش يقلو ما تخافش يا ابراهيم انا باش نحميك,كان إبراهيم رجل صالح ويعرف ربي وكان زيده رجل غني برشا نهار من نهارات شاف إبراهيم منامة اظهر له فيها ربي باش يقول له ما تخافش يا إبراهيم أنا باش نحميك
وآجرك كبير عندي وقتها جاوب ابراهيم ربي و قالوا يا ربي كيفاش باش تجازيني و انا ماشي من ها الدنية هاذي حتى وليد ما عنديش باش يورثني من بعد ما نموت خديمي هو الي باش يورثني,وأجرك كبير عندي وقتها جاوب إبراهيم ربي وقال له يا ربي كيفاش باش تجازيني وأنا ماشي من هالدنيا هاذي حتى ولايد ما عنديش باش يرثني من بعد ما نموت خديمي هو اللي باش يرثني
يخي جاوبو ربي و قالوا مش خديمك الي باش يورثك اما ولدك الي باش يجي منك هو الي باش يورثك و صدق ابراهيم كلام ربي و آمن بيه,يخي جيوب وربي وقال له مش خديمك اللي باش يورثك أما ولدك اللي باش يجي منك هو اللي باش يورثك وصدق إبراهيم كلام ربي وآمن به
نهار من نهارات خزرت سارة مرة ابراهيم لراجلها و قتلو انا توا ما نظناش علاش ما تخذشي خديمتي هاجر فماش ما ربي يرزقنا بوليد منها,نهار من نهارات خزرت سارة مرت إبراهيم لرجلها وقتلوا أنا توا ما نظناش علش ما تاخذش خديمتي هاجر فمش ما ربي يرزقنا بوليد منها
و عمل ابراهيم كيف ما قالتلو مرتو سارة و خذا هاجر,وعمل إبراهيم كيف ما قتلوا مرته سارة وخليه هاجر
و حبلت هاجر اما من بعد ما حبلت ولات متكبرة على للاتها سارة الشي الي خلى سارة تخزر لابراهيم راجلها و تقلو,وحبلت هاجر أما من بعد ما حبلت ولت متكبر على لليتها سارة الشي اللي خلى سارة تغذر إبراهيم راجلها وتقوله
ابراهيم هاذا كفويا معاك من بعد ما خذيتلك خديمتي و كيف ما حبلت انا للاتها صغرت في عينيها ولات تخزرلي بمحقرانية,إبراهيم، هاذا كفوية معاك من بعد ما أخذيت لك خزينتي؟ وكيف ما حبلت أنا لليتها صغرت في عينيها، وولدت تغزر لي بمحقرانية؟
ربي هو الي يفصلها ما بيناتنا يا ابراهيم ياخي جاوبها ابراهيم وقتها و قلها هاني خديمتك قدامك اعمل فيها الي تحب عليه,ربي هو اللي يفصلها ما بيناتنا يا إبراهيم يخي جاوبها إبراهيم وقتها وقال لها هاني خدمتك قدامك أعمل فيها اللي تحب عليه
وقتها بدات سارة تذل في هاجر لين خرجت هاجر و هربت منها و قعدت ماشية في الثنية لين ظهرتلها ملايكة من عند ربي آمرتها باش ترجع للاتها سارة و تسمع كلامها,وقتها بذيت سارة تذل في هاجر لين خرجت هاجر وهربت منها وقعدت ماشية في الثنية لين ظهرت تلها ملايكة من عند ربي وأمرتها باش ترجع لليتها سارة وتسمع كلامها
و زادة وعد هاجر ربي باش يكثر اولادها لين ما عادش يتعده و قلها ربي الي باش تولد وليد و تسميه اسماعيل و معناها ربي يسمع,وزادة وعد ربي هاجر باش يكثر أولادها لين ما عادش يتعدوا وقالها ربي اللي باش تول دوليد وتسميه اسماعيل ومعناها ربي يسمع
على خاطر ربي سمع صوتها وقت الي تهانت وتذلت و عملت هاجر كيف ما قلها ربي وقت الي ولدت ولدها سماتو اسماعيل,على خاطر ربي سمع صوتها وقت اللي تهانت وتذلت وعملت هاجر كيف ما قالها ربي وقت اللي ولدت ولدها سميته اسماعيل
و كان وقتها وقت الي ولدت كان عمر ابراهيم ستا و ثمانين سنة,ووقت اللي ولدته كان عمر إبراهيم 86 سنة
خرج ربي الشعب متاعو من ارض العبودية مصر و كيف خرجو من مصر قادهم ربي في الصحراء باش يرجعو لارض الموعد الي وعدهم بيها,خرج ربي الشعب متاعه من أرض العبودية مصر وكيف خرجوا من مصر قالتهم ربي في الصحراء باش يرجعوا الأرض الموعد اللي يعدهم بيها
و في الثنيه متاعهم عمل ربي برشا معجزات على خاطرهم باش يوكلهم و يشربهم و يحميهم,وفي اثنين متاحهم عمل ربي برشا معجزات على خطرهم باش يوكلهم ويشربهم ويحميهم
شهرين بعد ما خرجو من مصر نصبو الخيم متاعهم بحذا الجبل و الجبل هاذا هو الي طلع عليه موسى باش ياخذ من عند ربي الشريعة يعني وصاية ربي,شهرين بعد ما خرجوا من مصر نصبوا الخيمة متاحهم بحذر جبل وجبل هذا هو اللي طلع عليه موسى بش يخدم عند ربي الشريعة يعني وصاية ربي
و من بين ها الوصاية ما تصنعوش آلهة و ما تعبدوش و ما تسجدوش لغيري,ومن بين هالوصايا ما تصنعوش آلها وما تعبدوش وما تزدوش الغيري
و موسى اعلن للشعب الكل كلام ربي هاذا و الشعب جاوب موسى باللي راهم باش يعملو الي قال عليه ربي الكل و باش يتبعوه في كلامو,وموسى قال للشعب الكل كلام ربي هذا والشعب جايوا بموسى بلي راهم بش يعملوا اللي قال عليه ربي الكل وبش يتبعوه في كلامه
وكي طلع موسى فوق الجبل باش يكلم ربي قعد اربعين يوم و اربعين ليلة,وكيطلع موسى فوق الشبال باش يكلم ربي قعد ربعين يوم و ربعين ليلة
هاو كيف الشعب استبطى موسى و موسى قعد برشا ما رجعش مشاو يتذمرو لهارون و قالولوا توينه موسى آش بيه ما رجعش التوا,هاو كيف الشعب اصطبط موسى وموسى قعد برشا مرجعش مشاو يتضمروا الهارون وقالولو جوينو موسى شبيه مرجعش الطاول؟
اصنعلنا آلهة باش تقودنا وقتها هارون آمرهم باش يجيبو البلالط و السياغا متاعهم الكل,أصنع لنا آلهة باش تقودنا وقتها هارون أمرهم باش يجيبوا لقلالة السياغة متاحهم الكل
و لم هارون السياغا الكل و صنع بيها عجل من الذهب و قاللهم ها العجل الذهب هاذا هو الاهكم الي حرركم و خرجكم من مصر و من عبودية المصريين,ولم هارونك السياغة الكل وصنع بها عجل مذهب وقال لهم العجل الذهب هذا هو إلهكم اللي حرركم وخرجكم من مصر ومن عبودية المصريين
و من غدوا قدمولو الذبيح متاعهم و عبدوه و سجدول و من بعد ما كلاو و شربو عملو في خلاها ما ولاها و فسدو كيما حبو,ومن غدوة قدموا له الزبيحة متاحة وعبدوه وسجدوه ومن بعد ما كلاه وشربه عملوا في خلاها موالاها وفزدوا كما حبوا
و في هاك الوقت تغشش ربي برشا و قال لموسى على الشي الي عملو الشعب متاعو و كيفاش عبدو الاه غيرو و قال ربي لموسى الي باش يهلكهم الكل على اعمالهم,وفي هايك الوقت تغشش ربي برشا وقال الموسى على الشي اللي عامله الشعب متاعه وكيفاش عبده إله غيره وقال ربي الموسى اللي باش يهلكهم الكل على أعمالهم
لكن موسى وقتها طلب من ربي باش يرحمهم و ذكر ربي في الوعد الي وعده لابراهيم و اسحاق و يعقوب باش يكثرهم كيف نجوم السماء,لكن موسى وقتها طلب من ربي باش يرحمهم وذكر ربي في الوعد اللي وعده الابراهيم واسحاق ويعقوب باش يكثرهم كيف نجوم السماء
و الي باش يعطيهم الارض الي وعدهم بيها لآخر الدنية و من بعد ربي حن عليهم و ما هلكهمش,وليبشعتهم الأرض اللي وعدهم بيها لإخر الدنيا ومن بعد رب يحن عليهم ومهلكهمش
و كيف هبط موسى و شاف الشي الي يعملو فيه الشعب تغشش برشا و رمى الالواح متاع الشريعة الي كان منقوش علاها الوصاية العشرة متاع ربي ياخي تكسرت,وكيف هبطت موسى وشاف الشي اللي يعملوا فيه الشعب تغشش برشا ورمال الواح متاع الشريعة اللي كان منقوش عليها الوصايا العشرة متاع ربي ياخد كسرة
لكن مرة اخرى طلع موسى و خذا الالواح متاع الشريعة من عند ربي و زادة لم موسى الشعب الكل و علنلهم على الي مكتوب في الالواح متاع الشريعة على وصايا ربي المكتوبة,لكن مرة أخرى طلع موسى وخذيل ألواح متع الشريعة معند ربي وزد لم موسى الشعب الكل وأعلن لهم عن المكتوب في الألواح متع الشريعة على وصايا ربي المكتوبة
قالهم ربي الاه رؤوف رحيم ما يتغشش فيسع و يغفر المعاصي و الذنوب كيف يستعرفو بيها لكن زادة عادل و يعاقب المذنب,قال لهم ربي إله رؤوف رحيم ما يتغشش فيسع ويغفر المعاصي والذنوب كيف نستعرف بيها لكن زيدة هو عادل ويعاقب المذنب
و ربي زادة قال طيعوني و ما تعبدوش آلهة اخرى غيري,وربي زده قال تعوني وما تعبدوش إلها أخرى غيري
و بعد ما قاوم يسوع العازر مشى للقدس و كان فمة وقتها ناس متفاهمين باش يستحايلو على يسوع و يدبرو كيفاش يقتلوه و يسوع بيده تننبا على موته وقت الي كان ما زال مع التلامذة,وبعد ما قوم يسوع علي عزر مشاهد القدس وكان فما وقتها ناس متفاهمين باش يستحيلوا على يسوع ويدبروا كيفاش يقتلوه ويسوع بيته تنبأ على موته وقت اللي كان مازال مع تلامذة
و فمة نهار و همة ياكلو مع بعضهم خبرهم يسوع باللي فمة واحد من بين التلامذة متاعو باش يخونه و يسلمه للموت,وفما نهار وهما ياكلوا مع بعضهم خبرهم يسوع بلي فما واحد من بينة لام دمتاعه باش يخونه ويسلمه للموت
وقتها يسوع كان يقصد في واحد اسمه يهوذا الي عطى للناس الي باش يشدو يسوع امارة و هيا الشخس الي باش يسلم عليه بالبوس هو المقصود و هذاكة هو يسوع,وقتها يسوع كان يقصد في واحد اسمه يهوذة اللي اعطاه للناس اللي باش يشدوا يسوع أمارة وهي الشخص اللي باش يسلم عليه بالبوس هو المقصود وهذاك هو يسوع
وقت الي كان يسوع يحكي مع تلامذت جى يهوذا و معاه الجماعة من عند الشيوخ الي باش يشدو يسوع و كيف سلم يهوذا على يسوع قدم للجماعة و شدوه و هزوه عند شيخ الكهان باش يحاكموه,وقت اللي كان يسوع يحكي مع تلامثته جاء يهوذة ومعاه جماعة من عند الشيوخ اللي باش يشدوا يسوع وكيف سلم يهوذة على يسوع قدموا جماعة وشدوه وهزوها عند شيخ الكهان باش يحكموه
وقتها لوجولو على شهادة زور تخليهم يقتلوه اما ما لقاوش من بعد سال شيخ الكهان يسوع و قالوا انت هو المسيح ولد ربي يخي جاوبو يسوع اي نعم كيما قلت,وقتها لو جولوا على شهادة زور تخليهم يقتلوه أمام القاوش؟ من بعد اسأل الشيخ الكهان يسوع وقال له أنت هو المسيح ولد ربي؟ يخي جاوبه يسوع إنعم كما قلت
ياخي قرر المجلس باش يتحاكم يسوع على خاطر راو انه قاعد يشرك بالله و زيد على هاذا كانت الناس تصيح و تعيط يستاهل الموت اقتلوه,ياخي قرر المجلس باش يتحاكم يسوع على خطر راو أنه قاعد يشرك بالله وزيد على هذا كانت الناس تصيح وتعايت يستاهل الموت اقتلوه
و كانوا العسكر الرومانيين يضربو في يسوع و يبزقو عليه,وكانوا العسكر الرومانيين يضربوا في يسوع ويبزقوا عليه
و من بعد كتفوه و هزوه للوالي باش يحكم عليه الحكم الاخر لكن الوالي ما كانش موافق على الي قالوا المجلس وقت الي قالوا يموت يسوع,ومن بعد كتفوه وهزوه للوالي باش يحكم عليه الحكم الأخر لكن الوالي ما كانش موافق علي قاله المجلس وقت اللي قاله يموت يسوع
اما على خاطر الشعب دخل بعضو يحبو يسوع يموت قالهم الوالي انا خاطيني هاوينه ما بين يديكم كان تحبوا تقتلوه اما دمه في رقابيكم راني ما ني ش مسؤول على قتلانو,أم على خاطر الشعب يدخل بعضه؟ يحبوا يسوع يموت؟ قال هم الوالي أنا خطيني أوينو ما بين يديكم كانت تحبوا تقتلوه؟ أم دمو في رقبتكم؟ راني مانيش مسؤولة على قتلينو
و تعذب يسوع برشا قبل ما يهزوه للبلاصة الي باش يتصلب فيها,وتعذب يسوع برشا قبل ما يهزوه للبلاسة اللي باش يتسلب فيها
و تصلب يسوع و تصلبو معاه زوز قطعة و مجرمين واحد على الليمين و واحد على يسار و كانت الناس تتمسخر عليه و تقلو كان انت المسيح بالمنجد منع روحك,وتصلب يسوع وتصلبوا معاه زوز قطعية ومجرمين واحد علي مين وواحد علي سار وكانت الناس تتمسخر عليه وتقوله كان انتي المسيح بالمنجد منع روحك
الغريب في الحكاية حتى قطعية واحد منهم زادة كان يتمسخر و يقولو في نفس الكلام اما المجرم الآخر خزر للاول و قال حتى انت باش تتصلب كيفو,الغريب في الحكاية حتى القطعية واحد منهم زادة كان يتمسخر ويقول له في نفس الكلام أما المجرم الآخر أخذر للأول وقال حتى أنت باش تصلب كيفو
تتمقعر عليه انت على الاقل تستحق الموت اما هو مسكين ما عمل حتى شيء,تتمقر عليه؟ أنت على الأقل تستحق الموت أما هو مسكين مع ملح شيء
وقتها قاملو يسوع و قالوا اليوم باش تكون معايا في الجنة و عيط يسوع عيطة قوية و مات وقت الي مات يسوع تزلزلت الدنية و ظلامت بالرغم الي وقتها كانت قايلة,وقتها قام له يسوع وقال له اليوم باش تكون معايا في الجنة وعيت يسوع عيطة قوية ومات وقت اللي مات يسوع تزلزلت الدنيا وظلمت بالرغم اللي وقتها كانت قايلة
قررت باش نتوقف عالدراسة داكور خذيت الباك وحتى كان المعدل كان باهي و ما نجمتش نكمل قرايتي,قررت ان اتوقف عن الدراسة اخذت الباك و حتى كان المعدل كان به و ما نجمتش ان كمال اقرأته
ولا برودوي الي ممكن يخدم في تونس تخدم بيه لعوام لولانيا تفهم بيه ال مارش تجرب فيه بالظبط اما الفكرة هو انو كيفاش تكبر كيفاش تمشي لدول اخرى كيفاش تنجم تعمل ال قروث بالظبط اكزاكتمون كيفاش تنجم تكبر,وإلا بروديو اللي ممكن يخدم فيه تون استخدم بيه العوامل الأولانية تفهم بيه المارشة تجرب فيه بضبط أما الفكرة هو أني كيفاش تكبر كيفاش تمشي لدول أخرى كيفاش تنجم تعمل الجروث بضبط كيفاش تنجم تكبر الجروث
بالنسبة للناس لي عندهم افكار بار اكزامبل اليوم,بالنسبة للناس الذين لديهم أفكار مثلاً اليوم
فمة طريقة تفكير و طريقة تعامل مع ال برودوي مع ال سولوسيون مع المشروع بصفة عامة,فطريقة التفكير وطريقة التعامل مع المشروع بصفة عامة
مركز المسيرين الشبان بيان احنا نلمو المسيرين الشبان لي عندهم اقل من خمسة و اربعين سنة,مركز المسيرين الشبان احنا لما المسيرين الشبان اللي عنده ما قلبنا 45 سنة
الي يخلينا احنا,اللي خلينا احنا
فمة ابرونتيساج في العقلية لاهي يتم جديد و و هاني جايك انا ماهر الخليفي على خاطر كلمة قالها براهيم تركي مهمة ياسر علاش لا القانون ما يتبدلش انتوما خدمتو على تغير القانون كاريمون معناها لهنا نحكيو على قانون متاع بلاد,فما برونتساش في العقلية ليه يتم مجديد وهاني جاي كان ماهر الأخليفي على خاطر كل ما قال أبراهيم توركي مهمة يسر عليش ليه القانون ما يتبدلش أنتم أخدمتوا على تغيير القانون كاريمون اللي هنا نحكيه قانون انت ع بلاد
افيك يون اوتر ماشين افيك ان سيرفور افيك دي ديتيكتور ان في تولي لين دي برودكسيون انتليجنت دابليو ال كومينيك بينها و بين بعضها,بسيارة أخرى، بسيارة أخرى، بسيارة أخرى، بسيارة أخرى، بسيارة أخرى، بسيارة أخرى، بسيارة أخرى، بسيارة أخرى، بسيارة أخرى، بسيارة أخرى، بسيارة أخرى، بسيارة أخرى، بسيارة أخرى، بسيارة أخرى، بسيارة أخرى، بسيارة أخرى، بسيارة أخرى، بسيارة أخرى، بسيارة أخرى، بسيارة أخرى، بسيارة أخرى، بسيارة أخرى، بسيارة أخرى، بسيارة أخرى، بسيارة أخرى، بسيارة أخرى، بسيارة أخرى، بسيارة أخرى، بسيارة أخرى، بسيارة أخرى، بسيارة أخرى، بسيارة أخرى، بسيارة أخرى، بسيارة أخرى، بسيارة أخرى، بسيارة أخرى، بسيارة أخرى، بسيارة أخرى، بسيارة أخرى، بسيارة أخرى، بسيارة أخرى، بسيارة أخرى، بسيارة أخرى، بسيارة أخرى، بسيارة أخرى، بسيارة أخرى، بسيارة أخرى، بسيارة أخرى، بسيارة أخرى، بسي
الشي هذايا يصير ا ترافير لا سيقناتور الكترونيك دونك حنا ان في وقتلي جينا حبينا نحلو المشكلة المشكل فينانسي هذايا لي هو كيفاش نخلي لعباد,هذا يحدث عبر السيناتور الإلكتروني عندما جئنا نحاول أن نحل المشكلة المشكلة الفنانية وهي كيف نجعل العباد
لكن ريلمون الفسفة متاعنا من اللول كانت الي راهو اول حاجة نشوفوا نشوفوا القانون شنوا يسمح و نشوفو زادة ايست سي كي فماش يون انتربريتاسيون للنص القانوني,لكن غيالما الفلسفة متاعنا من الأول كانت اللي راهو أول حاجة نشوفه نشوفه القانون شنو يسمحه ونشوفه زاده أسكه فماشي ننتخبريتشن للناس القانوني
