Reference,Prediction
وآجرك كبير عندي وقتها جاوب إبراهيم ربي و قالوا يا ربي كيفاش باش تجازيني و أنا ماشي من ها الدنية هذي حتى وليد ما عنديش باش يورثني من بعد ما نموت خديمي هو إلي باش يورثني, وأجرك كبير عندي وقتها جاوب إبراهيم ربي وقال له يا ربي كيفاش باش تجازيني وأنا ماشي من هالدنيا هاذي حتى ولايد ما عنديش باش يرثني من بعد ما نموت خديمي هو اللي باش يرثني
يخي جاوبو ربي و قالوا موش خديمك إلي باش يورثك أما ولدك إلي باش يجي منك هو إلي باش يورثك و صدق إبراهيم كلام ربي و آمن بيه, إخي جيوب و ربي و قال له مش خديمك اللي باش يورثك أما ولدك اللي باش يجي منك هو اللي باش يورثك و صدق إبراهيم كلام ربي و آمن به
نهار من نهارات خزرت سارة مرة إبراهيم لراجلها و قتلو أنا توا ما نظناش علاش ما تخذشي خديمتي هاجر فماش ما ربي يرزقنا بوليد منها, نهار من نهارات خزرت سارة مرت إبراهيم رجلها وقتلوا أنا توا ما نظناش علش ما تاخذش خديمتي هاجر فمش ما ربي يرزقنا بوليد منها
و عمل إبراهيم كيف ما قالتلو مرتو سارة و خذا هاجر, وعمل إبراهيم كيف ما قتلوا مرته سارة واخذيه هاجر
و حبلت هاجر أما من بعد ما حبلت ولات متكبرة على للاتها سارة الشي إلي خلى سارة تخزر لإبراهيم راجلها و تقلو, وحبلت هاجر أما من بعد ما حبلت ولد متكبر على لليتها سارة الشي اللي خلى سارة تغذر إبراهيم راجلها وتقوله
إبراهيم هذا كفويا معاك من بعد ما خذيتلك خديمتي و كيف ما حبلت أنا للاتها صغرت في عينيها ولات تخزرلي بمحقرانية, أبراهيم، هاذا كفوية معاك من بعد ما خذيتلك خديمتي؟ وكيف ما حبلت أنا لليتها صغرت في عينيها؟ وولدت تغزرلي بمحقرانية؟
ربي هو إلي يفصلها ما بيناتنا يا إبراهيم ياخي جاوبها إبراهيم وقتها و قلها هاني خديمتك قدامك أعمل فيها إلي تحب عليه, ربي هو اللي يفصلها ما بيناتنا يا إبراهيم يخي جاوبها إبراهيم وقتها وقال لها هاني خدمتك قدامك أعمل فيها اللي تحب عليه
وقتها بدات سارة تذل في هاجر لين خرجت هاجر و هربت منها و قعدت ماشية في الثنية لين ظهرتلها ملايكة من عند ربي آمرتها باش ترجع للاتها سارة و تسمع كلامها, وقتها بذيت سارة ذل في هاجر لين خرجت هاجر وهربت منها وقعدت ماشية في الثنية لين ظهرت لها ملايكة من عند ربي وأمرتها باش ترجع لليتها سارة وتسمع كلامها
و زادا وعد هاجر ربي باش يكثر اولادها لين ما عادش يتعده و قلها ربي إلي باش تولد وليد و تسميه إسماعيل و معناها ربي يسمع, وزاده وعد ربي هاجر باش يكثر أولادها لين ما عادش يتعدوا وقالها ربي اللي باش تول دوليد وتسميه اسماعيل ومعناها ربي يسمع
على خاطر ربي سمع صوتها وقت إلي تهانت وتذلت و عملت هاجر كيف ما قلها ربي وقت إلي ولدت ولدها سماتو إسماعيل, على خاطر ربي يسمع صوتها وقت اللي تهانت وتذلت وعملت هاجر كيف ما قالها ربي وقت اللي ولدت ولدها سميته اسماعيل
و كان وقتها وقت إلي ولدت كان عمر إبراهيم ستا و ثمانين سنة, ووقت اللي ولدته كان عمر إبراهيم 86 سنة
خرج ربي الشعب متاعو من ارض العبودية مصر و كيف خرجو من مصر قادهم ربي في الصحراء باش يرجعو لأرض الموعد إلي وعدهم بيها, خرج ربي الشعب متاعه من أرض العبودية مصر وكيف خرجوا من مصر قالتهم ربي في الصحراء باش يرجعوا الأرض الموعد اللي يعدهم بيها
و في الثنيه متاعهم عمل ربي برشا معجزات على خاطرهم باش يوكلهم و يشربهم و يحميهم, وفي اثنية متاحهم عمل ربي برشا معجزات على خطرهم بيش يوكلهم ويشربهم ويحميهم
شهرين بعد ما خرجو من مصر نصبو الخيم متاعهم بحذا الجبل و الجبل هذا هو إلي طلع عليه موسى باش ياخذ من عند ربي الشريعة يعني وصاية ربي, شهرين بعد ما خرجوا من مصر نصبوا الخيمة متاحهم بحذر جبل وجبل هذا هو اللي طلع عليه موسى بش يخدم عند ربي الشريعة يعني وصاية ربي
و من بين ها الوصاية ما تصنعوش آلهة و ما تعبدوش و ما تسجدوش لغيري, ومن بين هالوصايا ما تصنعوش آلها وما تعبدوش وما تزدوش الغيري
و موسى أعلن للشعب الكل كلام ربي هذا و الشعب جاوب موسى باللي راهم باش يعملو إلي قال عليه ربي الكل و باش يتبعوه في كلامو, وموسى قال للشعب الكل كلام ربي هذا والشعب جايوا بموسى بلي راهم بش يعملوا اللي قال عليه ربي الكل وبش يتبعوه في كلامه
وكي طلع موسى فوق الجبل باش يكلم ربي قعد أربعين يوم و أربعين ليلة, وكيطلع موسى فوق الشبال باش يكلم ربي قعد ربعين يوم وربعين ليلة
هاو كيف الشعب إستبطى موسى و موسى قعد برشا ما رجعش مشاو يتذمرو لهارون و قالولوا توينه موسى آش بيه ما رجعش التوا, هاو كيف الشعب اصطبط موسى وموسى قعد برشا مرجعش مشاو يتضمرو الهارون وقالولو تيوينو موسى شبيه مرجعش لطاوة
أصنعلنا آلهة باش تقودنا وقتها هارون آمرهم باش يجيبو البلالط و السياغا متاعهم الكل, أصنع لنا آلهة باش تقودنا وقتها هارون أمرهم باش يجيبوا البلالة والسياغة متاحهم الكل
و لم هارون السياغا الكل و صنع بيها عجل من الذهب و قاللهم ها العجل الذهب هذا هو إلاهكم إلي حرركم و خرجكم من مصر و من عبودية المصريين, ولم هارونك السياغة الكل وصنع بها عجل مذهب وقال لهم العجل الذهبي هذا هو إلهكم اللي حرركم وخرجكم من مصر ومن عبودية المصريين
و من غدوا قدمولو الذبيح متاعهم و عبدوه و سجدول و من بعد ما كلاو و شربو عملو في خلاها ما ولاها و فسدو كيما حبو, ومن غدوة قدموا له الزبيحة متاحة وعبدوه وسجدوه ومن بعد ما كلاه وشربوه عاملوا فخلاها موالاها وفزدوا كما حبوا
و في هاك الوقت تغشش ربي برشا و قال لموسى على الشي إلي عملو الشعب متاعو و كيفاش عبدو إلاه غيرو و قال ربي لموسى إلي باش يهلكهم الكل على إعمالهم, وفي هيك الوقت تغشش ربي برشا وقال الموسى على الشي اللي عاملوا الشعب متاعه وكيفاش عبده إله غيره وقال ربي الموسى اللي باش يهلكهم الكل على أعمالهم
لكن موسى وقتها طلب من ربي باش يرحمهم و ذكر ربي في الوعد إلي وعده لإبراهيم و إسحاق و يعقوب باش يكثرهم كيف نجوم السماء, لكن موسى وقتها طلب من ربي باش يرحمهم وذكر ربي في الوعد اللي وعده الابراهيم واسحاق ويعقوب باش يكثرهم كيف نجوم السماء
و إلي باش يعطيهم الأرض إلي وعدهم بيها لآخر الدنية و من بعد ربي حن عليهم و ما هلكهمش, وليبشعتهم الأرض اللي وعدهم بيها لإخر الدنيا ومن بعد رب يحن عليهم ومهلكهمش
و كيف هبط موسى و شاف الشي إلي يعملو فيه الشعب تغشش برشا و رمى الألواح متاع الشريعة إلي كان منقوش علاها الوصاية العشرة متاع ربي ياخي تكسرت, وكيف هبط موسى وشاف الشي اللي يعملوا فيه الشعب تغشش برشا ورمال الواح متاع الشريعة اللي كان منقوش عليها الوصايا العشرة متاع ربي يا خي تكسرت
لكن مرة أخرى طلع موسى و خذا الألواح متاع الشريعة من عند ربي و زادا لم موسى الشعب الكل و علنلهم على إلي مكتوب في الالواح متاع الشريعة على وصايا ربي المكتوبة, لكن مرة أخرى طلع موسى وخذي الألواح متع الشريعة معند ربي وزد لم موسى الشعب الكل وأعلن لهم على المكتوب في الألواح متع الشريعة على وصايا ربي المكتوبة
قالهم ربي ألاه رؤوف رحيم ما يتغشش فيسع و يغفر المعاصي و الذنوب كيف يستعرفو بيها لكن زادا عادل و يعاقب المذنب, قال لهم ربي إله رؤوف رحيم ما يتغشش فيسع ويغفر المعاصي والذنوب كيف نستعرف بيها لكن زيدا هو عادل ويعاقب المذنب
و ربي زادا قال طيعوني و ما تعبدوش آلهة أخرى غيري, ورب زده قال تعوني وما تعبدوش إلها أخرى غيري
و بعد ما قاوم يسوع العازر مشى للقدس و كان فمى وقتها ناس متفاهمين باش يستحايلو على يسوع و يدبرو كيفاش يقتلوه و يسوع بيده تننبأ على موته وقت إلي كان ما زال مع التلامذة, وبعد ما قوم يسوع علي عازر مشال القدس وكان فمع وقتها ناس متفاهمين باش يستحيلوا على يسوع ويدبروا كيفاش يقتلوه ويسوع بيته تنبأ على موته وقت اللي كان مازال مع تلامذة
و فمى نهار و همة ياكلو مع بعضهم خبرهم يسوع باللي فمى واحد من بين التلامذة متاعو باش يخونه و يسلمه للموت, وفما نهار وهما ياكلوا مع بعضهم خبرهم يسوع بلي فما واحد من بينة لام دا متاعه باش يخونه ويسلمه للموت
وقتها يسوع كان يقصد في واحد إسمه يهوذا إلي عطى للناس إلي باش يشدو يسوع امارة و هيا الشخس إلي باش يسلم عليه بالبوس هو المقصود و هذاكة هو يسوع, وقتها يسوع كان يقصد في واحد اسمه يهوذة اللي يعطى للناس اللي باش يشدوا يسوع أمارة وهي الشخص اللي باش يسلم عليه بالبوس هو المقصود وهذاك هو يسوع
وقت إلي كان يسوع يحكي مع تلامذت جى يهوذا و معاه الجماعة من عند الشيوخ إلي باش يشدو يسوع و كيف سلم يهوذا على يسوع قدم للجماعة و شدوه و هزوه عند شيخ الكهان باش يحاكموه, وقت اللي كان يسوع يحكم مع تلامثته جاء يهوذة ومعاه جماعة من عند الشيوخ اللي باش يشدوا يسوع وكيف سلم يهوذة على يسوع قدموا جماعة وشدوه وهزوها عند شيخ الكهان باش يحكموه
وقتها لوجولو على شهادة زور تخليهم يقتلوه أما ما لقاوش من بعد سأل شيخ الكهان يسوع و قالوا انت هو المسيح ولد ربي يخي جاوبو يسوع إي نعم كيما قلت, وقتها لو جوروا على شهادة زور بتخليهم يقتلوه أما ما لقاوش من بعد اسأل الشيخ الكهان يسوع وقال له أنت هو المسيح والد ربي؟ يخي جاوبه يسوع إنعم كيما قلت
ياخي قرر المجلس باش يتحاكم يسوع على خاطر راو أنه قاعد يشرك بإلله و زيد على هذا كانت الناس تصيح و تعيط يستاهل الموت أقتلوه, ياخي قرر المجلس باش يتحاكم يسوع على خطر راو أنه قاعد يشرك بالله وزيد على هذا كانت الناس تصيح وتعايت يستاهل الموت اقتلوه
و كانوا العسكر الرومانيين يضربو في يسوع و يبزقو عليه, وكانوا العسكر الرومانيين يضربوا في يسوع ويبسقوا عليه
و من بعد كتفوه و هزوه للوالي باش يحكم عليه الحكم الاخر لكن الوالي ما كانش موافق على إلي قالوا المجلس وقت إلي قالوا يموت يسوع, ومن بعد كتفوه وهزوه للوالي باش يحكم عليه الحكم الأخر لكن الوالي ما كانتش موافق علي قاله المجلس وقت اللي قاله يموت يسوع
أما على خاطر الشعب دخل بعضو يحبو يسوع يموت قالهم الوالي أنا خاطيني هاوينه ما بين يديكم كان تحبوا تقتلوه أما دمه في رقابيكم راني مانيش مسؤول على قتلانو, أم على خاطر الشعب يدخل بعضه؟ يحبه يسوع يموت؟ قالها منوالي أنا خاتيني أوينو ما بين يديكم كانت تحبوا تقتلوه؟ أم دمو في رقبتكم؟ راني مانيش مسؤولة على قتلينو
و تعذب يسوع برشا قبل ما يهزوه للبلاصة إلي باش يتصلب فيها, وتعذب يسوع برشا قبل ما يهزوه للبلاسة اللي باشي تسلب فيها
و تصلب يسوع و تصلبو معاه زوز قطعة و مجرمين واحد على الليمين و واحد على يسار و كانت الناس تتمسخر عليه و تقلو كان انت المسيح بالمنجد منع روحك, وتصلب يسوع وتصلبوا معاه زوز قطعية ومجرمين واحد علي مين وواحد علي سار وكانت الناس تتمسخر عليه وتقوله كان انتي المسيح بالمنجد منع روحك
الغريب في الحكاية حتى قطعية واحد منهم زادا كان يتمسخر و يقولو في نفس الكلام أما المجرم الآخر خزر للأول و قال حتى انت باش تتصلب كيفو, الغريب في الحكاية حتى القطعية واحد منهم زادة كان يتمسخر ويقوله في نفس الكلام أما المجرم الآخر أخذر للأول وقال حتى أنت باش تصلب كيفو
تتمقعر عليه انت على الأقل تستحق الموت أما هو مسكين ما عمل حتى شيء, تتمقر عليه أنت على الأقل تستحق الموت أما هو مسكين مع ملح شيء
وقتها قاملو يسوع و قالوا اليوم باش تكون معايا في الجنة و عيط يسوع عيطة قوية و مات وقت إلي مات يسوع تزلزلت الدنية و ظلامت بالرغم إلي وقتها كانت قايلة, وقتها قام له يسوع وقال له اليوم باش تكون معايا في الجنة وعيت يسوع عيطة قوية ومات وقت اللي مات يسوع تزلزلت الدنيا وظلمت بالرغم اللي وقتها كانت قايلة
في الشهر, في الشهر
قررت باش نتوقف عالدراسة d'accord خذيت الباك وحتى كان المعدل كان باهي و ما نجمتش نكمل قرايتي, قررت باش نتوقف ع الدراسة بكور خليت الباك وحتى كل المعدل كان بهي و ما نجمتش نكمل أقرايتي
ولا produit إلي ممكن يخدم في تونس تخدم بيه لعوام لولانيا تفهم بيه ال marché تجرب فيه بالظبط أما الفكرة هو أنو كيفاش تكبر كيفاش تمشي لدول أخرى كيفاش تنجم تعمل ال growth بالظبط exactement كيفاش تنجم تكبر, ممكن يخدم في تون استخدم بيه العوامل الأولانية تفهم بيه المارشيه تجرب فيه بضبط اما الفكرة هو ان كيفاش تكبر كيفاش تمشي لدول اخرى كيفاش تنجم تعمل الجروثي بضبط كيفاش تنجم تكبر
بالنسبة للناس لي عندهم أفكار par exemple اليوم, بالنسبة للناس اللي عندهم أفكار لليوم
فمة طريقة تفكير و طريقة تعامل مع ال produit مع ال solution مع المشروع بصفة عامة, فما طريقة التفكير وطريقة التعامل مع البرودوي مع السوليسيون مع المشروع بصفة عامة
مركز المسيرين الشبان bien أحنا نلمو المسيرين الشبان لي عندهم أقل من خمسة و أربعين سنة, مركز المسيرين الشبان احنا لما المسيرين الشبان اللي عنده مقال من 45 سنة
إلي يخلينا أحنا, اللي خلينا احنا
فمة apprentissage في العقلية لاهي يتم جديد و و هاني جايك أنا ماهر الخليفي على خاطر كلمة قالها براهيم تركي مهمة ياسر علاش لا القانون ما يتبدلش انتوما خدمتو على تغير القانون carrément معناها لهنا نحكيو على قانون متاع بلاد, فما برونتساج في العقلية ليه يتم جديد وهاني جاي كان ماهر الأخليفة على خاطر كل ما قال أبراهيم توركي مهمة ياسر عليش ليه القانون ما يتبدلش أنتم خدمتوا على تغيير القانون كاريموم اللي هنا نحكيه قانون انت ع بلاد
avec une autre machine avec un serveur avec des détecteurs en fait تولي ligne de production intelligente w elle communique بينها و بين بعضها, avec une autre machine avec un serveur avec des détecteurs en fait les lignes de production intelligentes où elles communiquent bien ou bien pas
الشي هذايا يصير à travers la signature électronique donc حنا en fait وقتلي جينا حبينا نحلو المشكلة المشكل financier هذايا لي هو كيفاش نخلي لعباد, c'est ce qui se passe à travers la signature électronique donc nous en fait quand nous sommes venus nous voulions résoudre le problème financier qui est le fait de laisser les gens
لكن réellement الفسفة متاعنا من اللول كانت إلي راهو أول حاجة نشوفوا نشوفوا القانون شنوا يسمح و نشوفو زادا est ce que فماش une interprétation للنص القانوني, لكن غيالما الفلسفة متاعنا من الأول كانت اللي راهو أول حاجة نشوفو نشوفو القانون شنو يسمح ونشوفو زادة أسكو فماشي ننتخبريتاشن للناس القانوني
et pour commencer à s'installer la don durant neuf mois et ils vont être accompagnés sur les volés كيما قلنا le volé technologique le volet entrepreneurial et création juridique et cetera et le volé pratiquement financier pour que, et pour commencer à s'installer làdedans durant neuf mois ils vont être accompagnés sur les volets qui m'appellent le volet technologique le volet entrepreneurial et création juridique etc et le volet pratiquement financier pour que
et donc voilà donc بدات غاديكا و من بعد طورنا بالشوية بالشوية et on a décidé de postuler فال ost pre incubateur فمة برشا مابين les parents إلي يقول لولدو لا كملي قرايتك خوذ ديبلومك و بعد برا مشرع على روحك و أعمل مشاريعك بالنسبة, donc voilà on a décidé de postuler dans l'ost préincubateur
علاش علاش طال الإنتظار على خاطر c'est de gros projet, pourquoi attendre parce que c'est un gros projet
علموهم و الديهم التجارة, علموهم ولديهم الجارة
و كيما كان يتعامل مع المنجي و السفر, وكما كان يتعامل مع المنجي والصفر
قالولهم لكلنا ليها و هذا أمر ربي و سنة الحياة, قالوا لهم الكل ناليها وهذا أمر ربي وسنة الحياة
قالوا يا محمود, قالوا يا محمود
يركركو في التاي ولا على بالو, إراك ركف التاي والعلى بالو
تبسم محمود و قالوا عندك أفكار هايلة يا وحيد, اتبسم محمود وقال له عندك افكار هالة يوحيت
و من لا عنده فضة فعنه الناس منفضة, ومن لا عنده فضة فعنده الناس من فضة
و في وسط البيت فمة كرسي, وفي وسط البيت ثم كرسي
و بعد ما سترجعت كل شيء, وبعد ما سرجعت كل شيء
و يرا في كي العظروت قدام الباب, ويرافي كل عضلوت قدام البيت
قلتلها يامي زايد أنا قررت و مرة باش نخلق, قلت لها يا مين زيت أنا قررت أنا باش نخلق
يعني ميسورة الحال, يعني ميزورة الحق
و أنا هزتني السرحة و البهتة و مانيش مصدقة ولا مستوعبة الشي لي قاعدة تحكي فيه ها المراء, وانا هزتني السرحة والبهتة ومانيش مصدقة ولو ما استوعب الشي اللي قاعدة تحكي فيها هالمرة
