Reference,Prediction
رقبة,رقبة
رياضه,في الريادة
روج,روج
صعيب,صعيب
سامحني دزولي,سمحني دزله
صبع صوابع,اسبع سويبا
صفر,اسفر
صغير,صغير
سياده,سيادة
سلاطة,سلاتة
سميد,سميد
سكر,سبكّر
صندوق ادخار,صندوق الدخار
سباغيتي,اسبكدتي
سوايع,إسواية
طبلا,تبلض
تنين,تنين
تسعميه,تسا مي
طفل,اتفول
ثلج,سنر
ثلاثة,خليفة
تمر,اسمره
فرنسوية,فرانصويا
خمسة,خَمسَا
حداش,أَحدِاش
واحد و عشرين,وَاحَد - وعَشرين
خمسين,خَمسِين
ترد بالك,اترِد بلك
واحد و عشرين الف,وحد عشر النلف
واحد و ثلاثين الف,واحدُثْ لفي نلف
وزير اول,وزير أول
ولد,والتْ
و انت,وَانتِف
يتعاود ديما,يتعاو الجلمة
زعما زعما,زام زامه
زرزومية,زرزوميه
كان ابراهيم راجل صالح و يعرف ربي و كان زادة راجل غني برشا نهار من نهارات شاف ابراهيم منامة ظهرلو فيها ربي باش يقلو ما تخافش يا ابراهيم انا باش نحميك,كان إبراهيم رجل صالح ويعرف ربوكنزاد رجلخني برشانهار من هراة شيف إبراهيم منامة  اذهل فيها رب الباش قل مدخاف اشيابراهيم آان باشنحميك
وآجرك كبير عندي وقتها جاوب ابراهيم ربي و قالوا يا ربي كيفاش باش تجازيني و انا ماشي من ها الدنية هاذي حتى وليد ما عنديش باش يورثني من بعد ما نموت خديمي هو الي باش يورثني,وأجْرِ كَكْبيرِ عَنْ جِهْ  وقْتَ شَرُوبِابراهيمٍ ربِّي قلُّهْ ي رَبّكف اشْبِشَجزينِ وأينَ مَشّ منْ هالدّنْيا هافِي حتَّىْا لا يَدْمَعَ انْزَيجَ باشيرُوثْنِ منْ بعْدْ منْمُوتِ اخْدْجمِ هُ و لشيرُوتن
يخي جاوبو ربي و قالوا مش خديمك الي باش يورثك اما ولدك الي باش يجي منك هو الي باش يورثك و صدق ابراهيم كلام ربي و آمن بيه,بيخجيوبو ربي وقالوا مشخديمك لبش يورفك أم ولدك انلباشجي منك هو لبشورفصدق ابراهيم كلِم رب وآمن به
نهار من نهارات خزرت سارة مرة ابراهيم لراجلها و قتلو انا توا ما نظناش علاش ما تخذشي خديمتي هاجر فماش ما ربي يرزقنا بوليد منها,نهار منهاراة خزرت سارة مارتبراهيم الرجلحة و قتل أنا تومنضنيش عل أشمة خذشخديم تهيجِر فمشم ربي يرزقنا بلايد منها
و عمل ابراهيم كيف ما قالتلو مرتو سارة و خذا هاجر,وعمل إبراهيم كيفمَ قتل مركُ اصهر أخْذرهجْر
و حبلت هاجر اما من بعد ما حبلت ولات متكبرة على للاتها سارة الشي الي خلى سارة تخزر لابراهيم راجلها و تقلو,وحبلت هيجر أمن بعد ما حبلت والاتم الكابرة عليتاسار الشي لخلسارّة تغزر إبراهيم رجلها واتقلّه
ابراهيم هاذا كفويا معاك من بعد ما خذيتلك خديمتي و كيف ما حبلت انا للاتها صغرت في عينيها ولات تخزرلي بمحقرانية,إبراهيم هيذا اكفو يامعاك من بعد مخذيث كينج وكيف ما حبلت اين لليتسخرتفعينيها وللتغزر للمحقرانية
ربي هو الي يفصلها ما بيناتنا يا ابراهيم ياخي جاوبها ابراهيم وقتها و قلها هاني خديمتك قدامك اعمل فيها الي تحب عليه,رب هو ليفصلهم بنيثن يبرحييخج وها ابراحيم  واقتوا قله هني اخدمت قديمك أعمل فيها لتحب عليه
وقتها بدات سارة تذل في هاجر لين خرجت هاجر و هربت منها و قعدت ماشية في الثنية لين ظهرتلها ملايكة من عند ربي آمرتها باش ترجع للاتها سارة و تسمع كلامها,واقتْهب ذيت سار الذِلف هاجْرْ لإن خَرجتْ هِيجرْ وهَربَتْ منهاوقَعدَتْ ميشي فالثنية لنذهرتْ تلهام ليك من عنْد ربي امرَتهب اجترجة على الليتهة سارّا وتَسمع كليمها
و زادة وعد هاجر ربي باش يكثر اولادها لين ما عادش يتعده و قلها ربي الي باش تولد وليد و تسميه اسماعيل و معناها ربي يسمع,أوزيدَ وعد ربهاجْر بشكفّر أو لايدها لنمعادشِ تعدُ وقله ربي البجتُو الدوليدْ واتسميهِ اسمعيل ومعناها ربي يسمعْ
على خاطر ربي سمع صوتها وقت الي تهانت وتذلت و عملت هاجر كيف ما قلها ربي وقت الي ولدت ولدها سماتو اسماعيل,عَلَى خَتْ رَبِّ اسْمَحْ صُوتَة  وَقْتْ الِتَاَانَتْ وَادْذَلَتْوَعَمْلَتْ هَيْشَرْ كَيْفَمَ قَلْهَا رَبِّه   وَاقْتلْي وَلْدَتْ وَلدْهَةَ سَمِعةُ إسْمَاعِيلَ
و كان وقتها وقت الي ولدت كان عمر ابراهيم ستا و ثمانين سنة,الواقتل والضت كان عمرة إبراهيم ست واثمينين اسنئ
خرج ربي الشعب متاعو من ارض العبودية مصر و كيف خرجو من مصر قادهم ربي في الصحراء باش يرجعو لارض الموعد الي وعدهم بيها,خرج رب الشعْبِ امتيعُه منْ أرض العُبودَية مصْرِ وَكيف خرجُو منْ مصرِ قادهُمْ ربِّ في الصحرة بشيرجعُ الأرضَ الموعد ليعدْهم بها
و في الثنيه متاعهم عمل ربي برشا معجزات على خاطرهم باش يوكلهم و يشربهم و يحميهم,وفثنَيَ امتيحٌم عمل ببرشَ معْجِزيت على خترم بشوكّلهم وشرَّبْهم يحميهم
شهرين بعد ما خرجو من مصر نصبو الخيم متاعهم بحذا الجبل و الجبل هاذا هو الي طلع عليه موسى باش ياخذ من عند ربي الشريعة يعني وصاية ربي,شهرين بعد مخرج م المصر نصب الخيم امتيح بحض اجبلمجبل هذا هو الإطلعة ليه موسى بشيخذن عن ترب الشريعة يعن يو صايت ربي
و من بين ها الوصاية ما تصنعوش آلهة و ما تعبدوش و ما تسجدوش لغيري,ومنبينها الصاية متصنعوش أيلها متعبدوش متسجوش الغيري
و موسى اعلن للشعب الكل كلام ربي هاذا و الشعب جاوب موسى باللي راهم باش يعملو الي قال عليه ربي الكل و باش يتبعوه في كلامو,َوْموسى حالَ لشََّعْبَ الكُل لِمْ ربّ هذا والشعْبِ جيوِ بموسى بَلِ راهم الشعْمْلُ لقَالَ عَلَيهِ رب الكُلْب وبشتدعو فكليمْو
وكي طلع موسى فوق الجبل باش يكلم ربي قعد اربعين يوم و اربعين ليلة,وكتنا موسى فقشبل بشكا لم رب قادر بينيومو اربينليا
هاو كيف الشعب استبطى موسى و موسى قعد برشا ما رجعش مشاو يتذمرو لهارون و قالولوا توينه موسى آش بيه ما رجعش التوا,هوكف الشاء اصطبطة موسى أموس قعد برش مرجعش مشو الزمر الهارون قلولو توين موسى شبمجاش الطول
اصنعلنا آلهة باش تقودنا وقتها هارون آمرهم باش يجيبو البلالط و السياغا متاعهم الكل,اصنعلنا أيلهب شتقودنة واقت هارون أمرهم شجيب البلالة وي السياغة امتيحب الكلب
و لم هارون السياغا الكل و صنع بيها عجل من الذهب و قاللهم ها العجل الذهب هاذا هو الاهكم الي حرركم و خرجكم من مصر و من عبودية المصريين,وَلَمْهَارُونَ كالسِاغَة الْكُلْ مَصْنَعَ بِهَا عَجْلِْ مَذْهَبٍ  وَقَالْ الْهُمْحَالَ عَجْلْ الذَّهبِ هَذَا هُوَ إلَْهْكُمْ اَلِحَرَّرْكُمْ وخَرَجْكُمْ ِنْالنَصْرِ  وَمَنْعُ بُدَيَّتَ الْمَصْرِنِينَ
و من غدوا قدمولو الذبيح متاعهم و عبدوه و سجدول و من بعد ما كلاو و شربو عملو في خلاها ما ولاها و فسدو كيما حبو,وَمَنْ خُدْوَى قَدْ مُلُ ثَبِحَ امْتِيحٌ وَ حبدُوهُ سَجْدُولُ وَمَنْ بَعْضْ مَكْرِيبِ شَرْبٌ  عَمْلُ فِخْليهَا مَاوالِيهَا وَفَاصْدُكِ مَحَبُّ
و في هاك الوقت تغشش ربي برشا و قال لموسى على الشي الي عملو الشعب متاعو و كيفاش عبدو الاه غيرو و قال ربي لموسى الي باش يهلكهم الكل على اعمالهم,وَفِي هِكْ الْوَقْتِ دَغَشَشْ رَبِ بَرْشَةِ وَقَالَ الْمُوسَى عَلَى الشَّيِّ لِعَمْرُ الشَعْبِ امْتِيعُ وَكَيْفَاشَ عِبْدُ إلَيْهِ غَيْرِوَقَالَ رَبِّ الْمُوسَى الِبشِهْلِكْ هُمْ الْكُلِّ عَلَى أَعْمَالِهِ
لكن موسى وقتها طلب من ربي باش يرحمهم و ذكر ربي في الوعد الي وعده لابراهيم و اسحاق و يعقوب باش يكثرهم كيف نجوم السماء,لكن موسى وقتها طلما ربي بشرحمهم  أذكر رب في الوعد لوعد الإبراهيم وسحاق يعقوب بش كفرهم كيف انجوم السمعت
و الي باش يعطيهم الارض الي وعدهم بيها لآخر الدنية و من بعد ربي حن عليهم و ما هلكهمش,ولِبِشَّعْتَهِمْ الْأَرْضِ لِيُعَدْهُمْ بِهَا لَيَخْرِ الدُّنْيَا وَمَنْ بَعْدَ رَبِّ الْحَنَّ عَلَيْهِمْ وَمَهْلَكْهُمَ
و كيف هبط موسى و شاف الشي الي يعملو فيه الشعب تغشش برشا و رمى الالواح متاع الشريعة الي كان منقوش علاها الوصاية العشرة متاع ربي ياخي تكسرت,وَكِفَهْبَتْ مُوسَى وَشَيْفَ الشَّيِّ لِيَعْمْلُ فِيهِ الشّعْبِ دَغَشَشْ بَرْشَأَ وارمِلَ الْويحَ مْدَعَالشَّريعَةِ أَلِكَينَ مَنْقُوشَ عَلَيْهَا الْوَصَايَرَ عَشْرِة امْتَعْ ربِّ لِخِدْ كسرِ
لكن مرة اخرى طلع موسى و خذا الالواح متاع الشريعة من عند ربي و زادة لم موسى الشعب الكل و علنلهم على الي مكتوب في الالواح متاع الشريعة على وصايا ربي المكتوبة,لكالمرى أخرت لا موسى واخبر ألويحمطعى الشريع عن ربوزدل موسى الشعب الكلب  وأعلنلهم عل المكتوب فللوي حمدعن الشريحة على وصايا رب المكتوبة
قالهم ربي الاه رؤوف رحيم ما يتغشش فيسع و يغفر المعاصي و الذنوب كيف يستعرفو بيها لكن زادة عادل و يعاقب المذنب,قلهربّ إلهِ رءوفْ ر حيمِ ميتغشّى الشفيسةِ ويخفى المعاصِي والذنوب كيفنا ستغرفُ بيحا لكنْ زيدة  هو عادِل  وعاقْبِ المذنبِ
و ربي زادة قال طيعوني و ما تعبدوش آلهة اخرى غيري,أورَبِّ سِدَقَالَ تِعُونْيُ مَتَعَبلُوجٍ إلَهَا أُخْرَى غَيْرِي
و بعد ما قاوم يسوع العازر مشى للقدس و كان فمة وقتها ناس متفاهمين باش يستحايلو على يسوع و يدبرو كيفاش يقتلوه و يسوع بيده تننبا على موته وقت الي كان ما زال مع التلامذة,وبعض مقومي سعةل عازر امشال القتز وكانْ فم وقتها لناس مت فهمين بشست حايل على يسوع ودبرو كفاشقتلوهويسعبتُ تنَبأ على موتُ  واقتلكانْ مزلمعت لمدا
و فمة نهار و همة ياكلو مع بعضهم خبرهم يسوع باللي فمة واحد من بين التلامذة متاعو باش يخونه و يسلمه للموت,وفَمَنْهار وهُمَا يَئكلُمَا بَعَثَهُمْ خَبْرْهُمْ ييسوعُ بلْ فَمَا واحَدٌ مِنْ بينَتْ لامِ ذَامْتاعُوا بَشِي خُونُو وِسَلْمٌو للمُوت
وقتها يسوع كان يقصد في واحد اسمه يهوذا الي عطى للناس الي باش يشدو يسوع امارة و هيا الشخس الي باش يسلم عليه بالبوس هو المقصود و هذاكة هو يسوع,وقتها ياسوع كان يُقسدْ في واحد اسم ياهوذة اليعطال الناس لباششدّ ياسوع آمارهي الشخص لباشي سَلم عليه بالبوس هو المقصود وهذكه ويسوع
وقت الي كان يسوع يحكي مع تلامذت جى يهوذا و معاه الجماعة من عند الشيوخ الي باش يشدو يسوع و كيف سلم يهوذا على يسوع قدم للجماعة و شدوه و هزوه عند شيخ الكهان باش يحاكموه,واقتِلكان السعِ يحْكِنْ معَثلمفد جايا هذا معها اجماع منْ عند الشيوخْ لباشِ شدّ يسوعوكيفْ سلمْ يهودْ على يسوعِ قدْ مجمَعُ شـدّوهْ  وهـزُوها عنْ تشيخْ الكوهانْ بشِ احكموه
وقتها لوجولو على شهادة زور تخليهم يقتلوه اما ما لقاوش من بعد سال شيخ الكهان يسوع و قالوا انت هو المسيح ولد ربي يخي جاوبو يسوع اي نعم كيما قلت,واقده لوجول على اشهد الزور يادخلهم يُقتلوه أمم القاوش من بعث سأل شخ الكهان يسوعُقالوا انتي هو المسيح ولدرب يخجوب يسوعانعم  كيما قلت
ياخي قرر المجلس باش يتحاكم يسوع على خاطر راو انه قاعد يشرك بالله و زيد على هاذا كانت الناس تصيح و تعيط يستاهل الموت اقتلوه,يخ قرر المجلس بيشت حاكم يسوع على ختالراو أنقاعد يشرك بالله وزيد على هذا كانت الناسة صيح طعايث يستهر الموت اقتلوغ
و كانوا العسكر الرومانيين يضربو في يسوع و يبزقو عليه,وكانوا العسكر الرّمنيّين يذرب فـي سو أويبزقْ عليهْ
و من بعد كتفوه و هزوه للوالي باش يحكم عليه الحكم الاخر لكن الوالي ما كانش موافق على الي قالوا المجلس وقت الي قالوا يموت يسوع,ونباعة  كتفوه وهزول الويل بيس شحكمْ عليه الحكم الاخرلكن الوايلي مكانتْ شوافق عـلي قالوا المجلس واقتلقالواي موتيا سوع
اما على خاطر الشعب دخل بعضو يحبو يسوع يموت قالهم الوالي انا خاطيني هاوينه ما بين يديكم كان تحبوا تقتلوه اما دمه في رقابيكم راني ما ني ش مسؤول على قتلانو,أمعلى ختر الشعبة خلل بعض يحب يسوع موت قلهم الوالي أنا ختيني أوين مبنديكم كاين تحبوت قتلوه أمادام فيرقبتكم رنم رجم س ؤول على قتلينو
و تعذب يسوع برشا قبل ما يهزوه للبلاصة الي باش يتصلب فيها,وَتَعَفَّ بِيَلسُّوعَبَار شَقْ بَلْ مَهِزُّولَ الْبْلَاسَة لِبَشِْ تَصْلَبذِّهَا
و تصلب يسوع و تصلبو معاه زوز قطعة و مجرمين واحد على الليمين و واحد على يسار و كانت الناس تتمسخر عليه و تقلو كان انت المسيح بالمنجد منع روحك,وتصلب ياسوع واتصلب معا زوس قطعيا أمجرمينواحد علمين واحد عالساركانت الناس تت مسخر عليه وادقلّ كان انتِ المسيح بلمن جد م نع روحك
الغريب في الحكاية حتى قطعية واحد منهم زادة كان يتمسخر و يقولو في نفس الكلام اما المجرم الآخر خزر للاول و قال حتى انت باش تتصلب كيفو,لغريف الحكاية حتى القطْعية واحد منهم زاد كانت ماسخر وبقل ف نفس لكلام عم المجرم الآخر أخسرنا اللول قال حتى إعتِباشتَصلُب كيفو
تتمقعر عليه انت على الاقل تستحق الموت اما هو مسكين ما عمل حتى شيء,دتمقر عليه  انتِ على قلت استحق الموت أنا هو مسكين  معم الحشيء
وقتها قاملو يسوع و قالوا اليوم باش تكون معايا في الجنة و عيط يسوع عيطة قوية و مات وقت الي مات يسوع تزلزلت الدنية و ظلامت بالرغم الي وقتها كانت قايلة,وَاقْدْ هَ قَمْلُ يَسُوعُ قالُوا إلْ يُونْبَشَتْ كُنْ مَعَايَف الجَنَّةِوَعَايَةْ السُوعِ تَقْوِي يَوْمَاتْ وَاقْتْلِمَاتِيَسُوعَة زَلَزِةِ الدُّنْيا وَاظْلمَتْ بالرََّغْمِ لِوَقْتْهَا كانَتْ قايلةه
قررت باش نتوقف عالدراسة داكور خذيت الباك وحتى كان المعدل كان باهي و ما نجمتش نكمل قرايتي,قررت بصنتعقف عن دراسة - بغون - أخلِتل باك و حتى كِ المُعدض الكِن بِه - و من زمشٍن كَما الأقراين
ولا برودوي الي ممكن يخدم في تونس تخدم بيه لعوام لولانيا تفهم بيه ال مارش تجرب فيه بالظبط اما الفكرة هو انو كيفاش تكبر كيفاش تمشي لدول اخرى كيفاش تنجم تعمل ال قروث بالظبط اكزاكتمون كيفاش تنجم تكبر,يس والا برودوي ملكن يخدفتون استخدمبيلع ويملولنا يتفهم به المرسيجزرفي أم الفكرة هو أنك في استكبر كفي ستمش الدول أخرى كفيسنجم تعم الاشجرو عيلير الغروثإغذكتا جيسناجم كبر
بالنسبة للناس لي عندهم افكار بار اكزامبل اليوم,بِالنسم لنيس لعندم ما أفكار قاجزو ب ليوم
فمة طريقة تفكير و طريقة تعامل مع ال برودوي مع ال سولوسيون مع المشروع بصفة عامة,فما ترق التفكير أطاريق التعامُل مع البرودوي- معا ءلأسولسيو - معاء لمشروع أبص فعاما
مركز المسيرين الشبان بيان احنا نلمو المسيرين الشبان لي عندهم اقل من خمسة و اربعين سنة,ا مركتز المسيرين شبين  -  - نحن لم للمسيرين شوبّينني عندم قلمن خسر بعين اصنيء
الي يخلينا احنا,لِبِخَلِّيلَ أَحْمَا
فمة ابرونتيساج في العقلية لاهي يتم جديد و و هاني جايك انا ماهر الخليفي على خاطر كلمة قالها براهيم تركي مهمة ياسر علاش لا القانون ما يتبدلش انتوما خدمتو على تغير القانون كاريمون معناها لهنا نحكيو على قانون متاع بلاد,عفما برنكساش العقلية لهي تجيد وهنَجيْ كان ماهر الإخليشيا لخاتر كلم قاله برايم تركي مهم يسر - عليشليل قانون مذ ب د لسمتوم وسدمت على تغيير القانون الكاريمو لهنحك وقانونتعبليد
افيك يون اوتر ماشين افيك ان سيرفور افيك دي ديتيكتور ان في تولي لين دي برودكسيون انتليجنت دابليو ال كومينيك بينها و بين بعضها,أذاكندخ مشين كرن سخفاغ ذكر أبكدي ذكتد تكتاغفتوليندبخ جكسيو أنتِ ليجات ويذكممينيك بنه بن بعض
الشي هذايا يصير ا ترافير لا سيقناتور الكترونيك دونك حنا ان في وقتلي جينا حبينا نحلو المشكلة المشكل فينانسي هذايا لي هو كيفاش نخلي لعباد,لشيهدي سيرة ر افرلس يتوغلكتونيك بدنغحنيا فيتوقتيجين حبنًا حلّ المشكلة المشكل الفي ننسية ذه ل هو لكفشا خلي ل اعبيد
لكن ريلمون الفسفة متاعنا من اللول كانت الي راهو اول حاجة نشوفوا نشوفوا القانون شنوا يسمح و نشوفو زادة ايست سي كي فماش يون انتربريتاسيون للنص القانوني,لكن غي المول فلزفام تعنم لواللكانت اليراه أو الحرج شفنشف القنوش ويمح نشوف زدا أسكنفميننتخبخط لنس القنون
اي بور كومونسير ا سانستالي لا دون دوران نوف موا اي يلز فون اتر اكومباني سور لي فول كيما قلنا لي فول تكنولوجيك لي فولي اونترابرونوريال اي كرياسيون جوريديك اي سيتيرا اي لي فول براتيكمو فينانسي بور كي,لغوقِ بـكمُ ِيئَكة الّليل الدّ - جونْ نَفم لهِبارِ الخة كُمبَني أشيغربليكْمَقُلنا لبولتكنولجيكْ لب أتوكُو نَغْيا ليكياسير جُريديبِ التتغاءِ لذلي يُدخ الفِكمَا وكِنُو الي وبوكي
