Reference,Prediction
طفل,ت ف
ثلج,س
ثلاثة,فلافا
تمر,تمر
أيه,ي
فرنسوية,فرانسويا
خمسة,مسخمسا
حداش,حد ش
واحد و عشرين,واحد وعشرين
خمسين,خ مت
ترد بالك,تردبلك
واحد و عشرين ألف,وحد عشر نألف
واحد و ثلاثين ألف,واحد لثين ألف
وزير أول,وزير أول
ولد,ود
و انت,ونتي
يتعاود ديما,يتعاول ديما
زعما زعما,زام زاما
زرزومية,زرز م  ي
كان إبراهيم راجل صالح و يعرف ربي و كان زادا راجل غني برشا نهار من نهارات شاف إبراهيم منامة ظهرلو فيها ربي باش يقلو ما تخافش يا إبراهيم أنا باش نحميك,كان إبراهيم رجل صالح ويعرف ربي وكان زادا رجل غني برشا نهار من هرات شاف إبراهيم امناما اذهل فيها ربي بشيقل مت خافششي إبراهيم آن بشنحميك
وآجرك كبير عندي وقتها جاوب إبراهيم ربي و قالوا يا ربي كيفاش باش تجازيني و أنا ماشي من ها الدنية هذي حتى وليد ما عنديش باش يورثني من بعد ما نموت خديمي هو إلي باش يورثني,و أجرك كبير عندي وقتها جاء بإبراهيم ربي وقالو يا ربي كفاش بشلجازيني وآنا ماشي منها الدنيا هذي حتى ولايد معنديش بالشيورثني من بعد منموت اخديمي هو لبالشورذ
يخي جاوبو ربي و قالوا موش خديمك إلي باش يورثك أما ولدك إلي باش يجي منك هو إلي باش يورثك و صدق إبراهيم كلام ربي و آمن بيه,يخجيوب ربي قالوا مشخديمك لبشيورثك أما ولدك اللباش جي منك هو لبشيورثك اصدق إبراهيم كلام ربي آمن بيه
نهار من نهارات خزرت سارة مرة إبراهيم لراجلها و قتلو أنا توا ما نظناش علاش ما تخذشي خديمتي هاجر فماش ما ربي يرزقنا بوليد منها,انهار من هارات خزرت سارا مرت إبراهيم لراجلها وقتلوا إنا تومنظناش عليش مت يخذ شخدينتيهاجر فمشما ربي يرزقنا بليد منها
و عمل إبراهيم كيف ما قالتلو مرتو سارة و خذا هاجر,وعمل إبراهيم كفم قتل مرت سر اخذاه هاجر
و حبلت هاجر أما من بعد ما حبلت ولات متكبرة على للاتها سارة الشي إلي خلى سارة تخزر لإبراهيم راجلها و تقلو,وحبلت هاجر أما من بعد محبلة ولت مبكبر على لليتها سارا الشيلخل سارا تخزر الإبراهيم راجلها وتقلوه
إبراهيم هذا كفويا معاك من بعد ما خذيتلك خديمتي و كيف ما حبلت أنا للاتها صغرت في عينيها ولات تخزرلي بمحقرانية,أاباهيم هذا كفو يمعاك من بعد مخبيت لكخدينت وكيف ما حبلت أين لليتهصغرت فيعينيها أوللتغزر للمحقرانية
ربي هو إلي يفصلها ما بيناتنا يا إبراهيم ياخي جاوبها إبراهيم وقتها و قلها هاني خديمتك قدامك أعمل فيها إلي تحب عليه,رب هو ليفصلها مابينيت ما يأبراهيم يخي جوبها إبراهيم وقتها قالها هان خدمة القدامك أعمل فيها لتحب عليه
وقتها بدات سارة تذل في هاجر لين خرجت هاجر و هربت منها و قعدت ماشية في الثنية لين ظهرتلها ملايكة من عند ربي آمرتها باش ترجع للاتها سارة و تسمع كلامها,وقته بذيت سار ذل في هاجر لينخرجت هاجر وهربت منها وقعدت ميشفاثنية لينظهرتتلهم ليك من عن لربي وأمرتها باشترجع لمليتها سارا وتسمع كلامها
و زادا وعد هاجر ربي باش يكثر اولادها لين ما عادش يتعده و قلها ربي إلي باش تولد وليد و تسميه إسماعيل و معناها ربي يسمع,أزاد أعد ربي هاجر بشكفر أولادها لنم عادش تعد وقلها ربي لبشتول دليد وتسميه اسمعيل ومعناها ربي يسمع
على خاطر ربي سمع صوتها وقت إلي تهانت وتذلت و عملت هاجر كيف ما قلها ربي وقت إلي ولدت ولدها سماتو إسماعيل,علخات الربيسمحصوتا وقت اللتانة والذلت وعملت هاجر كيف مقلها ربي وقت لولدت ولدها سمت اسمعيل
و كان وقتها وقت إلي ولدت كان عمر إبراهيم ستا و ثمانين سنة,وقت لولدت كان عمر إبراهيم 6مثناء
خرج ربي الشعب متاعو من ارض العبودية مصر و كيف خرجو من مصر قادهم ربي في الصحراء باش يرجعو لأرض الموعد إلي وعدهم بيها,خرج رب الشعب امتيعوا من أرض العبودية مصر وكيف خرجه من مصر قردهم ربلي في الصحرة بشيرجع الأرض الموعد إل يعدهم بيها
و في الثنيه متاعهم عمل ربي برشا معجزات على خاطرهم باش يوكلهم و يشربهم و يحميهم,فثني يمتيحم اعمل رب برش معجزات على خطرهم بش يوكلهم واشربهم ويحميهم
شهرين بعد ما خرجو من مصر نصبو الخيم متاعهم بحذا الجبل و الجبل هذا هو إلي طلع عليه موسى باش ياخذ من عند ربي الشريعة يعني وصاية ربي,شهرين بعد مخارج ملمصر نصب الاخيام امتاح بحذا الجبل مشبل هذا هو اليطلغ عليه موسى بشيخد من عن ربي الشاريعة يعني يصايط ربي
و من بين ها الوصاية ما تصنعوش آلهة و ما تعبدوش و ما تسجدوش لغيري,ومن بينها لوصايا ماتصنعوش آلها وما تعبدوش ما تزجوش الغير
و موسى أعلن للشعب الكل كلام ربي هذا و الشعب جاوب موسى باللي راهم باش يعملو إلي قال عليه ربي الكل و باش يتبعوه في كلامو,وموسى حال لشعب الكل كلام ربي هذا والشعب جيوب موسى بل يراهم بشعمللقال عليه ربي الكل وبشتبعوه في كلامه
وكي طلع موسى فوق الجبل باش يكلم ربي قعد أربعين يوم و أربعين ليلة,وكتلع موسى فقشبل بشكلم رب قاد ربعين يوم وربعين ليلا
هاو كيف الشعب إستبطى موسى و موسى قعد برشا ما رجعش مشاو يتذمرو لهارون و قالولوا توينه موسى آش بيه ما رجعش التوا,هوكف الشعب اصطبطى موسى ومسقعد برش مرجعش مشود زمر الهارون وقالولوا جيوين موسى اشبمرجعش الطاوة
أصنعلنا آلهة باش تقودنا وقتها هارون آمرهم باش يجيبو البلالط و السياغا متاعهم الكل,اصنعل  آيلها باشتقودنا وقتهاب هارون أمرهم بشجيب البلالة للصياغ امتيحم الكل
و لم هارون السياغا الكل و صنع بيها عجل من الذهب و قاللهم ها العجل الذهب هذا هو إلاهكم إلي حرركم و خرجكم من مصر و من عبودية المصريين,ولم هارونك الصياغ الكل اصنع بها عجل مذهب وقال لهم هل عجل الذهب هذا هو إليهكم ألي حراركم وخرجكم المصر ومن عبودية المصرين
و من غدوا قدمولو الذبيح متاعهم و عبدوه و سجدول و من بعد ما كلاو و شربو عملو في خلاها ما ولاها و فسدو كيما حبو,ومن خدوى قد مولوا ثابيح امتيحم وعبدوه سشدولو ومن بعد مكليو شربو عمل في خلاها ماواليها وفزدكمحب
و في هاك الوقت تغشش ربي برشا و قال لموسى على الشي إلي عملو الشعب متاعو و كيفاش عبدو إلاه غيرو و قال ربي لموسى إلي باش يهلكهم الكل على إعمالهم,وفي هكل الوقت تغشش ربي برشة وقال الموسى على شي لعمر الشعب امتيحو وكيفاش عبد إله غيره وقال الرب الموسى إلي بشهلكهم الكل على أعمالهم
لكن موسى وقتها طلب من ربي باش يرحمهم و ذكر ربي في الوعد إلي وعده لإبراهيم و إسحاق و يعقوب باش يكثرهم كيف نجوم السماء,لكن موسى وقتها اطلب من ربي بالشرحمهم وذكر الرب في الوعد الوعد الإبراهيم وسحاق ويعقوب بشي كثرهم كيفنجومسمام
و إلي باش يعطيهم الأرض إلي وعدهم بيها لآخر الدنية و من بعد ربي حن عليهم و ما هلكهمش,ولبشعتهم الأرض ليعدهم بها لخر الدنيا ومن بعد ربي حن عليهم ومهلكهمش
و كيف هبط موسى و شاف الشي إلي يعملو فيه الشعب تغشش برشا و رمى الألواح متاع الشريعة إلي كان منقوش علاها الوصاية العشرة متاع ربي ياخي تكسرت,وكيف هبطموسى أشاف الشيل ليعمل فيه الشعب دغشش برشة وارمال الويح امتع الشاريعة إلي كان من قوش عليها الوصايا العشر امتعربي يخذ كسرة
لكن مرة أخرى طلع موسى و خذا الألواح متاع الشريعة من عند ربي و زادا لم موسى الشعب الكل و علنلهم على إلي مكتوب في الالواح متاع الشريعة على وصايا ربي المكتوبة,لكن مرى أخرة لع موسى واخذال ألواحم تع الشريعةمعن ربي وزد لم موسى الشعب الكل وأعلنلهم عن لمكتوب في الألواحم تع الشريحة على وصايا ربي المكتوبة
قالهم ربي ألاه رؤوف رحيم ما يتغشش فيسع و يغفر المعاصي و الذنوب كيف يستعرفو بيها لكن زادا عادل و يعاقب المذنب,قلهم رب إله رأوف رحيم م يتغشش فيسع ويخفر المعاص والذنوق كيف نستعرف بها لكن زادا هو عادل ويعاقب المذنب
و ربي زادا قال طيعوني و ما تعبدوش آلهة أخرى غيري,ورب سدقال تيعونيمتعدوش إلها أخرى غيري
و بعد ما قاوم يسوع العازر مشى للقدس و كان فمى وقتها ناس متفاهمين باش يستحايلو على يسوع و يدبرو كيفاش يقتلوه و يسوع بيده تننبأ على موته وقت إلي كان ما زال مع التلامذة,وبعد  ما قوم يسوع لعازر مشال القدس وكان فمع وقتها ناس متفهمين بش استحايل على يسوع ويدبر كفاش يقتلوه ويسوع بيتو تنبى على موتو وقت اللكان مزال مع تلامذا
و فمى نهار و همة ياكلو مع بعضهم خبرهم يسوع باللي فمى واحد من بين التلامذة متاعو باش يخونه و يسلمه للموت,وفمنار وهما ياكل ما بعظهم خبرهم يسوع بلفم واحد من بين اتلام تمتاعوا بشيخونوا ويسلموا للموت
وقتها يسوع كان يقصد في واحد إسمه يهوذا إلي عطى للناس إلي باش يشدو يسوع امارة و هيا الشخس إلي باش يسلم عليه بالبوس هو المقصود و هذاكة هو يسوع,وقتها يسوع كان يقصط في واحد اسم يهوذا إلعطال الناس لباش شد يسوع أمارا وهي الشخص لباش سلم عليه بالبوس هو المقسود هذكهو يسوع
وقت إلي كان يسوع يحكي مع تلامذت جى يهوذا و معاه الجماعة من عند الشيوخ إلي باش يشدو يسوع و كيف سلم يهوذا على يسوع قدم للجماعة و شدوه و هزوه عند شيخ الكهان باش يحاكموه,وقت لكان يسوع يحكم عتلامثته جا يهوذا ومعها الجماعة من عند الشيوخ لباش شد يسوع وكيف سلم يهوذا على يسوع قد مجماع وشدوه وهاذوه عند شيخ الكهان بشي حاكموه
وقتها لوجولو على شهادة زور تخليهم يقتلوه أما ما لقاوش من بعد سأل شيخ الكهان يسوع و قالوا انت هو المسيح ولد ربي يخي جاوبو يسوع إي نعم كيما قلت,وقتها لا وجوروا على شهادة ازور ادخليهم يقتلوه أمام القاوش من بعد اسئلشي خ لكهان يسوع قالوا عنتي هو المسيح والدرب يخجاوب يسوع إين عم كما قلت
ياخي قرر المجلس باش يتحاكم يسوع على خاطر راو أنه قاعد يشرك بإلله و زيد على هذا كانت الناس تصيح و تعيط يستاهل الموت أقتلوه,يخي قرر المجلس باش تحاكم يسوع على خطى الراو أنقعد يشرك بالله وزيد على هذا كانت الناس اطصيح وتعية يستهل الموت اقتلغ
و كانوا العسكر الرومانيين يضربو في يسوع و يبزقو عليه,وكانوا العسكر الرومانيين يضرب في يسوع ويبسق عليه
و من بعد كتفوه و هزوه للوالي باش يحكم عليه الحكم الاخر لكن الوالي ما كانش موافق على إلي قالوا المجلس وقت إلي قالوا يموت يسوع,ومبعض كتفوه أهذه للوالي بش يحكم عليه الحكم لاخل لكن الوالي ماكانت شوافق عل إقال المجلس وقت الإقال يموت يسوع
أما على خاطر الشعب دخل بعضو يحبو يسوع يموت قالهم الوالي أنا خاطيني هاوينه ما بين يديكم كان تحبوا تقتلوه أما دمه في رقابيكم راني مانيش مسؤول على قتلانو,أنا على خاطر الشعب ادخل بعض يحب يسوع يموت قلهم الوالي أنا خطيني أوينوا مبني ديكم كان تحبو تقتلوه أمادموا في رقبتكم رني من يشم سؤول على قتلين
و تعذب يسوع برشا قبل ما يهزوه للبلاصة إلي باش يتصلب فيها,وتعفب يسوع بارش قبل مه الزل البلاسا للباشي تصلب فيها
و تصلب يسوع و تصلبو معاه زوز قطعة و مجرمين واحد على الليمين و واحد على يسار و كانت الناس تتمسخر عليه و تقلو كان انت المسيح بالمنجد منع روحك,وتصلب يسوع واتصلب معها زوس قطعية ومجرمين واحد عليمين واحد عليصار وكانت الناس تتمسخر عليه ودقل كان إنتي المسيح بالمنجد من نعروحك
الغريب في الحكاية حتى قطعية واحد منهم زادا كان يتمسخر و يقولو في نفس الكلام أما المجرم الآخر خزر للأول و قال حتى انت باش تتصلب كيفو,لغريب في الأحكاية حتى القطعية واحد منهم زادى كانيت مزخر ويقل في نفس الإكلام أمل مجرم لآخر أخزرلللول وقال حتى أنتي باشتصلب كيفوا
تتمقعر عليه انت على الأقل تستحق الموت أما هو مسكين ما عمل حتى شيء,تتمقر عليه إنتي عل قلت استحق الموت أما هو مسكين معملح شي
وقتها قاملو يسوع و قالوا اليوم باش تكون معايا في الجنة و عيط يسوع عيطة قوية و مات وقت إلي مات يسوع تزلزلت الدنية و ظلامت بالرغم إلي وقتها كانت قايلة,وقتا قامل يسوع قالوا اليوم باشت كون معايا في الجنى وعايت يسوع عيت أقو يومات واقتلمات يسوع الزلزة الدنيا واظلامت بالرغم لوقتها كانت قائلة
في الشهر,ف س ار
قررت باش نتوقف عالدراسة d'accord خذيت الباك وحتى كان المعدل كان باهي و ما نجمتش نكمل قرايتي,قررت ب   نتوقف عل دراسة خيت لباك وحتى ل لمعدل كن به منجمتشنكمةلقر
ولا produit إلي ممكن يخدم في تونس تخدم بيه لعوام لولانيا تفهم بيه ال marché تجرب فيه بالظبط أما الفكرة هو أنو كيفاش تكبر كيفاش تمشي لدول أخرى كيفاش تنجم تعمل ال growth بالظبط exactement كيفاش تنجم تكبر,ول برودوي إلي ممكن يخدم في تون استخدم به العوام الولانية تفهم به المرشي رب يه  أما الفكر هو إن تبر ش تمشي الدول الأخرى ن مل لي الو
بالنسبة للناس لي عندهم أفكار par exemple اليوم,بلنب للنيس لعندهم أفكار بر اجزامبل اليوم
فمة طريقة تفكير و طريقة تعامل مع ال produit مع ال solution مع المشروع بصفة عامة,فما طاريق التفكير وطاريق التعامل مع البرودويت مع اللسولوسيون مع المشروع بصفعاما
مركز المسيرين الشبان bien أحنا نلمو المسيرين الشبان لي عندهم أقل من خمسة و أربعين سنة,مركز المسيرين الشبين أحن الم للمسيرين الشبين ل عندم قالمنخمصار بعين اثني
إلي يخلينا أحنا,لخلين أحنى
فمة apprentissage في العقلية لاهي يتم جديد و و هاني جايك أنا ماهر الخليفي على خاطر كلمة قالها براهيم تركي مهمة ياسر علاش لا القانون ما يتبدلش انتوما خدمتو على تغير القانون carrément معناها لهنا نحكيو على قانون متاع بلاد,فم برنساش العقلية لهيتم مشجيد و  ييكان ماهر الخليفي لخاتر كلمقال أبراهم تركي مهم ياسر عليشلي القانون ميتبدلس نتم اخدمت على تغير القانون كارموم لهننح قانون تعبليد
avec une autre machine avec un serveur avec des détecteurs en fait تولي ligne de production intelligente w elle communique بينها و بين بعضها,ن اتر من ك ن سرذر    ددتكتر   ف و لين د ردكتيون نتللجنت  كممنك بين بن باد
الشي هذايا يصير à travers la signature électronique donc حنا en fait وقتلي جينا حبينا نحلو المشكلة المشكل financier هذايا لي هو كيفاش نخلي لعباد,لشي دي صير ترافارل اسيناتوغ يلكترونيك دنكحنيافات وقتليجين حبنا نحل المشكل المشكل فينانصيه ذلك هو لكفشن خلي لاعباد
لكن réellement الفسفة متاعنا من اللول كانت إلي راهو أول حاجة نشوفوا نشوفوا القانون شنوا يسمح و نشوفو زادا est ce que فماش une interprétation للنص القانوني,لنلكن غير الماء الفلز فمتعن ملأول لجل كانت إليراه أول حج نشوف انشوف القانوشنويثمح نشوف زد أسكف مش من انتخبختاثيون للنصل القانون
et pour commencer à s'installer la don durant neuf mois et ils vont être accompagnés sur les volés كيما قلنا le volé technologique le volet entrepreneurial et création juridique et cetera et le volé pratiquement financier pour que,منصر  سانستلر ل دان انت نف مس  ن تر امنس س لل للت تنلجق لذلت نتررنريات ل كراتون جردق ت ت للت رتقمنت فننtر
et donc voilà donc بدات غاديكا و من بعد طورنا بالشوية بالشوية et on a décidé de postuler فال ost pre incubateur فمة برشا مابين les parents إلي يقول لولدو لا كملي قرايتك خوذ ديبلومك و بعد برا مشرع على روحك و أعمل مشاريعك بالنسبة,ن نكديت غدية وبعد طورن بشي بشويا يو ديسيديبستوليفياللويسيخينكبتة فمابرسمبين لباراليقول لولدولا كما لقرايةخذ ديفلومكم ضعد بر مشرح على روهق وعمل مشارعة
علاش علاش طال الإنتظار على خاطر c'est de gros projet,ش أعليش طعل الانتظار على ختر سد جغوب خوجي
علموهم و الديهم التجارة,علمم ولديهم ا شار
و كيما كان يتعامل مع المنجي و السفر,هكيم كانت عامل مع المنجي وسفر
قالولهم لكلنا ليها و هذا أمر ربي و سنة الحياة,قلولهم الكلنا لها وهذا  أمر الرب سنوة لحياة
قالوا يا محمود,قلوا ي محمود
يركركو في التاي ولا على بالو,ركرفتي ولعلبل
تبسم محمود و قالوا عندك أفكار هايلة يا وحيد,اتبس محمود وقل عندك افكار هل يحيد
و من لا عنده فضة فعنه الناس منفضة,ومن لا عنده فض فعنه الناس انفض
و في وسط البيت فمة كرسي,في وسط البيت فلم كرسي
و بعد ما سترجعت كل شيء,أ بعد مسرجعت  كل شيء
و يرا في كي العظروت قدام الباب,فرافكالعضروت قدم ال بي
قلتلها يامي زايد أنا قررت و مرة باش نخلق,قلت لا يمي زيت آن قررت منها بش نخلة
يعني ميسورة الحال,ياني ميسور تلحاء
و أنا هزتني السرحة و البهتة و مانيش مصدقة ولا مستوعبة الشي لي قاعدة تحكي فيه ها المراء,منها الستن السرحة والبهتة ص قولم استوع بالشي لقعد تحني فيها المرا
المراء من القيتهاش لا في الأرض لا في السماء,لمرا ملقيتهشلا في الأرض لافي اسمي
وقتاش خرجت,س كرز
إسمي مهدي,اسم ماتي
ما فماش عركة ما كنتش موجود فيها,مثمش عرك م كنش موجود فيها
يعملو فالحس و يقلدو في أصوات و يضحكو و يفدلكو,يعمل في الحس يقلد في أسوات يضحك وفدلك
قلتلهم أنا,قتله منا
فمة حاجة لولاد أي كيفاه ما نعملوا شيء ما نريفزوش ما نتحركوش,مهازلوليد ي من عمل شيملرفزوش من تحركوش
كي تبدى حاجة surtout تحبها فمة بروفات راك تتعب تعمل effort لين تفد,مكتبد سويت وحاج تحب   بروفيت رك تتعب تعمل إفور تعمل فرلين تفد
عملت فيه إلي تتخيلو رحلات عملنا و مشينا للجنوب,عملت فيهليت دخيل أرحليت عملنهم شين الجنوب
و نظمنا مهراجانات و نظمنا des exposés متاع photographie,نظبنا مهرجانيت أنظمنا ديزكسبوزيم تعفوتوجرافي
قتلو باهي نمشيوا أكاهو مشينا لتونس نحوسوا مشينا للمرسى درنا,قل ي التونسحوص فين المرسدرن
راسك باش يتكسر donc أكلي تبدل شوية مع صديق c'est bien كهو مشيت بحذا صاحبتي حكاية جمعا يضهرلي مال période de,رسك بشيتكسر دونككلي تتبد الإشوية مع صديق سيبيا ه أمشيت للبحذ صاحبتي حكيت جمعة يظهرليمن لبريود
هاذيكا مريقلة معناها تخليني déjà نصف الليل ولا ماضيساعتين نبدا بالصيف نرقد,هذك غريج لماند خلينه دجاء نصليل ولمصعتين نبد بالسيف نرق ط منان
نتفكر session ما خرجتش جملة من الدار جملة أربعة شهور,فكر سسيون مخرجة الجمل مدار جمل أربع شهور
