Reference,Prediction
كان حاجة physical accept it كان حاجة في طبيعتك,كان حاجة فизيكل اكسابت كان حاجة في تبيات
بعد السفر تعب برشا و الباقاج متاعو رزين ياسر,باعتصر تعب بشرة والبقر جبديعو رزين ياسر
باش نجمو نلنصيو beaucoup de startup beaucoup de projet غلى خاطر on a pu avoir un fond من عندهم,بشن نجمو نلصيو beaucoup de startups beaucoup de projets على خاطر ونا ونا احبو اهواه ام фонд من عندهم
تجربة مريرة كانت لي في الحياة,تزر باموريرة كنترفي في الحياة
cest simple عاللخر خاطر أحنا في تونس عنا القوانين أما estce que أحنا نطبقوا فيهم في المجتمع,مؤسسة عم بعلق خاطر إحنا في تونس عنا القوانين أما أسكو إحنا نطبقو فيهم في المجتمع
يعيش معناها اصلو قبطي مصري و عاش في انقلتر في باريس عفوا كان كل يوم يبدل السورية ما يغسلش كل يوم يشري سورية يبدلها سكن في بيت اوتيل لمدة خمسة و اربعين سنه,بعظي يعيش بمعنى أصله قبتي مصري وعاش في في إنجلترا في بيريز عفواً كان كل يوم يبدل صورة ما يخلصه كل يوم يشتري صورة بدلها خص كان في بيت طويل لمدة خمسة وأربعين سنة
عبد الله حاجتو بفلوس,عبد الله حاجد فلوس
ديفيلي دو مود,défilés de mode
ينقل,يقال
التمبري,إتمني
صلحه او بدله يعيشك,سلحو بدلوا عيش
بحذا مراد وبدات تسجل اكيد سي مراد توا تحيرت عليه رجله وماهوش باش يصب بأصحابو على رغم انه كان في حاله ضعف وتحت التهديد وكان يعطي فيها في اسامي من خيالو ونوامر بالزهر وماكانش زادة في بالو باللي كل حاجه,يا بحث مراد بدأ تسجل أكيد تي مراد توت حيرت علي رجله ومو في صلب أصحابه على الرغم من أنه كان في حال الضح فو تحت التهديد وكان يعطفها في أسئل من خياله ونوي أمر بالزهر وما كانش زاد في بيلو بلي كل حاد
وديما نحس روحي خايف,وذي من حس راح يخايف
على خاطر بطبيعتي نسيتها القراية و عفت كل شيء كي نروح نمشي طول ندوش,خطر بطبيعة ينسيتها القراءة وعرفت كل شيء ينروح نمشي طول الدوش
airpods نمشيوا لبلاصة calme,أيربودز أم شغل بس أكالم
بلادنا و على معناها مستقبل الأجيال الجاية,بلدنا وعلى يعنيها مستقبل الأجيال الجاية
صبورا,سابورة
عندو خوه معاق تي هو شك في مع خوه معاق إلي أنا نخدم في معاق,عندو خو معك تي هو شك فيه مع خو معك اللي أنا نقدر فيه مع
موغني,موراني
نأكد على أهمية أنو الإنسان إلي يبطل,نأكد على أهمية أنو الإنسان اللي بطل
المطار,النافذ
الناس العايشة قلو,الناس لا يشأ قلّه
الشاريو,الشري
أنا لعبد يقولي يجيوني برشا صحابي كل يوم معناها ب des idées جدد و يحبوا يعملوا حاجات جدد و يسألوني في رايي و كل شيء,أنا اللي عبدي قلي جنبي بجني بس حافي كل يوم أنا بدي زيده شد ويهحبوا يعمل الحاجات شد ويسألوني في رأي وكل شيء
و بت الليلة جيعان,وبالتلي لجأ
يشري,يشري
موجودة في العالم كامل و إلي مازات متواصلة في وسط أزمة كورونا فمة برشا أفكار جديدة صارت فيما يخص ال health tech و إلا التكنولوجيا الموجهة للصحة بعد شوية,موجودة في العالم كامل ولِمَزِالَتْ مُتواصلة في وسط أزمة كورونا فما برش أفكار جديدة صارت فيما يختص الـالهلفتايق وقال التكنولوجيا الموجهة للصحة بعد شوية
مشى يسأل في مرا وين ينجم يلقى تاكسي,مش هيسأل في ما وين نجم على القتالكسي
متاع تمييز عنصري فلوغتنا بيدها عنا برشا كلمات,تمييز عسوري في لغتنا بيدها عادة برش كلمات
انحبو فيسع ما نطلعو كداش منها الدوله ازاد ما انحبوش نتعبو,نحبو في ساعة ما نطلع ما نطلعو كدش منها دولة زد من حبوش نتابعو
الجنينة,إيشي لا
مرة ماشي للمدرسة,ما رمشي المدرسة؟
إلي هو كيما نقولوا إسم معناها ال obvious عباد تشوفوا لكل إلي هيا ال positivité و نحبوا لعباد هاذايا ال concept متاع ال positivité و أني و أنا نحاربوا,اللي هو كمان قلوا its من ال obvious تا واللاعبين يشوفون كل اللي هي الpositivity واللي نحب نوصله اللاعبين ال ذا ال concept على positivity وأني أنا نحارب
مع مقطع هل راى الحب سكارى وبليغ إلي كي يسكر يولي يحكي كان,مع مقطع هراء الحب وسكر البليغ لكيزكر ولا يحكي كن
معناتها يا ربي رانا حرنا,معناتها يا رب يرانا حيرنا
ياسر طيارة عالاخر إلي some you have a flow mind,يسرت يارع الليخر اللي سمي هو the flow mind
في كل بيت فمة راديو,في كل بيت ثمة راديو
هذا الشخص مستواه ضحل في التمثيل و في الثقافة العامة و الخاصة و كل,هذا الشخص مستواه ضاحف التمثيل في الث في الثقافة العامة والخاصة وكل
الكوجينة,الكوجينا
سامحني أنا تلميذ ياباني انت طالب في جامعة نيويورك,سامحني أنا تلميذة باني انتتال في جامعة نيويورك
هكة compliqué و نعملوا منها حكاية و كلماشي و هيا بالحق ما ما تستاهلش و surtout فال gym معناها أحسن حاجة فال gym أنك تخدم تلقى,هكى كومplicي ونعمله ومن حكيه كل مشي وهي بالحق ما ما تستهلك وسختو في الجيم معناها أحسن حاجة في الجيم إنك تخدم طاقة
أمير المؤمنين المامون كان صاحب الشرطه متاعو كيف ما تقولوا اليوم الامن العام صاحب,أمير المؤمنين المامون كان صاح بالشرطة بدعوا كيف ما تقول اليوم الأمل عام صاحب
الزوز كملو يمشيو,الزوز كمل ويمشي
on évite les produits إلي حياتهم قصيرة برشا معناها كيما الشكارة البلاستيك إلي تاخذها من عند العطار شكارة متاع البلاستيك انت باش تروح بيها صاي ماعادش باش تستعملها جملة,ونهيت ل products اللي هيتم قصيرة برشة من الكيماش كار البلاستيك اللي تستخدم العضلات، كار المطابسات البلاستيك، أنجبت تروح بها سيعي ما هاش في استعمال ها الجمل
وقتاش باش نتفرهد أنا و نستمتع بالدنيا,وقت إيش مش متفره دينه ونستمتع بالدنيا
كومبلي,قم لي
أما باش ننساه من بعد غدوة i will watch i know,أو
سوسة هذا يدخل عالقلعة ماضي ساعة وربع,جسده كل هذا ما بيساوره
واحكيلي ماذابي معناها إنك تحكيلي و تقوللي شنوا عملت في جمعتك,وحكيلي مذبية معناه إنك تحكيلي وتقولي شنو عملت في جماعتك
لا ما ثماش الساعتين متاع الليل,نعم ثلاثين تلي نعم
كيف لبهيم نجري و نجري و نركض من بلاصة لبلاصة,كيف اللي بييم نجري ونجري ونركض من بلاصة لبلاصة
ال activity متاع عام كامل باش تعوضها في شهرين أيه هاو باش نحكي لك على how i manage to be productive فال période هاذيكا bon,الاكتيفيتي متعام عام كامل مش تعودها في شهرين إيه أبش متأكد على ال how i managed to be productive في période ذيكا
عيشة تخدم في صيدلية,عشة خل في صيدارية
يهز حاجة معاه,إيه حجمه
مش لازم تكون حاجة مادية ولا تشري حاجة non و الله حكاية فارغة تنجم تكون,مش لازم تكون حزمة دية ولا تشتري حاجة ولا والله كيف يرقت نجبي
الريح,أروية
بالله يا موسيك تلوموا عالعباد إلي ما يا قلتوا عليهم موش فاهمين الحرية ولا ما نعرفش شنيا كان سي هيثم المكي توا قاعد يجبد في الاشخاص ويتمقعر عليها,اللي مزايق كم وعلى بعد اللي ما قلت عليه ما وش في من الأريه ولا من عرسني كأسي عايز من مكة طو قاعد يش بت الأشخاص ويتمقع عليها
قعدت تطلب فيه باش تقلو يجيبلها معاه,قادر تطلب فيه إيش تقوله يجيبها معه
في الجرايه متاعو ما يحسبش يقلك باش إجينا روتراتناباهي معنتها يكون مدير عام ولا حاجه كيما نقولوا ان كادر في الخدمه يخرج كفائه يخرج بعد التقاعد يلقى روحه ل مام شارج إلي عنده كمدير ما بين كرهبتو بين الشارج إلي عندو بالروترات إلي عندو معادش توصل,بجرا يمتعوا محسبش كلب في جنين أنا لو تلاتنا بيمان يكون مدير عام ولا عازم من كم يقولوا أنا كادر في خدمة متعوا يخرج كيف يخرج بعد قال ده كروحه لي ممشار اللي عنده كمدير من بين كان هبتو ما بين لي مشار اللي عنده بلو تلات متعوا ما عاششتوصل
كراو كرهبة باش يمشيولهم,كرا وكرهبة بيمشي يقولهم
i had like high hopes i had برشا high hopes and then i,i had like high hopes i had برشة high hopes and then i
وما عنديش معلمين نخليه لل رنتره سكولير من غير معلمين,وما عندش معلمين خليه لدرجة مدرسيكولير ما غير معلمين
نحب نقول لرياض نقول لو شو محلاها تونس و الله العظيم صدقني توا الأيامات الاولى cإي فريه أيامات الثورة من اللول كذا,أحبهم كل رياض قلوا شو محلية تونس والله العظيم سبلاقني تو لما تقول السفراء ونتاور ملول كذا
الصاحب,الصاحب
الكمبيوتر,الكمبيوتر
feathers الفيلم لي باش نحكي عليه اليوم هو,الفيلم مش نحكي عليه اليوم هو feathers
الصوت,صوت
فكرة باهية نجيب فيلم أكسيون ولا فيلم إضحك,فكرة بيه جيب فيلم أكشن ولا فيلم يذبح
و إلي أيه واحد ينجم يعملهم هوما méthode لولا إلي هيا,واللي أي واحد نجم يعملهم هو ميتود لولا اللي هي
الصحن,إسحان
هل أنو يرجع بالنفع على العايلة التونسية خاصة إلي يكون فيها البو والأم,هل أنه يرجع بالنفع على العائلة التونسية خاصة اللي يكون فيها البولم؟
آه عبودية وديكتاتورية ويمشي يترمى في عبودية ما أكثر,عبودية وديكتاتورية ويمشي ترمي في عبودية ما أكثر
و كل so rate the podcast send me معناها your point of view send me questions i will answer every,okay so rate the podcast send me مانها your point of view send me questions i will answer every
تسعة مية و أربعين تسعة مية و ستين إلي هوما معاهم simone de beauvoir ولا betty friedan ال wave الثانية جات تحكي على under شعار the person is political,تسعمية وأربعين ألف تسعمية وستين اللي هم معهم سيمون دبوفوار ولا بيتي فريدن ال الالبويه الثانية جد تحكي على أندر شعار the personal is political
تعبير وجها كانت كلها صدمة على حيرة على بهتة,تعبير وجهها كنت كلها صدمة على حيرة على بهتة
و في هالأثناء الماكينة الاقتصادية ماهياش قاعدة دور لأنو ما ثمة حتى شخص باش يستثمر لك في البلاد,وفي هالأثناء الماكينة الاقتصادية ما يش قاعدة دور لأنه مثلًا حتى شخص بش يستثمر لك في البلاد
نمشيو للسينيما,مشيو السينما
معنتها ال période هاذيكا راني باش نغيب كهو ملا نشوف من صحابي المومثلين المسرحيين لي ما يعملو كان فالشي هاذايا ما يعملو,معناتها الحериود ذكرني بشين الغيب، طاو مانا نشوف من أصحاب الممثلين المسرحيين اللي ما يعملوا كان في الشيء هذى ما عملوا
ليله سعيد,ليلة سعيدة
بالله تونس من وقتاش بالله تونس من وقتاش يجي من غادي,كله تونس مغتسيس مغادير
باش تخوهم في لصفر,بشتاقهم في النصرة
نتصور صعاب en général حتى فبلادك ديما معناها ال accommodation و ال transportation,يسار صعب ان جنجال حتى حتى في بلديك جزء معانيه ال accommodations وال transportation
توجه and its like قالوا بل عاني عملينها so عربي,قالوا اللي بالعاني عمّلينها أنا تسلك توجه
المعجون,المعجون
نجم نعرف أخر طلب ليا وين وصلت معرفتش كيفاش نشوف مرحله متاع الطلب متاعي مستحق شكون يوريني كيفاش نتبع أخر طلب ليا بربي نحب تعاونوني نثبت مرحله متاع طلب متاعي,نجم نعرف آخر طلب ليه وين وصل ما عرفتش كيف نشوف مرحلة تمتع طلبهم تيه مستحقش كوني بيريني كيف نتابع آخر طلب ليه ربنا حب التعانون يثبت مرحلة طلبهم تيه
so good you guys i had this like this moment of peace this moment of reflexion كاينها a meditation the sky look so pretty,so good you guys i had this like this moment of peace this moment of reflection gain her and meditation the sky was so pretty
نحب نبدلها ببيت تطل على الواد فمة زيادة,حبن بدلها بيت طلع الواد فما زيادة
آه معناتها آه آه شنوا تتنبأ نحب نحكي لك توا في الاخر على,معناتها شنوت تتنبأ نحب نحكي لك تعرف في الآخر على
جاب ربي,живابي
حريف,هاريف
يجي لول شكون باش يجيب عشرين و هذاكة تتزرع فينا أنا حسيتها تزرعت فيا ما نعرفش انتوما كان you relate ولا لا أما حسيتها تزرعت فيا هاك ال ديما نحاول إني نكون خير,يجيله وشكون شيجيب عشرين وديك تتزرع فينا أنا حسيت هتزرعت فيها من عارف شو أنتم كان يرليت ولا ليه أنا حسيت هتزرعت فيها هكال دائما حاول إن يكون خير
مصب الزبلة,نصاب الزلا
حتى حد,أدهد
تقص من التفاح هاذيكا على أربعة,تقسمنا أنت في حديث على أرماء
عبد الله يكتب في جواب الخوه,أعطى الله يكتب في جواي بالخوه
و donc الوضعية ولات معناها cest une question vitale معناها pour eux,و donc لو ذاية ولت مانه سك مسألة حيوية مانه
كل واحد من روحو لو كان تستعملو بالصحيح و الله طيارة الموقع,كل واحد من روحه لو كان تستعمله بصحيح والله طيار الموقع
ماا عندو لا شيكات متاع سفر لا كاط دو كريدي,ما عنده لشيك التحصيل لك أشتكي دي
إنقليزي,إنجلزي
آه آه نسبة إنتشارو أيضا سنتحدث على أهم أسبابو ماهي مضاعفاتو كيفية تشخيصو,نسبة انتشار وأيضاً سنتحدث على أهم أسبابه ما هي مضاعفاته كيف التشخيص؟
يتفرج على التلفزة,يتفرج على التلزة
ياخي ما كتبتهاش قلت cest bon هاني عرفتها شنيا ال solution ما كتبتهاش خاطر ما عينيش معناها تكتب ما تكتبش ما فماش فرق تنجح ما تنجحش باش,ياخي مكتبة إيش قلت أنا سيبو وأني عارف تشنين سلسي ومكتبة إيش خطر ما ينيش معناه تكتب ما تكتبش فمش فرق تنجح ما تنجحش مش تعبي
قدام في ترينة مدام ناتاليا قررت باش نعدي من حومة الغجر ناخو,فدرينة مدامنا تالي قررت بس نعدي من حومة الغزر ما هو
donc فمة برشا changement فمة rythme باش يطلع certainement متاع قراية donc إلي نحاول نقولهولكم ما تقتلوش رواحكم no,نعرف ما برششهمش ماو فما قيتهم بشتلا سخن ماو متعقرايا، دوك اللي نحاول نقولهولكم ما تقتلوش ويحكم ناو
ورني بلاصة سمحة على النهر هذا يعيشك,أريد إملاصا صباح لأنها هذه عيش
الطبيب,الطبيب
آه آه نقري م ما نجمش ناخذ جور ده كونجا,نقرئ يعني منشان يخرجون ويطجون
على أساس مثلا باش تخدم مرا باش تجي مال cote divoire على أساس باش تخدم في ما نعرفش أنا في,على أساس مثلاً بستخدم امرأة بجي من كوديفار على أساس بستخدم في ما ما نعرفش إنه من في
إسمها عيشة من الحمامات,اسمها عايشة من الحمامات
يسأل,иِسَ الْعَالَمُ
الفوس أنكم تمشيوا إلي vous consultez معناها un psy و كلماشي,الفلوس إنكم تمشي وعندي، وقانسليت يعنيها أبسيو كل ماشي
جاب ربي,زِبَرَبِي
ثمنية,ثمنية
كلامو وقتلو توا يا مراد خلي نتأكد من صحت المعلومات إلي اعطيتهملي باش تعاود تسمعني كل المعلومات إلي اعطيتهملي على الولاد و أنا باش نقارن المعلومات إلي باش تعطيهم لي تووا بالمعلومات إلي موجودين في,الكلامه وقتلوا تويا مرات خلينا نتأكد من سحة المعلومات اللي عطي تاملي بشتعود سمعني كل المعلومات اللي عطي تاملي على الولد وين ابش نقارن المعلومات اللي بيشتغتيهم لي تويا بالمعلومات اللي موجودين في تسجيلات
فادد,فندى
باهي وقتاش نمشيو التونس,أنتي خويا وعشري صلاح نحبك
كان ياخذ برايي يا رسول الله راهو أحنا نعملوا شيء إلي انتوما ما تعملوهش,كان تأخذ برأي رسول الله روحنا نعمل شيء إنتم ما متعملوش
هذا موش شعار حملة انتخابية و لا هو شعار حملة احتجاجية,هذا مش شعار حمل انتخابية ولا هو شعار حمل احتجاجي
بعيد,their age
دار المدينة الكل باش يلقى عنوان الصايغي,دارم دين الكل، ما شال قاع عنوان الصيغ
im so excitied to talk about this thing و قلت لا podcast مل pause الأيمات اللخرة بالحق كنت باش ناخوا,لأي متل آخره بالحق كنت بنشخو بوزم البودكاست وقلت لي im so excited to talk about this thing
were just say it موش على خاطر عشرة و درا شنوا no,just say it مش على خطر عشرة ودرشناه no
توت,تُوت
مهني,ميهاني
الأضرار,الأضرار
قالت لو مرتك ماهيش قاعدة تمكيج لك ليك انت قاعدة تمكيج لرجال حي التضامن,قتل مارتك ميش قعدت مكاج ل ل كنت قعدت مكاج رجل حياة ذا من
يسكر,يسوع
يغسل,يغسل
بالكعبه بالكعبه حتى نكملهم و نعملهم الكعيبات الكل هكايا أهوكا ميستطولين شويه ومبعدهم على بعضهم خطر باش يخمروا و نقعد نعملهم بالكعبه بالكعبه حتى نكملهم,بالكعبة حتنكملها ونعملهم نحبيت الكل هكية وكمستطولين شوية ونبعدهم على بعدهم خطر بشيخمرو ونك حتى نقد نعملهم بالكعبة بالكعبة حتنكملهم
ضاهرلي هايل,بأهله
شنيا نعمل معاك معنتها تقول عليك تقلي بجاه و الديك كول حاجة ما تعجبكش براس أمك نحي الشراب معناها تقول عليا أنا نكره مثلا بربي إشريه السبيدري هذاكة لا مانيش شاريه فهمت,شيء نعمك ما تقول عليه تقول لي بجه والدي كل حاجة متعش بكر برسنك ناحية الشراب ما تقول عليه أنا نكره مثلاً بربيش يستبدلي ذاك اللي من الشيري فهمت
دخلت لل prépa بعد شهر أكاكا نسمع في الناس الكل تحكي على étude math هو معروف ال prof إسمو لسود أنا prépa montfleury by the way,دخلت للبريبا بعد شهر كيك الناس ما في الناس كل تحكي على ليتريد مات هو معروف البروف اسمه لسود أنا بريبا من فلوريدا يدوية
ملا عطيني تسكرة لوسط البلاد,منافيني تسكر الوصل ده
الشهر,أشهر
إلي هو بو روبرت ال poor dad عندو income مدخول قد,اللي هو بو روبرت البوداد عنده إينكام مدخل قلدي
نحب ماكلة بنينة كسكروت نظيف و رخيس,حَمِيْكَ لَبِنِيَكَ سَكْرُوتْ نَفِيفُرْ إِسْمَعِيلَ
