Reference,Prediction
لي سقراطس ليجار يعني السواقر الخفيفة لايت وال الترا لايت إلى آخره مغالطة كبيرة بطبيعة يعني ي يختاروا أحسن طريقة باش, السيجارات الليجارة يعني السواجر الخفيفة لايت يقول الالتها لايت الى اخيره مغالقة كبيرة يعني يختاروا احسن طريقة باش
باش تلبي هاكي الرغبة فهمتني, بيش تلبيك لرغبة ديعك اي اي اي
آه سواء كان في بلادنا ولا حتى في العالم أجمع, سواء كان في بلادنا ولا حتى في العالم أجمع
نقترحوه وننصحوا بيه العباد الكل مع العلم إلي راهو, نخترحوه ونصحو به لعبة الكل مع العلم اللي يراه
فيس في إستهلاك هاكي السيقارو, في استهليك السيجار
ال ها المنطق هذايا ما يعطيش أكلو مية في المية, المنطقة هذي ما يعطيش اكله مية في المياه
آه دكتور هشام عم عوينة هو ضيفنا اليوم في الستوديو, دكتور رهيشة معمي أعوينا هو ضيفنا اليوم في الستوديو
ثمة إدمان على مادة النيكوتين ثمة ناس إلي هوما, كما أدمين على مدتاليكوتين كما نسي ديهوما
وربما تنجم تكون هيا ال, وربما الناس تكون هي
ولا يقول لك السنة ما ثماش آه ميزانية متاع خلاعة في بلس ده سا البلاد أمورها الأمنية ما تعجبش, وليقول لك سنة ما فماش ميزانية متاع خليعا بلس دسال البلاد أمورها الأمنية ما تعجبش
مرحبا أيه, نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن نحن
شيء يدوخ لهنا أيه مطلقين من نهارت إلي هزيتها لطبيب سا يا طلقتها قال لي ماهيش حبلى, الشي دو خلاني بعد قداش من الشهر مفصلين انتو موقتها طلقين اي منهارة لازيتها لطبيب سي طلقتها جالي ماشي حبلة
بحضوركم إنتم التحليل déjà خلصتو في سبيطار, أحذركم أنتم تحليل دي جاء خلصتوا في الصبتاء
أيه كهو بعد إمم مدة ص صغيرة عرسنا, kiekėjom bad mada svarė arras ne
أنا نغزر لربي موش نغزر ليك انت, أنا نغذر ربي ما نش نغذر لي كنتي
إلي هو لونو بنفسجي, اللي هو لون بنفسجي
وذاك علاش اليوم جبت لكم هالمشرب, وذكع ليش اليوم جبت لكم هالمشرب
حداش وتسعة مية شوف لي ألفين, احدثوا التعامية شوفوا لي الفين
مرحبا مرحبا مرحبا, مرحبا
معناها بالنسبة ليك كان نلخص كلامك آه سند انت بالنسبة ليك اليوم التونسي نفسانيا تاعب وعدائي, يعني بالنسبة لك أنت بالنسبة لك اليوم التونسي نفسنياً تعب وعيدائي
معانا نزار شخ من تونس مك مرحبا, معنا نيذار من تونس مرحبه
معناها ده كولاغ معاه في المدرسة جاونا اليوم قالوا لنا ما تسكتوش على حق اولادهم, معناها دي كوليج معافل ما درسا مننا اليوم قبل ما تتكلمش على حقوليتكم
بيرو المعلم ما فيه حتى شيء لوحة و, بيرو المعظم ما فيه حتى شيء لوحة
في هذا الكل الولي زادا يقتل روحو باش صغيرو يكون حاضر للعودة يتسلف باش يشري فورنيتر شكون يدفع الثمن في الاخر التلامذة بيان سور في وسط العام و في آخر العام و هذا نرجعوا لو مرة اخرى في مواضيع اخرين, في هذا الكل الولي يزدى يقط الروح وبش صغير ويكون حاضر للعودة يتثلف باش يشري الفونيتور شكون يدفع الثمن في الاخر التلمباب ينسوغ في وسط العام واخر العام وهذا نرجع له مرة اخرى في مواضيع اخرين ان شاء الله
أغلبية معناها التلامذة ما رسمتش, أغلبية معنى إسلام زي ما رسمت
كون في ال رنتره السنة الدراسية تكون على الأقل, تكون على الأقل
إلا أنو المسافة بعيدة و الشركة التونسية لتوزيع المياه تقول لك أنا, لانه المسافة بعيدة والشركة التونسية اللي توزيع المياه تقول لك انا
بالسلامة, بسلامة
أربعطاش, أرباطاش
عايش في الخيال, هايش في الخيال
عنب, آنب
عنصري, ansori
عطريا, a3
ثناش, снаш
خشم, חשם
خاتم, гаты
حقة, حقا
حلوف خبيث, hallo habib
حوات, how it
حزار, hazzar
حبلى حامل, حبلة حامل
قريات, 가리에드
قاضي, qavi
بلاروسيا, bella russia
إسبانيا, испания
الصومال, es su mal
الهند, with hand
نمسا, n'aime ça
أكرانيا, україна
سويسرا, suicara
يا ممو عينيا, yama moraenaya
أصلي, асли
عالسلامة يسلمك, عسليما يسلمك
بالفرحة, بالفرحة
بابا, baba
بنفسجي, banaf s'agit
بيلت, bayalt
بشع خايب يعيف, بشع خائب يعيف
بقر, бгарь
بيرو, biro
بليد, bleed
بوفي, buffet
بوسا, буса
شفما جديد, j'fais ma j'dite
شكون, șcună
شنوا آش, shnoah ash
شنوا هذا, شنوه هذا؟
دبوزة, дабуза
dictionnaire, dictionnaire
ديون, дюнь
العشية, lasche ihr
نعزك برشا, نازك برشا
فديت ملا فدا, فديت ملا فدا
فمة ثمة, femme femme
فروج, faire rouge
فكرة, fekra
فرشتا فراشة, فرشيتا فراشت
غاز, gaz
غراب, what up
حاد, هاد
حر, hör
هوما, houma
جلسة, j'aime ça
جرح, j'aurais
جواب, joueb
كراتي, karate
كبير, кбир
كينو, gæja nú
خزانة, зейна
كرهبة كراهب, كرهبا كرهب
محل تجارى تجارى, محل تجارة تجارة
مقفول و كسكاس, marfoul qu'estce qu'estce
مرحبا, مرحبه
متواضع, متواذا
ميتين, meeting
ممتاز, montage
موسيقى موزيكا, musika musika
نعرسو, lá er þú
ناشط خفيف رشيق, ناشط خفيف رشيق
نمل, نميلا
نهارك زين, نهارك زين
نمر, nömr
أوتوروت, autoroute
بابايا, papaya
قبل, قبل
رغم انو, ráðma að nú
رقبة, رقبة
رياضه, ríada
rouge, руж
صعيب, saïb
سامحني دزولي, samahni désolée
صبع صوابع, zbo sweba
صفر, svör
صغير, срир
سياده, съеда
سلاطة, سلاتة
سميد, smeed
سكر, sökkür
صندوق إدخار, sonduk edihar
سباغيتي, spaghetti
سوايع, swaya
طبلا, tabla
تنين, ténine
تسعميه, t'es un ami
طفل, tvöl
ثلج, selam
ثلاثة, σλέθα
تمر, smörg
أيه, aí
فرنسوية, فرانسوية
خمسة, خمسة
حداش, حديش
واحد و عشرين, واحد وعشرين
خمسين, خمزين
ترد بالك, тротт белек
واحد و عشرين ألف, 21 ألف
واحد و ثلاثين ألف, واحد وثلاثين الف
وزير أول, وزير أول
ولد, ويلد
و انت,文字
يتعاود ديما, я тааа вот дима
زعما زعما, замезаме
زرزومية, زلزو مياه
كان إبراهيم راجل صالح و يعرف ربي و كان زادا راجل غني برشا نهار من نهارات شاف إبراهيم منامة ظهرلو فيها ربي باش يقلو ما تخافش يا إبراهيم أنا باش نحميك, كان إبراهيم رجل صالح ويعرف ربي وكان زيدة رجل غني برشا نهار من نهارات شايف إبراهيم منامة يظهر له فيها ربي باش يقول له ما تخافش يا إبراهيم أنا باش نحميك
وآجرك كبير عندي وقتها جاوب إبراهيم ربي و قالوا يا ربي كيفاش باش تجازيني و أنا ماشي من ها الدنية هذي حتى وليد ما عنديش باش يورثني من بعد ما نموت خديمي هو إلي باش يورثني, وأجرك كبير عندي وقتها جاءوا بابراهيم ربي وقال له يا ربي كيفاش باش تجازيني وأنا ماشي من هالدنيا هاذي حتى ولايد ما عنديش باش يورثني من بعد ما نموت خديمي هو لي باش يورثني
يخي جاوبو ربي و قالوا موش خديمك إلي باش يورثك أما ولدك إلي باش يجي منك هو إلي باش يورثك و صدق إبراهيم كلام ربي و آمن بيه, اخي جاء ابو ربي وقال له مش خديمك اللي باش يورثك اما ولدك اللي باش يجي منك هو اللي باش يورثك وصدق ابراهيم كلام ربي وامن بيه
نهار من نهارات خزرت سارة مرة إبراهيم لراجلها و قتلو أنا توا ما نظناش علاش ما تخذشي خديمتي هاجر فماش ما ربي يرزقنا بوليد منها, نهار من نهارات خزرت سارة مرت إبراهيم الرجلها وقتلوا أنا طوا ما نظناش علش ما تاخذش خديمتي هاجر فمش ما ربي يرزقنا بوليد منها
و عمل إبراهيم كيف ما قالتلو مرتو سارة و خذا هاجر, وعمل إبراهيم كيفما قتله مرته صغرة أخذي هاجر
و حبلت هاجر أما من بعد ما حبلت ولات متكبرة على للاتها سارة الشي إلي خلى سارة تخزر لإبراهيم راجلها و تقلو, وحبلة هاجر أما من بعد ما حبلت ولات ما بتكبر على لليتها سارة الشي اللي خلى سارة تغذر لبراهيم رجلها وتقول له
إبراهيم هذا كفويا معاك من بعد ما خذيتلك خديمتي و كيف ما حبلت أنا للاتها صغرت في عينيها ولات تخزرلي بمحقرانية, إبراهيم هذك فوية معاك من بعد ما أخذت لك خزيمتي؟ وكيف ما حبلت أنا لليتها صغرت في عينيها أو لتغزرلي بمحقرانية؟
ربي هو إلي يفصلها ما بيناتنا يا إبراهيم ياخي جاوبها إبراهيم وقتها و قلها هاني خديمتك قدامك أعمل فيها إلي تحب عليه, ربي هو اللي يفصلها ما بناتنا يا إبراهيم إيخي جاوبها إبراهيم وقتها وقالها هاني خدمتك قدامك أعمل فيها اللي تحب عليه
وقتها بدات سارة تذل في هاجر لين خرجت هاجر و هربت منها و قعدت ماشية في الثنية لين ظهرتلها ملايكة من عند ربي آمرتها باش ترجع للاتها سارة و تسمع كلامها, وقتها بذيت سارة ذل في هاجر لين خرجت هاجر وهربت منها وقعدت ماشية في الثنية لين ظهرت لها ملايكة من عن ربي أمرتها بش ترجع لليتها سارة وتسمع كلامها
و زادا وعد هاجر ربي باش يكثر اولادها لين ما عادش يتعده و قلها ربي إلي باش تولد وليد و تسميه إسماعيل و معناها ربي يسمع, وزادة وعد ربي هاجر بشي كثر أولادها لين معادش يتعدو وقالها ربي اللي بشتول دوليد وتسميه اسماعيل ومعناها ربي يسمع
على خاطر ربي سمع صوتها وقت إلي تهانت وتذلت و عملت هاجر كيف ما قلها ربي وقت إلي ولدت ولدها سماتو إسماعيل, على خاطر ربي اسمع صوتها وقت اللي تهنت وذلت وعملت هاجر كيف ما قالها ربي وقت اللي ولدت ولدها سميته اسماعيل
و كان وقتها وقت إلي ولدت كان عمر إبراهيم ستا و ثمانين سنة, ووقت اللي ولدته كان عمر إبراهيم 86 سنة
خرج ربي الشعب متاعو من ارض العبودية مصر و كيف خرجو من مصر قادهم ربي في الصحراء باش يرجعو لأرض الموعد إلي وعدهم بيها, خرج ربي الشعب امتاعه من أرض العبودية مصر وكيف خرجوا من مصر قادهم ربي في الصحراء بش يرجعوا الأرض الموعد اللي يعدهم بيها
و في الثنيه متاعهم عمل ربي برشا معجزات على خاطرهم باش يوكلهم و يشربهم و يحميهم, وفي اثنية متاحهم عمل ربي برشة معجزات على خطرهم بش يوكلهم ويشربهم ويحميهم
شهرين بعد ما خرجو من مصر نصبو الخيم متاعهم بحذا الجبل و الجبل هذا هو إلي طلع عليه موسى باش ياخذ من عند ربي الشريعة يعني وصاية ربي, شهرين بعد ما خرجوا من مصر نصبوا لخيم متاحهم بحض الجبل و الجبل هذا هو اللي طلع عليه موسى مش ياخذ منه عند ربي الشريعة يعني وصايت ربي
و من بين ها الوصاية ما تصنعوش آلهة و ما تعبدوش و ما تسجدوش لغيري, ومن بين هالوصايا ما تصنعوش آلها وما تعبدوش وما تزدوش الغيري
و موسى أعلن للشعب الكل كلام ربي هذا و الشعب جاوب موسى باللي راهم باش يعملو إلي قال عليه ربي الكل و باش يتبعوه في كلامو, وموسى قال للشعب الكل كلام ربي هذا والشعب جايوا بموسى بل يراهم بش يعملوا اللي قال عليه ربي الكل وباش يتبعوه في كلامه
وكي طلع موسى فوق الجبل باش يكلم ربي قعد أربعين يوم و أربعين ليلة, ويتلاعم موسى فوق الجبل بشكل مربي قعد 40 يوم و40 ليلة
هاو كيف الشعب إستبطى موسى و موسى قعد برشا ما رجعش مشاو يتذمرو لهارون و قالولوا توينه موسى آش بيه ما رجعش التوا, هاوكي في الشاب استبدأ موسى وموسى قعد برشا مرجعش مش هو يتزمروا الهارون وقالوا له تيوينو موسى شبي مرجعش لطاوه
أصنعلنا آلهة باش تقودنا وقتها هارون آمرهم باش يجيبو البلالط و السياغا متاعهم الكل, أصنع لنا قيلها بشتقودنا وقتها هارون أمرهم بشيجيبوا لقلالة السياغة متاحهم الكل
و لم هارون السياغا الكل و صنع بيها عجل من الذهب و قاللهم ها العجل الذهب هذا هو إلاهكم إلي حرركم و خرجكم من مصر و من عبودية المصريين, ولم هارون كالسياغة الكل وصنع بها عجل مذهب وقال لهم العجل الذهبي هذا هو إلهكم اللي حراركم وخرجكم من مصر ومن عبودية المصريين
و من غدوا قدمولو الذبيح متاعهم و عبدوه و سجدول و من بعد ما كلاو و شربو عملو في خلاها ما ولاها و فسدو كيما حبو, ومن غضوة قدموا له ثبيحة متاحهم وعبدوه وسجدوه ومن بعد ما كلاوه وشربه عملوا في خلاها مواليها وفزدوا كما حبه
و في هاك الوقت تغشش ربي برشا و قال لموسى على الشي إلي عملو الشعب متاعو و كيفاش عبدو إلاه غيرو و قال ربي لموسى إلي باش يهلكهم الكل على إعمالهم, وفي هيك الوقت تغشش ربي برشا وقال الموسى على الشي اللي عمل الشعب متاعه وكيفاش عبده إله غيره وقال ربي الموسى اللي باش يهلكهم الكل على أعمالهم
لكن موسى وقتها طلب من ربي باش يرحمهم و ذكر ربي في الوعد إلي وعده لإبراهيم و إسحاق و يعقوب باش يكثرهم كيف نجوم السماء, لكن موسى وقتها طلب من ربي بيشرحمهم وذكر ربي في الوعد اللي وعده لابراهيم واسحاق ويعقوب بيش يكثرهم كيف نجوم السماء
و إلي باش يعطيهم الأرض إلي وعدهم بيها لآخر الدنية و من بعد ربي حن عليهم و ما هلكهمش, ولي بشعتهم الأرض اللي وعدهم بيها لإخر الدنيا ومن بعد ربي حن عليهم ومهلكهمش
و كيف هبط موسى و شاف الشي إلي يعملو فيه الشعب تغشش برشا و رمى الألواح متاع الشريعة إلي كان منقوش علاها الوصاية العشرة متاع ربي ياخي تكسرت, وكيف هبط موسى وشاف الشي اللي يعملوا فيه الشعب تغشش برشا ورميل الواح متع الشريعة اللي كان منقوش عليها الوصايا العشرة متع ربي ياخي تكسرت
لكن مرة أخرى طلع موسى و خذا الألواح متاع الشريعة من عند ربي و زادا لم موسى الشعب الكل و علنلهم على إلي مكتوب في الالواح متاع الشريعة على وصايا ربي المكتوبة, لكن مرة أخرى طلع موسى واخذي الألواح متع الشريعة معند ربي وزد لم موسى الشعب الكل وأعلن لهم على المكتوب في الألواح متع الشريعة على وصايا ربي المكتوبة
قالهم ربي ألاه رؤوف رحيم ما يتغشش فيسع و يغفر المعاصي و الذنوب كيف يستعرفو بيها لكن زادا عادل و يعاقب المذنب, قالهم ربي إله رؤوف رحيم مايتغششش فيسع ويخفر المعاصي والذنوب كيف نستعرف بيها لكن زيدا هو عادل ويعاقب المذنب
و ربي زادا قال طيعوني و ما تعبدوش آلهة أخرى غيري, وربي صدق قال تعوني وما تعبدوش إلها أخرى غيري
و بعد ما قاوم يسوع العازر مشى للقدس و كان فمى وقتها ناس متفاهمين باش يستحايلو على يسوع و يدبرو كيفاش يقتلوه و يسوع بيده تننبأ على موته وقت إلي كان ما زال مع التلامذة, وبعد ما قوم يسوع علي عازر مش هل القدس وكان فمع وقتها ناس متفاهمين باش يستحيلوا على يسوع ويدبروا كيفاش يقتلوه ويسوع بيته تنبأ على موته وقت اللي كان مازال مع تلامذة
و فمى نهار و همة ياكلو مع بعضهم خبرهم يسوع باللي فمى واحد من بين التلامذة متاعو باش يخونه و يسلمه للموت, وفما نهار وهما يأكلوا مع بعضهم خبرهم يسوع باللي فما واحد من بين التلام دمتاعه باش يخنوا ويسلموا للموت
وقتها يسوع كان يقصد في واحد إسمه يهوذا إلي عطى للناس إلي باش يشدو يسوع امارة و هيا الشخس إلي باش يسلم عليه بالبوس هو المقصود و هذاكة هو يسوع, وقتها يسوع كان يقصد في واحد اسمه يهوذة اللي يعطى للناس اللي باش يشده يسوع أمارة وهي الشخص اللي باش يسلم عليه بالبوس هو المقصود وهذاك هو يسوع
وقت إلي كان يسوع يحكي مع تلامذت جى يهوذا و معاه الجماعة من عند الشيوخ إلي باش يشدو يسوع و كيف سلم يهوذا على يسوع قدم للجماعة و شدوه و هزوه عند شيخ الكهان باش يحاكموه, وقت اللي كان يسوع يحكي مع تلامفته جاء يهوذة ومعاه جماعة من عند الشيوخ اللي باش يشدوا يسوع وكيف سلم يهوذة على يسوع قدموا جماعة وشدوه وهزوه عند شيخ الكوهان باش يحكموه
وقتها لوجولو على شهادة زور تخليهم يقتلوه أما ما لقاوش من بعد سأل شيخ الكهان يسوع و قالوا انت هو المسيح ولد ربي يخي جاوبو يسوع إي نعم كيما قلت, وقتها لو جولوا على شهادة زور بتخليهم يقتلوه أما ملقاوش من بعد اسأل الشيخ الكهان يسوع وقال له أنت هو المسيح والد ربي؟ يخي جاوبوا يسوع نعم كما قلت
ياخي قرر المجلس باش يتحاكم يسوع على خاطر راو أنه قاعد يشرك بإلله و زيد على هذا كانت الناس تصيح و تعيط يستاهل الموت أقتلوه, ياخي قرر المجلس باش يتحاكم يسوع على خطر راو انه قاعد يشرك بالله وزيد على هذا كانت الناس تصيح وتعايت يستاهل الموت اقتلوه
و كانوا العسكر الرومانيين يضربو في يسوع و يبزقو عليه, وكانوا العسكر الرومنيين يضربوا في يسوع ويبسقوا عليه
و من بعد كتفوه و هزوه للوالي باش يحكم عليه الحكم الاخر لكن الوالي ما كانش موافق على إلي قالوا المجلس وقت إلي قالوا يموت يسوع, وانبعض كتفوه وهزوه للوالي باش يحكم عليه الحكم الاخر لكن الوالي ما كانش موافق علي قاله المجلس وقت اللي قاله يموت يسوع
أما على خاطر الشعب دخل بعضو يحبو يسوع يموت قالهم الوالي أنا خاطيني هاوينه ما بين يديكم كان تحبوا تقتلوه أما دمه في رقابيكم راني مانيش مسؤول على قتلانو, أما على خاطر الشعب تخل بعضه يحبه يسوع يموت قالهم الوالي أنا خطيني أوينو ما بين يديكم كانت حبوا تقتلوه أما دموا في رقبتكم راني مانيش مسؤولة على قتلينو
و تعذب يسوع برشا قبل ما يهزوه للبلاصة إلي باش يتصلب فيها, وتعذب يسوع برشا قبل ما يهزوه للبلاسة اللي باشي تسلب فيها
و تصلب يسوع و تصلبو معاه زوز قطعة و مجرمين واحد على الليمين و واحد على يسار و كانت الناس تتمسخر عليه و تقلو كان انت المسيح بالمنجد منع روحك, وتصلب يسوع وتصلبه معاه زوز قطعية ومجرمين واحد علي مين وواحد علي سار وكانت الناس تتمسخر عليه وتقوله كان انتي المسيح بالمنجد منع روحك
الغريب في الحكاية حتى قطعية واحد منهم زادا كان يتمسخر و يقولو في نفس الكلام أما المجرم الآخر خزر للأول و قال حتى انت باش تتصلب كيفو, الغريب في الحكاية حتى القطعية واحد منهم زادة كان يتمسخر ويقوله في نفس الكلام أما المجرم الآخر أخزر للول وقال حتى أنت باش تتصلب كيفو
تتمقعر عليه انت على الأقل تستحق الموت أما هو مسكين ما عمل حتى شيء, تتمقع عليه أنت على الأقل تستحق الموت أما هو مسكين مع ملح شيء
وقتها قاملو يسوع و قالوا اليوم باش تكون معايا في الجنة و عيط يسوع عيطة قوية و مات وقت إلي مات يسوع تزلزلت الدنية و ظلامت بالرغم إلي وقتها كانت قايلة, وقتها قام له يسوع وقال له اليوم باش تكون معايا في الجنة وعيت يسوع عيتها قوية ومات وقت اللي مات يسوع اتزرزلت الدنيا واضلامت بالرغم اللي وقتها كانت قائلة
في الشهر, في الشهر
قررت باش نتوقف عالدراسة d'accord خذيت الباك وحتى كان المعدل كان باهي و ما نجمتش نكمل قرايتي, قررت باش نتوقف عالدراسة داكو اخذيت الباك وحتى كل معدل كن بهي وما نجمتش كما لا قرأت
ولا produit إلي ممكن يخدم في تونس تخدم بيه لعوام لولانيا تفهم بيه ال marché تجرب فيه بالظبط أما الفكرة هو أنو كيفاش تكبر كيفاش تمشي لدول أخرى كيفاش تنجم تعمل ال growth بالظبط exactement كيفاش تنجم تكبر, يمكن أن يستخدم بها العوامل الأولانية تفهم بها المرشاة تجرب فيه أما الفكرة هو أنه كيفيش تكبر كيفيش تمشي لدول أخرى كيفيش تنجم تعمل الــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــ
بالنسبة للناس لي عندهم أفكار par exemple اليوم, بالنسبة للناس اللي عندهم أفكار، par exemple اليوم،
فمة طريقة تفكير و طريقة تعامل مع ال produit مع ال solution مع المشروع بصفة عامة, طريق التفكير وطريق التعامل مع البرودوية مع المشروع بصفة عامة
مركز المسيرين الشبان bien أحنا نلمو المسيرين الشبان لي عندهم أقل من خمسة و أربعين سنة, مركز الموسيرين الشبين احنا لمو الموسيرين الشبين اني عنده مقال من 45 سنة
إلي يخلينا أحنا, اللي خلينا احنا
فمة apprentissage في العقلية لاهي يتم جديد و و هاني جايك أنا ماهر الخليفي على خاطر كلمة قالها براهيم تركي مهمة ياسر علاش لا القانون ما يتبدلش انتوما خدمتو على تغير القانون carrément معناها لهنا نحكيو على قانون متاع بلاد, وهاني جاي كان ماهر الخليفي على خاطر كل مقالة ابراهيم تركي مهمة ياسر عليش لي القانون ما يتبدلش انتم اخدمتوا على تغيير القانون كاريمو اللي هنا نحكي وقانون انت عبليت
avec une autre machine avec un serveur avec des détecteurs en fait تولي ligne de production intelligente w elle communique بينها و بين بعضها, avec une autre machine avec un serveur avec des détecteurs en fait il y a des lignes de production intelligentes ils communiquent avec eux
الشي هذايا يصير à travers la signature électronique donc حنا en fait وقتلي جينا حبينا نحلو المشكلة المشكل financier هذايا لي هو كيفاش نخلي لعباد, الشيء هذا يصير الترافير لسيناتور إلكترونيك دونك إحنا نفات وقت لي جينا حابنا نحلو المشكلة المشكلة الفينانسية هذه اللي هو الكفاش نخلي العباد
لكن réellement الفسفة متاعنا من اللول كانت إلي راهو أول حاجة نشوفوا نشوفوا القانون شنوا يسمح و نشوفو زادا est ce que فماش une interprétation للنص القانوني, لكن غيالما الفلسفة متعنم الأول كانت اللي يراه أول حاجة نشوفه نشوفه القانون وشنوه يسمحه ونشوفه زادة أس كيف ماشي وننتخبريتاسيون للناس القانوني
et pour commencer à s'installer la don durant neuf mois et ils vont être accompagnés sur les volés كيما قلنا le volé technologique le volet entrepreneurial et création juridique et cetera et le volé pratiquement financier pour que, et pour commencer à s'installer làdedans durant neuf mois ils vont être accompagnés sur les volets le volet technologique le volet entrepreneurial et création juridique etc et le volet pratiquement financier pour que
et donc voilà donc بدات غاديكا و من بعد طورنا بالشوية بالشوية et on a décidé de postuler فال ost pre incubateur فمة برشا مابين les parents إلي يقول لولدو لا كملي قرايتك خوذ ديبلومك و بعد برا مشرع على روحك و أعمل مشاريعك بالنسبة, et donc voilà on a décidé de postuler pour l'osti préincubateur
علاش علاش طال الإنتظار على خاطر c'est de gros projet, pourquoi t'as l'intérêt pour ces deux grands projets
علموهم و الديهم التجارة, علموا ملديهم الدشارة
و كيما كان يتعامل مع المنجي و السفر, وكما كان يتعامل مع المنجي وصفر
قالولهم لكلنا ليها و هذا أمر ربي و سنة الحياة, قالوا لهم الكلة لها وهذا أمر ربي وسنوت الحياة
قالوا يا محمود, قالوا يا محمود
يركركو في التاي ولا على بالو, يركك في التاي ولا على بالو
تبسم محمود و قالوا عندك أفكار هايلة يا وحيد, اتبسم محمود و قالوا عندك افكار هيلة يوحيت
و من لا عنده فضة فعنه الناس منفضة, ومن لا عنده فضة فعنه الناس مفضة
و في وسط البيت فمة كرسي, уфи уст ли битва макурси
و بعد ما سترجعت كل شيء, وبعد ما استرجعت كل شيء
و يرا في كي العظروت قدام الباب, ويرافيك العبد الروت قدام البيت
قلتلها يامي زايد أنا قررت و مرة باش نخلق, قلت لها يومي زيت أنا قررت ومنا بش نخلق
يعني ميسورة الحال, يعني ميسورة الحال
