category,instruction,response,augmentation_type
general_knowledge,كيفاش تكتشف التخدير (Anesthésie) قبل ما يعملوا العمليات؟,قبل القرن 19، العمليات كانت 'عذاب' والمريض يحس بكل شيء. في 1846، طبيب أسنان اسمه 'ويليام مورتون' استعمل غاز 'الإيثر' ونجح باش يرقد مريض وما يحس بحتى وجيعة. الاكتشاف هذا كان أعظم رحمة للبشرية، خاطر سمح للأطباء باش يعملوا عمليات معقدة وطويلة في راحة تامة للمريض.,original
general_knowledge,علاش كي ناكلوا حاجة مثلجة برشا (كيف المثلجات) نحسوا بوجيعة راس قوية (Brain Freeze)؟,الحكاية هذي تسمى 'صدمة البرد'. كي تمس حاجة مثلجة سقف الحلق، العروق اللي غاديكة تتقلص فجأة ومن بعد تتحل بسرعة باش تدز الدم وتدفي البلاصة. الحركة السريعة هذي متاع العروق تفيق أعصاب الوجيعة اللي تبعث ميساج للمخ. المخ يتغدر ويحساب الوجيعة جاية من الجبهة، فتحس بهذيكة الـ 'سطرة' القوية اللي تقعد ثواني وتتعدى.,original
advice_guidance,شنوة هو فقر الدم (Anémie) وعلاش يخلي الواحد ديما فاشل ووجهه أصفر؟,الأنيميا هي نقص في 'الهيموغلوبين' اللي موجود في كريات الدم الحمراء. خدمة الهيموغلوبين هي هزّ 'الأوكسجين' من الرواري وتوزيعه على أعضاء البدن. كي ينقص، البدن يولي يخدم بـ 'الريزيرف' وما يوصلش أوكسجين كافي للمخ والعضلات، فتحس بالدوخة، الفشل، وقلبك يدق بسرعة باش يحاول يعوض النقص.,original
advice_guidance,كيفاش السوسة (Carie) تاكل السنّة وهي أقوى مادة في البدن؟,السوسة ما تاكلش السنّة مباشرة. الحكاية تبدأ بالبكتيريا اللي تعيش في الفم؛ كي تاكل السكر، البكتيريا هذي تتغدى عليه وتخرج 'حمض' (Acide). الأسيد هذا هو اللي يذوّب 'المينا' (الطبقة البرانية القاسحة) متاع السنّة بالشوية بالشوية لين يعمل حفرة. كي توصل الحفرة للعصب، وقتها تبدأ الوجيعة اللي ما ترقدش الليل.,original
advice_guidance,علاش كي نكونوا نجريو نحسوا بوجيعة في الجنب (Point de côté)؟,الوجيعة هذي الاكثرية تجي خاطر 'الحجاب الحاجز' (العضلة اللي تعاونا على التنفس) تتقلص وتتجبد بقوة مع حركة الجري والتنفس السريع. زادة تنجم تجي خاطر الدم يمشي أكثر للعضلات اللي تجري وينقص شوية على الكبدة والطحال، مما يعمل تشنج بسيط. أحسن حل هو إنك تنقص في السرعة، تضغط بيدك على البلاصة اللي توجع، وتأخذ نفس عميق ومنتظم.,original
general_knowledge,شنوة هي الحساسية (Allergie) وعلاش البدن يولي يحك؟,الحساسية هي 'غلطة' يعملها الجهاز المناعي. بدنك يشوف حاجة عادية (كيف غبرة، نوار، ولا نوع ماكلة) كاينها عدو خطير، فيهجم عليها بقوة ويفرز مادة اسمها 'هيستامين'. الهيستامين هذا هو اللي يعمل الحكة، الاحمرار، الدموع، والعطس. يعني الحساسية هي حماية زايدة عن اللزوم من بدنك لحاجة ما تستحقش.,original
general_knowledge,علاش الشخير (Ronflement) يصير كي نرقدوا؟ وشكون اللي يشخر أكثر؟,الشخير يصير كي الهواء يلقى صعوبة باش يتعدى في الحلق وهو داخل للرئتين. عضلات الحلق ترخى في النوم، والأنسجة (كيف اللهاة) تبدأ 'تترفرف' وتعمل هذاك الصوت. الرجال، الناس اللي عندهم وزن زايد، ولا اللي يرقدوا على ظهرهم يشخروا أكثر. ساعات يكون علامة اللي فما ضيق في التنفس ولازم استشارة طبيب.,original
general_knowledge,علاش المرارة (Vésicule biliaire) ساعات تعمل حجر؟ وشنوة خدمتها أصلاً؟,المرارة هي كيس صغير تحت الكبدة، تخزن 'الصفراء' (Bile) اللي تصنعها الكبدة. كي تاكل حاجة فيها دهون، المرارة تعصر روحها وتصب الصفراء في المصران باش تعاون على الهضم. الحجر يتكون كي المواد اللي في الصفراء (كيف الكوليسترول) تولي مركزة برشا وتيبس. برشا ناس ينحيوها ويعيشوا عادي، خاطر الكبدة تولي تصب الصفراء مباشرة في المصران أما يولي لازمهم ينقصوا من المقالي والدهون.,original
advice_guidance,شنوة هي الغدة الدرقية (Thyroïde) وعلاش هي تيرموستا البدن؟,الغدة الدرقية موجودة في الرقبة وتشبه للفراشة. تفرز هرمونات تتحكم في 'الميتابوليزم' (حرق الطاقة). كي تخدم برشا (فرط نشاط)، تولي تحرق برشا وتضعف وتولي عصبي. وكي تبخل (خمول)، يولي بدنك رزين، تسمن بسرعة، وتحس بالبرد ديما. هي اللي تعدل سرعة كل معامل البدن، من دقات القلب لدرجة الحرارة.,original
general_knowledge,علاش فما ناس ينقصوا نظر (Myopie) وما يراوش الحاجات البعيدة؟,في الحالة العادية، العين تركز الضوء بالضبط فوق 'الشبكية'. عند اللي عندهم نقص نظر، العين تكون 'طويلة' شوية ولا القرنية مقوسة برشا، فالصورة تتركز 'قدام' الشبكية موش فوقها. هذاك علاش يراو الحاجة القريبة واضحة والبعيدة مضببة. والمرايات (Lunettes) خدمتها هي ترجع الصورة لبلاصتها الصحيحة فوق الشبكية.,original
advice_guidance,نحس في قلبي ساعات يفزّ ويخبط بقوة (Palpitations) كأنه باش يخرج من بلاصته، رغم اللي مانيش عامل مجهود، نخاف لا تكون جلطة؟,وسع بالك، هذي تسمى 'خفقان'. في أغلب الأحيان ما عندهاش علاقة بالجلطة، تنجم تكون من كثرة 'التاي والقهوة'، ولا الستريس والقلق. ساعات 'الغدة الدرقية' كي تبدأ تخدم برشا تعمل هكة. جرب نقص من المنبهات وارقد مليح، وإذا زاد معاها ضيق نفس ولا وجيعة في الصدر، وقتها لازم تخطيط على القلب (ECG) باش تطمئن.,original
advice_guidance,كل ما ناكل حاجة، حتى لو كان خفيفة، كرشي تتنفخ وتولي معبية بالغازات وتوجعني، فديت من الماكلة، شنوة الحل؟,الظاهر اللي عندك 'المصران الغليظ' (Colon irritable). هو مصران حساس يتقلق من أنواع معينة من الماكلة (كيف البقول، الحار، ولا الحليب) ومن القلق النفسي. جرب كل بالسياسة وامضغ مليح، وابعد على المشروبات الغازية. المصران هذا يحب النظام والراحة، وإذا الحكاية فيها نقص وزن ولا دم، لازم تشاور طبيب مختص.,original
advice_guidance,ساعات كي نغزر للسماء ولا لحيط أبيض، نرى في ذبان طائر ولا نقاط كحلة تتحرك قدام عيني، هل أنا قاعد نفقد في نظري؟,لا ما تخافش، هذي تتسمى 'الذبابة الطائرة' (Mouches volantes). هي عبارة على شوية شوائب وسط السائل اللي في وسط العين. هي حاجة عادية وتكثر مع العمر ولا عند اللي عندهم نقص نظر (Myopie). أما إذا شفت 'فلاشات' ضوء قوية ولا كأنه ستارة غطات عينك، وقتها لازم تمشي تجري لطبيب العينين خاطر تنجم تكون فما مشكلة في الشبكية.,original
advice_guidance,عندي بقع بيضاء بدأت تظهر في جلدي وتكبر بالشوية، زعمة هذا برص؟ ولا مجرد نقص فيتامينات؟,البقع البيضاء عندها برشا أسباب. تنجم تكون 'بهاق' (Vitiligo) وين البدن يهاجم الخلايا الملونة متاعه، ولا تنجم تكون مجرد 'فطريات' (Champignons) من الشمس ولا العرق تبرى بشوية دوايات. لازم طبيب جلدة يشوفها بضوء خاص باش يفرق بيناتهم. المهم ابعد على الخلطات العشوائية وما تقلقش روحك، الحالة النفسية مهمة برشا للجلدة.,original
advice_guidance,عندي وشوشة (طنين) في وذني ما تحبش تسكت، كأنه حس صفارة ديما معايا، هبلتني، شنوة سببها؟,الطنين (Acouphène) عنده برشا أسباب: ساعات مجرد 'بوشون' وسخ (صملاخ) يسكر الوذن، ولا تعرضت لحس قوي برشا جرح الأعصاب الصغيرة. تنجم تكون زادة من ضغط الدم ولا مشاكل في عروق الرقبة. أحسن حاجة تعمل تخطيط سمع عند طبيب (ORL)، وحاول ابعد على السكات التام في الليل (حط راديو بعيد شوية) باش مخك ينسى هذاك الحس.,original
advice_guidance,يا دكتور، ديما عطشان ونمشي لبيت الراحة (التواليت) برشا، ونحس في روحي فاشل، زعمة عندي السكر؟,الأعراض هذي (كثرة العطش والتبول) هي العلامات الكلاسيكية متاع مرض السكر. البدن كي يولي السكر عالي في الدم، يحاول يتخلص منه عن طريق البول، وهذا يخليك تعطش برشا وتفشل خاطر طاقتك قاعدة تضيع. ما تقعدش تخمن، أعمل تحليل سكر 'صايم' (Glycémie à jeun) غدوة صباحاً، وبإذن الله كان فما حاجة تداركها من الأول بالحمية والدواء.,original
advice_guidance,عندي وجيعة تقتل في جنبي وتهبط لأسفل البطن، ساعات تجيني نوبات قوية تخليني نتلوى، شنوة هذا؟,الوجيعة هذي تشبه برشا لـ 'قولنج كلوي' (Colique néphrétique). الاكثرية فما 'حجرة' صغيرة خرجت من الكلية وحصلت في المجرى. الوجيعة هذي تعتبر من أقوى الأوجاع؛ لازمك تمشي للاستعجالي باش تأخذ مسكنات قوية وتعمل 'إيكو' باش نشوفوا حجم الحجرة وبلاصتها. اشرب الماء برشا (أما موش وقت اللي الوجيعة شادة فيك) باش تعاونها تطيح.,original
advice_guidance,يا دكتور، عندي مدة نقوم من النوم مفجوع ونحس في صدري مضغوط ونفسي مقطوع، زعمة قلبي فيه حاجة؟,هذي الحالة تنجم تكون 'انقطاع التنفس أثناء النوم' (Apnée du sommeil). اللي يصير هو أن المسالك الهوائية تتسكر شوية وإنت راقد، البدن يفيق بالموضوع ويعطيك دقة أدرينالين قوية باش تفيق وتتنفس، وهذا اللي يخليك تقوم مفجوع وقلبك يدق. الحكاية تكثر عند اللي يشخروا ولا اللي عندهم وزن زايد. لازم تثبت مع طبيب صدرية، خاطر قلة الأوكسجين في الليل تتعب القلب على المدى الطويل.,original
advice_guidance,ساعات تجيني حالة خوف قوية من غير سبب، قلبي يخبط، نعرق، ونحس روحي باش نموت ولا باش نهبل، شنوة هبولي هذا؟,اللي تحكي فيه هو 'نوبة هلع' (Crise de panique). هي حالة نفسية بالأساس موش هبال. الجهاز العصبي متاعك يعطي إنذار كاذب بوجود خطر كبير، فيفرز أدرينالين بقوة. الحالة تفجع أما ما تقتلش وما تهبلش. التنفس العميق والهدوء يعاونوا، وإذا تكررت لازم تشوف طبيب نفسي باش يعاونك بالتحليل السلوكي ولا بشوية دواء يركح الأعصاب.,original
advice_guidance,شعري يطيح برشا، وضوافري ديما يتكسروا، وديما نحس بالبرد حتى كي تبدأ الدنيا دافية، شنوة ناقصني؟,الأعراض هذي تشككنا في 'خمول الغدة الدرقية' (Hypothyroïdie). كي الغدة تبخل، الميتابوليزم يرزن، البدن ما عادش يصنع طاقة وحرارة كافية، والجلد والشعر يتأثروا الأولين. زادة ينجم يكون نقص حديد (Anémie) قوي. أحسن حاجة تعمل تحليل TSH وتحليل حديد (Ferritine) باش تعرف الساس وين وتصلحه بالدواء المناسب.,original
advice_guidance,عندي وجيعة راس (صداع) تشدني في شطر وجهي، ونولي ما نطيقش الضوء ولا الحس، وساعات نردّ (نقيّ)، فديت منها؟,هذي هي 'الشقيقة' (Migraine). هي وجيعة راس عصبية وعرقية، تمس شطر الراس وتجي في شكل نبضات (Dabb). الضوء والحس يزيدوا يجهلوها. الشقيقة عندها 'مفاتيح' تطلعها: كيف الجوع، قلة النوم، الستريس، ولا أنواع ماكلة معينة. لازمك دواء خاص بالشقيقة تاخذه من أول ما تبدأ الوجيعة، وتحاول تعرف شنوة الحاجات اللي تطلعها عندك باش تتجنبهم.,original
advice_guidance,ولدي ديما يمرض بالرشح والكحة، كل شهر وهو بالأنتبوتيك (Antibiotique)، زعمة مناعته طايحة؟,موظ لازم تكون مناعته طايحة، الصغار خاصة كي يدخلوا للروضة لازم يمرضوا برشا باش 'يدربوا' جهازهم المناعي. أما الغلطة الكبيرة هي كثرة 'الأنتبوتيك'؛ الرشح والكحة أغلبهم فيروسات والأنتبوتيك ما يعمللهم شيء، بالعكس يقتل البكتيريا الباهية ويضعف المناعة. ركز على الماكلة الصحية (الغلال، العسل) والراحة، وشاور الطبيب باش ما يعطيش مضاد حيوي كان كي تبدأ فما بكتيريا بالحق.,original
advice_guidance,ساقيا من لوطة ديما منفوخين ورزان، وظهروا فيهم عروق خضر وبنفسجيين (Dwarali)، شنوة الحل؟,هذوكم يتسماوا 'الدوالي' (Varices). السبب هو أن العروق (الأوردة) ما عادش تنجم تطلع الدم للفوق للقلب بكفاءة، فالدم يركح لوطة ويضغط على العروق لين تتنفخ. القعدة برشا ولا الوقفة برشا تزيد فيهم. حاول ارفع ساقيك كي ترتاح، البس 'قلسات ضاغطة' (Bas de contention) إذا الطبيب نصحك بيهم، وامشي برشا باش تحرك مضخة العضلات في الساق.,original
advice_guidance,عندي وجيعة قوية في أسفل الظهر والبطن كل ما تقرب العادة الشهرية، ساعات تخليني ما نجمش نتحرك، هل هذا عادي؟,الوجيعة في العادة (Règles douloureuses) موجودة، أما إذا كانت قوية لدرجة تعطلك على حياتك، لازم نثبتوا. تنجم تكون مجرد تشنجات عادية تبرى بمسكنات بسيطة، ولا تنجم تكون حالة تسمى 'بطانة الرحم المهاجرة' (Endométriose). لازم تعمل 'إيكو' عند طبيبة نساء باش تتطمن اللي كل شيء في بلاصته وما فماش كيس ولا التهاب زايد.,original
advice_guidance,خرجتلي حبة في طرف شفتي (Fever blister) تحرق وتوجع، ديما تطلعلي كي نمرض بالسخانة ولا كي نتفجع؟,هذا يتسمى 'هرقس' (Herpès labial). هو فيروس يقعد راقد في الأعصاب ويتحرك كي 'تضعف' المناعة شوية (بسبب سخانة، ستريس، ولا فجعة). أحسن حل هو تدهن مرهم مضاد للفيروسات (Acyclovir) من أول ما تحس بـ 'تنميل' وقبل ما تخرج الحبة. زادة رد بالك تمسها ومن بعد تمس عينك خاطر الفيروس يتنقل بسرعة.,original
advice_guidance,عيني ترفّ (Tressaillement) عندها أيامات ما حبتش تسكت، فديت منها، هل هي جلطة في العين؟,وسع بالك، رفة العين ما عندها حتى علاقة بالجلطة. هي مجرد تشنج بسيط في عضلة الجفن. الأسباب الشائعة هي التعب، قلة النوم، كثرة القهوة، ولا الستريس. مخك وجهازك العصبي قاعدين يقولولك 'ارتاح'. نقص من الشاشات وارقد مليح، وبإذن الله تو تروح وحدها. إذا قعدت أسابيع، وقتها نشوفوا نقص في المانيزيوم (Magnésium).,original
advice_guidance,نحس في وجيعة حارقة في كعب سقي (Talon) خاصة أول ما نقوم من النوم ونحط سقي على القاعة، كأني واطئ على مسمار؟,هذي تسمى 'مسمار اللحم' ولا بالطب 'التهاب اللفافة الأخمصية' (Aponévrosite plantaire). هي التهاب في الأنسجة اللي تشد قاع الساق. الوجيعة قوية في الصباح خاطر الأنسجة تبرد وتكبس في الليل. جرب البس سبادري مريح، اعمل مساج بكرة صغيرة (ولا دبوزة ماء مثلجة) تحت ساقك، ونقص من الوقفة برشا على القاعة الرزينة.,original
advice_guidance,ديما نحس في روحي فاشل وما عادش عندي جو لشيء، حتى الحاجات اللي كانت تفرحني ولات ما عندهاش طعم، هل أنا مريض ولا بخل؟,اللي تحكي فيه هو علامات 'اكتئاب' (Dépression) موش بخل. الاكتئاب يغير كيمياء المخ ويخلي الواحد يفقد الرغبة في كل شيء. هو مرض كيف السكر والدم ويستحق علاج. ما تضغطش على روحك وما تسمعش اللي يقولك 'دلّال'؛ شوف طبيب نفسي يحكي معاك، ساعات جلسات كلام (Thérapie) ولا شوية دواء يرجعوا التوازن للمخ وتولي ترى الدنيا بألوانها العادية.,original
advice_guidance,ساعات نحس بـ حرقان كي نجي نتبول، ومعاها وجيعة لوطة في كرشي، هل هي مبرد (برد في الكلاوي)؟,الأغلب هو 'تعفن مسالك بولية' (Infection urinaire). البكتيريا دخلت للمثانة وعملت التهاب. الحكاية هذي تكثر عند النساء أكثر من الرجال. لازم تشرب برشا ماء باش 'تغسل' المثانة، وتعمل تحليل بول (ECBU) باش تعرف نوع البكتيريا وتأخذ لها الأنتبوتيك الصحيح. ما تبطاش عليها باش ما تطلعش الوجيعة للكلاوي وتولي بالحمى.,original
advice_guidance,بدني ما عادش يطيق الحليب ومشتقاته، كل ما نشرب كاس حليب كرشي تجري وتتنفخ بالغازات، شنوة صار لي؟,الظاهر عندك 'عدم تحمل اللاكتوز' (Intolérance au lactose). بدنك نقص من إنتاج الأنزيم اللي يهضم سكر الحليب. هي حاجة تصير برشا كي نكبروا. جرب استبدل الحليب العادي بحليب 'بلاش لاكتوز' ولا ياغورت (الخمائر اللي فيه تعاون على الهضم)، ولا حليب نباتي (لوز ولا شوفان). المهم ثبت في الكالسيوم من مصادر أخرى.,original
advice_guidance,نلقى في زروقية (Bleus) في بدني ساعات تظهر وحدها من غير ما نضرب، هل دمي فيه مشكلة؟,الزروقية من غير ضربة تستحق تثبيت. تنجم تكون مجرد هشاشة في العروق الصغيرة، ولا نقص في 'الصفائح الدموية' (Plaquettes) اللي تخلي الدم يتخثر. زادة فما أدوية (كيف الأسبرين) تميع الدم وتعمل هكة. اعمل تحليل دم كامل (NFS) وثبت في وظائف الكبدة، وإذا معاها دم يخرج من اللثة، لازم تشوف طبيب دم فوراً.,original
advice_guidance,عندي كحة شايحة عندها أكثر من شهر ما حبتش تمشي، جربت السيرووات الكل وما نفعش، شنوة الحكاية؟,كحة فايتة شهر تتسمى كحة 'مزمنة'. تنجم تكون حساسية (Asthme خفيف)، ولا ناتجة على الارتجاع المريئي (الأسيد يحرق الحنجرة)، ولا حتى من دواء ضغط الدم (كيف أدوية الـ IEC). إذا كنت تتكيف، لازم تعمل راديو على الصدر (Radio thorax) باش نتطمنوا على الرئتين. الكحة هي مجرد 'المنبه' اللي يقول فما حاجة موش عادية.,original
advice_guidance,عندي وجيعة حادة في صبع ساقي الكبير، تنفخ وولى أحمر ويحرق، ما نجمش حتى نلبس سبادري، شنوة هذا؟,هذا يوحي بـ 'داء النقرس' (Goutte) ولا ما يسمى 'مرض الملوك'. سببه هو كثرة 'حمض اليوريك' (Acide urique) في الدم اللي يترسب في المفاصل في شكل كريستالات تجرح. جرب نقص من اللحوم الحمراء واللحوم الباردة (Charcuterie) ونقص من المشروبات الحلوة. لازمك دواء ينقص الالتهاب ودواء آخر ينظم نسبة الأسيد في دمك.,original
advice_guidance,يا دكتور، نحس في نهجة (Essoufflement) كبيرة كي نطلع الدروج، ونحس صدري مكبوس، زعمة من الدخان ولا قلبي تعب؟,النهجة عندها برشا أسباب؛ تنجم تكون ضعف في عضلة القلب، ولا ضيق في الشرايين، وزادة الدخان يعمل 'انسداد رئوي' (BPCO) يخلي الأوكسجين ما يوصلش مليح. لازمك تعمل تخطيط قلب وإيكو (Écho-cœur) وتثبت في وظائف الرئة. إذا كانت النهجة تجيك وإنت مرتاح، وقتها الحكاية تولي استعجالية ولازم تثبت فوراً.,original
advice_guidance,طلع لي تولال (Verrues) في يدي وبدأ يتكاثر، نحيته بمقص وبرى رجع طلع أكثر، شنوة الحل؟,التولال هو فيروس (HPV) يعيش في الجلدة، وكي تنحيه بالمقص إنت قاعد تزيد تنشر فيه لبلايص أخرى. أحسن حل هو تمشي لطبيب جلدة 'يحرقه' بالبرد (Azote liquide) ولا بالليزر باش يقتل الفيروس من العرق. زادة حاول ما تمسوش بيدك باش ما تنقلوش لوجهك ولا لعباد آخرين خاطر هو يعدي.,original
advice_guidance,عندي دوخة (Vertige) تجيني كي نتلفت فجأة في الفرش ولا كي نرفع راسي، الدنيا الكل تدور بيا وباش نردّ، شنوة هذا؟,هذي الاكثرية تسمى 'دوار الوضعية' (VPPB). السبب هو 'كريستالات' صغيرة وسط الوذن لداخل تحركت من بلاصتها وغلطت في ميساجات التوازن للمخ. الطبيب (ORL) ينجم يرجعهم لبلاصتهم بحركات معينة لراسك (Manœuvre) وتبرى في وقتها بلاش دواء. ما تخافش، هي حالة تفجع أما تبرى بسرعة.,original
advice_guidance,عندي وجيعة في ظهري تهبط لي على ساقي اليمين حتى لصوابعي، ونحس في تنميل وبرودة في الساق، شنوة هذا؟,هذا يتسمى 'عرق النسا' (Sciatique). السبب الاكثرية هو 'عظمة' ولا 'ديسك' (Hernie discale) ضاغط على العصب اللي خارج من أسفل الظهر وماشي للساق. لازمك راحة، دواء ضد الالتهاب، وإذا الوجيعة قوية برشا ولا ساقك ولات 'ترخي' وما تحملش وزنك، لازم تعمل سكانير (IRM) باش نشوفوا العملية لازمة ولا يكفي العلاج الطبيعي.,original
advice_guidance,عندي إمساك (Constipation) مزمن، ساعات نقعد 4 أيام ما نمشيش للتواليت، وكرشي ديما كابسة، شنوة الحل؟,الإمساك يجي من قلة الألياف (خضرة وغلال) وقلة شرب الماء. المصران يولي رزين والفضلات تشيح. جرب كول 'النخالة'، الشريحة (كرموس شايح)، واشرب الماء برشا وأعمل سبور. ابعد على استعمال 'المسهلات' (Laxatifs) القوية ديما، خاطر المصران يولي 'عاجز' وما عادش يخدم وحده. إذا فما دم ولا وجيعة كبيرة، لازم طبيب يثبت.,original
advice_guidance,عيني ديما حمرة وتحك فيا، ونحس كأنه فيها رمل، خاصة كي نقعد قدام التلفزة ولا التلفون، شنوة الدواء؟,هذا يسمى 'شياح العين' (Sécheresse oculaire). القعدة قدام الشاشات تخلينا ما نرمشوش بعينينا برشا، فالدموع تشيح. زادة الغبرة والحساسية يزيدوا فيها. جرب استعمل 'دموع اصطناعية' (Larmes artificielles) بلاش مواد حافظة، وحاول طبق قاعدة 20-20-20: كل 20 دقيقة غزر لحاجة بعيدة 20 متر لمدة 20 ثانية باش تريح عينك.,original
advice_guidance,يا دكتور، ديما عندي خشمي مسكر (Nez bouché) ونعطس برشا خاصة في الصباح، وعيني تدمع وتأكل فيا، زعمة هذي قريبت (Grippe) ما حبتش تمشي؟,هذي موش قريبت، هذي الاكثرية 'حساسية الخشم' (Rhinite allergique). بدنك قاعد يعمل في ردة فعل قوية ضد الغبرة، نوار الملح، ولا حتى وبر الحيوانات. الفرق بينها وبين القريبت إنها ما تعملش سخانة وتدوم برشا وقت. جرب نظف خشمك بالماء المالح (Sérum physiologique) وابعد على الحاجات اللي تقلقك، وإذا لزم فما دواء 'أنتي هيستامين' يرتحك في وقتها.,original
advice_guidance,طلع لي حب شباب كبير ويوجع في وجهي وصدري رغم اللي فت سن المراهقة عندي مدة، علاش رجع لي توا؟,حب الشباب عند الكبار (Acné adulte) عنده برشا أسباب؛ تنجم تكون حكاية 'هرمونات' (خاصة عند النساء)، ولا ستريس وقلق، ولا حتى نوع الماكلة اللي فيها برشا سكر. زادة فما أنواع 'ماكياج' تسكر المسام وتعمل حبوب. لازمك روتين تنظيف باهي وما تمسش الحبوب بيدك باش ما يخليوش 'ندبات' (Cicatrices) دائمة، وإذا كثر لازم طبيب يعطيك دواء أقوى.,original
