Question,Answer
في حديقة حيوانات، عدد القردة 2/5 عدد الطيور، وعدد الأسود 1/4 عدد القردة. إذا كان عدد الأسود 10، فكم حيوانًا في الحديقة؟,250
إذا كان لديك 100 درهم وأنفقت 35 درهماً، كم درهماً سيبقى معك؟,65
في صف مدرسي، هناك 20 طالبًا. إذا كان 12 منهم فتيات، فكم عدد الأولاد؟,8
كم عدد الأسنان الدائمة عند البالغين؟,32
لديك 8 مجموعات من الشوكولاتة، وكل مجموعة تحتوي على 5 قطع. كم عدد القطع لديك؟,40
إذا جمعت نصف العدد 30 مع ثلاثة أضعاف العدد 5، كم يصبح المجموع؟,45
إذا كان لديك 15 صندوقًا، وكل صندوق يحتوي على 20 قطعة من الألعاب، وكل قطعة تحتوي على 3 ألوان، كم عدد الألوان الإجمالي؟,900
إذا كان لديك 5 برتقالات و2 موز، كم عدد الفواكه لديك؟,7
لديك 9 علب، وكل علبة تحتوي على 12 قلمًا. كم عدد الأقلام لديك؟,108
إذا كان لدي 15 قطعة نقدية وقررت إعطاء 3 قطع لكل من 4 أصدقاء، كم قطعة تبقى؟,3
كم عدد العيون لدى ثلاث قطط؟,6
إذا كان لديك 40 ريالاً، وأنفقت 35 ريالاً، كم ريالاً سيبقى لديك؟,5
لديك 4 كراسي وجلبت 2 إضافية. كم عدد الكراسي الآن؟,6
إذا كان لديك 12 زهرة وأعطيت 4 لصديقك، كم زهرة ستبقى معك؟,8
إذا كان لديك 31 كرة، وأعطيت 26 منها لأخيك، كم كرة ستبقى لديك؟,5
إذا كان لديك 36 بيضة وكسرت 9 منها، كم بيضة سليمة بقيت؟,27
ما هو العدد الذي إذا جمعته مع 9 يعطيني 16؟,7
كم يكون العدد إذا جمعت ثلث العدد 18 مع نصف العدد 16؟,17
إذا كان لديك 60 تفاحة ووزعت ثلثها على أصدقائك، كم تفاحة ستبقى معك؟,40
إذا كان هناك 30 طالبًا في الصف، و15 منهم فتيات، كم عدد الأولاد؟,15
إذا كان لديك 40 كتابًا وقررت توزيعها بالتساوي على 8 رفوف، كم كتابًا على كل رف؟,5
كم عدد الزوايا في 10 مثلثات؟,30
إذا كانت هناك 5 مجموعات، كل مجموعة تحتوي على 3 ألعاب، كم عدد الألعاب الكلي؟,15
كم عدد العيون في ثلاثة أطفال؟,6
كم عدد الزوايا في شكل مستطيل؟,4
إذا كان لديك 6 كعكات، وأكلت 2 منها، كم كعكة ستبقى لديك؟,4
لديك 75 كرة ووزعت 25 منها على فريقك. كم كرة بقيت معك؟,50
لديك 8 صناديق، وكل صندوق يحتوي على 10 قطع من الألعاب، وكل لعبة تحتوي على 4 ألوان، كم عدد الألوان الإجمالي؟,320
إذا كان لديك 50 طالبًا، و15 منهم غائبون و10 منهم في الرحلة، كم عدد الطلاب المتواجدين في الصف؟,25
إذا كان لدي 2 من الكرات و3 من الأقلام. كم عدد الأشياء؟,5
كم عدد الزوايا في 6 مربعات؟,24
لدى سارة خمسة أقلام وأربعة دفاتر. كم عدد الأشياء التي لديها؟,9
إذا كان عمر أحمد 15 سنة وعمر أخيه أصغر منه بـ 7 سنوات، فكم عمر أخيه؟,8
كم يكون مجموع ثلث العدد 9 وضعف العدد 2؟,7
إذا كان لديك 7 سيارات و3 منها تحتاج إلى إصلاح، كم عدد السيارات الصالحة؟,4
إذا جمعت نصف العدد 14 مع ربع العدد 16، كم يصبح المجموع؟,15
إذا كان لديك 150 تفاحة وتلف منها 30، كم تفاحة صالحة بقيت؟,120
إذا كان لديك 20 كرة وزعت بالتساوي على 5 أطفال، كم كرة حصل كل طفل؟,4
كم عدد الدقائق إذا كان لديك 3 ساعات و15 دقيقة؟,195
إذا كان لديك 200 درهم وأنفقت 75 درهماً، كم درهماً سيبقى معك؟,125
إذا كان لديك 470 ريالاً، وأنفقت 370 ريالاً، كم ريالاً سيبقى لديك؟,100
إذا كان لدي 9 أوراق وأعطيت 2 لكل من 3 أشخاص، كم بقي معي؟,3
كم عدد الألوان إذا كان لديك 5 أقلام ملونة، كل منها بلون مختلف؟,5
كم يكون الناتج إذا جمعت ضعف العدد 7 مع نصف العدد 20؟,24
لديك 165 درهماً وأنفقت 55 درهماً. كم درهماً بقي معك؟,110
إذا كان لديك 24 كتابًا ووزعتهم على 4 طلاب بالتساوي، كم كتابًا سيحصل عليه كل طالب؟,6
إذا كان لديك 45 تفاحة، وأكلت 40 منها، كم تفاحة ستبقى لديك؟,5
ما هو العدد الذي إذا ضرب في 4 يعطي 20؟,5
إذا كان لديك 6 كتب، وكل كتاب يحتوي على 150 صفحة، كم عدد الصفحات الإجمالي؟,900
إذا كان لديك 5 أقلام وفقدت 1، كم قلمًا ستبقى لديك؟,4
في يدك 6 قطع نقدية وأعطيت 2 منها لصديقك، كم قطعة نقدية بقيت معك؟,4
إذا كان لديك 7 بيضات وكسر 2 منها، كم بيضة تبقى سليمة؟,5
كم عدد الأذنين في الإنسان؟,2
إذا كان لديك 5 دراجات، وأعطيت 1 لأخيك، كم عدد الدراجات المتبقية لديك؟,4
ما هو ناتج قسمة 81 على 9؟,9
إذا كان لديك ثلاث برتقالات وتفاحتان، كم عدد الفواكه؟,5
إذا كان لديك 44 ريالاً، وأنفقت 39 ريالاً، كم ريالاً سيبقى لديك؟,5
إذا ضاعفت العدد 12 ثم أضفت إليه 4، كم يصبح العدد؟,28
إذا كان ثمن السيارة 100000 درهم وحصلت على خصم 15٪، ثم دفعت ضريبة 7٪ على السعر بعد الخصم، فكم ستدفع في النهاية؟,25414
كم مرة يمكن تقسيم العدد 64 على العدد 8؟,8
إذا كنت تملك 50 كيسًا، وكل كيس يحتوي على 8 كجم من الأرز، كم كجم من الأرز لديك؟,400
إذا كان لديك 50 طابعاً بريدياً ووزعت 30 منها، كم طابعاً بقي معك؟,20
لديك أربعة كراسي وطاولة واحدة. كم عدد الكراسي؟,4
كم عدد الساعات في 15 يومًا؟,360
لديك 12 حاوية، وكل حاوية تحتوي على 5 أنواع من الأدوات، وكل نوع يحتوي على 4 أدوات. كم عدد الأدوات لديك؟,240
إذا كان لديك 100 كتاب، ووزعت 25 كتابًا على 5 أصدقاء بالتساوي، كم كتاب يبقى لديك؟,80
إذا كان لديك 16 تفاحة، وأكلت 11 منها، كم تفاحة ستبقى لديك؟,5
إذا كان لديك 3 سلالم، وكل سلم يحتوي على 12 درجة، كم يكون مجموع الدرجات؟,36
إذا كان لديك 110 تفاحات، وأكلت 30 منها، كم تفاحة ستبقى لديك؟,80
إذا كان لديك 3 أكياس، وفي كل كيس 4 كرات، كم كرة لديك في المجموع؟,12
إذا كان لديك 50 درهمًا وأنفقت 30 درهمًا، كم بقي معك؟,20
كم عدد الأقدام في 5 طاولات؟,20
لديك 120 قلماً ووزعت 40 على زملائك. كم قلماً بقي معك؟,80
عمره 12 عامًا، ما هو عمره بعد 6 سنوات؟,18
لديك 10 قناديل، وكل واحد منهم يضيء بثلاثة ألوان مختلفة. كم عدد الألوان الإجمالي؟,30
إذا كان لديك 25 كعكة، وأكلت 5 كعكات في اليوم، كم يومًا تحتاج لأكل جميع الكعكات؟,5
كم عدد الأرجل في 6 خيول و3 بقرة؟,30
إذا كان لديك 2 كتب وأضفت إليها 11 كتاب. كم كتاب لديك الآن؟,13
في مسابقة، شارك 200 طالب. إذا نجح 3/8 المشاركين بتقدير ممتاز، و1/4 بتقدير جيد جدًا، فكم عدد الطلاب الذين لم يحصلوا على هذين التقديرين؟,75
إذا كان لديك 450 ريالاً، وأنفقت 350 ريالاً، كم ريالاً سيبقى لديك؟,100
إذا كان لدي تفاحة وكتاب وأربع برتقالات. كم من الفواكه لدي؟,5
كم عدد الأيام في 3 سنوات بسيطة؟,1095
إذا كانت لديك خمس ألعاب وثلاث سيارات، كم عدد الأشياء التي لديك؟,8
في مدرسة، نسبة الطلاب إلى الطالبات 5:4. إذا كان عدد الطالبات 180، فكم عدد الطلاب والطالبات معًا؟,405
لدي 25 ريالاً. إذا أنفقت ثلث هذا المبلغ، كم ريالاً سأنفق؟,8
إذا كان لديك 80 كتابًا، وقرأت 20 منها، كم عدد الكتب التي لم تقرأها؟,60
لديك 10 كعكات. أكلت 2 منها وأعطيت 3 لصديقك. كم كعكة تبقى لديك؟,5
كم عدد العجلات في أربع سيارات؟,16
كم عدد الأذناب لدى قطة واحدة؟,1
إذا كان لديك 13 زهور، وأكلت 3 منها، كم زهرة ستبقى لديك؟,10
إذا كان لديك 10 كعكات، وأعطيت 3 منها، كم عدد الكعكات المتبقية لديك؟,7
إذا كنت تملك 11 نوعًا من المكسرات، وكل نوع يحتوي على 10 قطع، كم عدد القطع الإجمالي؟,110
في مزرعة، يوجد 40 دجاجة و15 بقرة و10 خراف. كم حيوانًا في المزرعة؟,65
كم عدد الساعات في 2 أسبوع؟,336
كم عدد الدقائق في 3 ساعات ونصف؟,210
إذا كان لديك 9 كرات وأعطيت 3 لكل من صديقين، كم كرة بقيت معك؟,3
إذا كان لديك 28 زهور، وأكلت 18 منها، كم زهرة ستبقى لديك؟,10
لديّ ثلاثة أقلام وممحاة واحدة. كم عدد الأشياء التي لدي؟,4
كم عدد الأصابع في 6 أيادي؟,30
كم عدد الأسنان لدى طفل؟,20
إذا كان لديك 6 صفوف، وكل صف يحتوي على 9 كراسي، كم عدد الكراسي الإجمالي؟,54
إذا كان لديك 4 تفاحات وضعفي هذا العدد من البرتقال، فكم فاكهة لديك في المجموع؟,12
في مصنع، ينتج العامل 12 قطعة في الساعة. كم قطعة سينتج في 6 ساعات؟,72
لديك 12 صندوقًا، وكل صندوق يحتوي على 6 ألعاب، وكل لعبة تحتوي على 3 ألوان، كم عدد الألوان الإجمالي؟,216
إذا كانت لديك خمس سيارات ولعبة واحدة، كم عدد الأشياء التي تملكها؟,6
إذا كان لديك 100 درهم وأنفقت 40٪ منها، كم بقي معك؟,60
إذا كان لديك 5 كرات وأعطيت 2 لأصدقائك، كم عدد الكرات المتبقية لديك؟,3
لديك 10 تفاحات. أعطيت 4 منها لصديقك. كم تفاحة تبقى لديك؟,6
لديك صندوق يحتوي على ثلاثة أقلام ورصاصتين. كم عدد الأقلام في الصندوق؟,5
ما هو العدد الذي إذا طرح منه 7 يعطي 13؟,20
إذا كان عمرك الآن 25 سنة، كم سيكون عمرك بعد 15 سنة؟,40
إذا كان لديك 16 علبة كل منها تحتوي على 4 عصائر، كم عصير لديك؟,64
إذا كان لدي 15 قطعة نقدية وأعطيت نصفها لشخص وأخذت منه 3 قطع أخرى، كم قطعة معي الآن؟,10
إذا كان لديك 10 برتقالات وأعطيت 3 لصديقك، ثم أكلت 2. كم برتقالة تبقى؟,5
إذا كان لديك 8 قطط وكل قطة لديها 4 أرجل، كم إجمالي عدد الأرجل لجميع القطط؟,32
كم عدد الأيام في الأسبوع؟,7
إذا كان لديك 450 كتاباً وتبرعت بـ 200 منها، كم كتاباً سيبقى معك؟,250
إذا كان لديك 15 صندوقًا، يحتوي كل صندوق على 8 كرات، ثم أضفت 2 كرات إلى كل صندوق، كم عدد الكرات الكلي الآن؟,150
إذا كان لديك 10 طلاب وكل طالب يحتاج إلى 3 أقلام، كم عدد الأقلام الإجمالي؟,30
إذا كان لديك 12 كتاباً، وأعطيت 7 منها لأصدقائك، كم كتاباً سيبقى لديك؟,5
لديك 10 أصابع، وكل إصبع يحتوي على 3 ألوان، كم عدد الألوان لديك؟,30
في مدرسة، 40٪ من الطلاب يشاركون في النادي الرياضي. إذا كان عدد الطلاب 250، فكم طالبًا لا يشارك في النادي الرياضي؟,150
لديك 8 قطع حلوى. أكلت 3 وأعطيت 2 لصديقك. كم قطعة حلوى تبقى لديك؟,3
إذا كان راتب الموظف 4000 درهم، وينفق 1/4 راتبه على الإيجار، و30٪ من الباقي على الطعام، فكم درهمًا يتبقى معه؟,2100
كم يكون الفرق بين 5 أضعاف العدد 6 ونصف العدد 16؟,22
إذا كنت تملك 7 كرات وأعطيت 2 منها لصديقك، كم كرة بقيت لديك؟,5
كم عدد الأسنان لدى شخص بالغ؟,32
لديك 15 كتاباً وأعطيت 6 كتب لأصدقائك. كم كتاباً بقي معك؟,9
إذا كانت لديك 4 سيارات و2 منها حمراء، كم عدد السيارات غير الحمراء؟,2
إذا كان لدي 12 برتقالة وقررت أن أعطي 3 برتقالات لكل من 3 أصدقاء، كم برتقالة تبقى؟,3
لدي 5 برتقالات و3 تفاحات. كم عدد الفواكه؟,8
كم يكون العدد إذا جمعت 3 أرباع العدد 16 مع نصف العدد 20؟,27
لدي 3 أقلام و3 دفاتر. كم عدد الأشياء؟,6
إذا كان لديك 4 أقلام، وأعطيت 1 قلم لصديقك، كم قلم ستبقى لديك؟,3
إذا كان لدي 6 أكواب ماء و3 صحون، كم عدد الأشياء لدي؟,9
كم عدد أيام شهر فبراير في السنة الكبيسة؟,29
وجدت ستة مفاتيح وأربعة أقلام. كم عدد المفاتيح؟,6
ما هو العدد الذي إذا ضربته في 5 يساوي 40؟,8
لديك 3 قطع نقدية قيمتها 25 فلسًا لكل قطعة. كم المجموع؟,75
لديك 12 علبة من الشوكولاتة، وكل علبة تحتوي على 7 قطع. كم عدد القطع الإجمالي؟,84
إذا كان لديك 24 بالوناً وانفجر ثلثها، كم بالوناً بقي سليماً؟,16
إذا كان لديك 15 تفاحة وقسمتها بالتساوي بين 3 أشخاص، كم تفاحة سيحصل كل شخص؟,5
إذا كان لديك 4 علب وكل علبة تحتوي على 7 أقلام، وقررت إعطاء 3 أقلام لكل من أصدقائك الثلاثة، كم قلم تبقى؟,25
إذا كان طول القلم 15 سم وطول المسطرة ضعف طول القلم، فكم طول المسطرة بالسنتيمتر؟,30
إذا كان لديك 380 كتاباً، وأعطيت 190 منها لأصدقائك، كم كتاباً سيبقى لديك؟,190
إذا كان لديك 8 تفاحات وأكلت 3 منها، كم تفاحة تبقى؟,5
إذا كان لدي 2 من الكتب و3 من الأقلام. كم عدد الأشياء؟,5
إذا كان لديك 41 تفاحة، وأكلت 36 منها، كم تفاحة ستبقى لديك؟,5
كم يكون الناتج إذا ضربت 9 في 8 ثم أضفت الناتج إلى العدد 36؟,108
إذا كان لديك 580 كتاباً، وأعطيت 380 منها لأصدقائك، كم كتاباً سيبقى لديك؟,200
إذا كنت تملك 4 طاولات و3 كراسي لكل طاولة، كم عدد الكراسي الكلي؟,12
إذا كان لديك سبع زهور وخمس أوراق، كم عدد الزهور؟,7
إذا كان لديك 18 كتابًا وقررت أن توزعها بالتساوي على 3 رفوف، كم كتابًا في كل رف؟,6
وجدت أربع برتقالات وليمونة واحدة. كم عدد الفواكه التي وجدتها؟,5
إذا كان عمر الأم 36 سنة وعمر ابنتها 12 سنة، فبعد كم سنة سيصبح عمر الأم ضعف عمر ابنتها؟,12
إذا كان لديك 350 درهماً وأنفقت ثلثها، كم درهماً سيبقى معك؟,233
إذا كنت تملك 30 حلوى وأعطيت 15 منها، كم حلوى تبقى لديك؟,15
إذا كان لديك 50 طالبًا في الصف، و15 منهم غائبون و10 منهم في الرحلة، كم عدد الطلاب المتواجدين في الصف؟,25
كم عدد الزوايا في 3 مثلثات؟,9
إذا كان لدي 9 صفوف وكل صف يحتوي على 5 طاولات، كم عدد الطاولات الإجمالي؟,45
كم عدد الثواني في الدقيقة الواحدة؟,60
لديك 16 سلة، وكل سلة تحتوي على 8 قطع من الفاكهة. كم عدد القطع الإجمالي؟,128
كم يكون الناتج إذا أضفت 10 إلى نصف 40؟,30
إذا كان عمر الأم 42 سنة وعمر ابنتها 1/6 عمر الأم، فكم سيكون عمر الابنة بعد 5 سنوات؟,12
لديك 8 علب، وكل علبة تحتوي على 5 مجموعات من الطلاء، وكل مجموعة تحتوي على 12 لونًا. كم عدد الألوان الإجمالي؟,2400
إذا كانت لديك ثلاث تفاحات وبرتقالتان، كم عدد الفواكه؟,5
إذا كان لديك 5 دنانير و 3 دراهم، وكان الدينار يساوي 10 دراهم، كم درهماً لديك في المجموع؟,53
إذا كان لدي 45 كرة وقسمتها بالتساوي على 5 صناديق، كم كرة في كل صندوق؟,9
لدى سامي قميصان وبنطلون واحد. كم عدد القطع التي يمتلكها سامي؟,3
ما هو ناتج ضرب 9 في 7؟,63
إذا كان لدي 16 كتابًا وأعطيت 4 لأصدقائي، كم كتابًا يبقى معي؟,12
إذا كانت لديك 4 كتب و3 أقلام، كم عدد الأشياء لديك؟,7
إذا كان لديك خمس تفاحات وبرتقالة واحدة، كم عدد الفواكه؟,6
في حديقة مربعة الشكل، طول ضلعها 9 أمتار. كم مترًا يبلغ محيط الحديقة؟,36
إذا كنت تملك 9 أكياس، وكل كيس يحتوي على 12 نوعًا من الفواكه، وكل نوع يحتوي على 3 قطع، كم عدد القطع الإجمالي؟,324
إذا كان لديك 70 ريالاً، وأنفقت 30 ريالاً، كم ريالاً سيبقى لديك؟,40
إذا كان لديك 22 كتاباً، وأعطيت 12 منها لأصدقائك، كم كتاباً سيبقى لديك؟,10
إذا كان لديك 15 دولارًا وأنفقت 5 دولارات، كم دولارًا ستبقى لديك؟,10
إذا كان لديك 230 كتاباً، وأعطيت 90 منها لأصدقائك، كم كتاباً سيبقى لديك؟,140
إذا كانت لديك 3 سيارات و2 دراجات، كم عدد المركبات التي لديك؟,5
إذا كان لدي 2 من الكتب و 2 من الأقلام. كم عدد الأشياء؟,4
إذا كان لديك 9 كتب و3 منها قرأتها، كم عدد الكتب التي لم تقرأها؟,6
كم عدد الأضلاع في مثلث؟,3
إذا كان لديك 23 كرة، وأعطيت 18 منها لأخيك، كم كرة ستبقى لديك؟,5
لديك 25 قسطًا من الأرز، وكل قسط يحتوي على 2 كجم من الأرز. كم كجم من الأرز لديك؟,50
كم عدد الزوايا في مثلث؟,3
إذا كان لديك 18 قميصًا، واشتريت 5 قمصان إضافية، كم قميصًا لديك الآن؟,23
كم عدد الأجنحة في طائرين؟,4
إذا كان لديك 100 ريالًا واشتريت لعبة بـ 35 ريالًا. كم ريالًا بقي معك؟,65
إذا كان لديك 30 كتابًا وقررت توزيعها بالتساوي على 5 أصدقاء، كم كتابًا يحصل كل صديق؟,6
إذا كان لديك 135 كتاباً ووهبت 45 منها لمكتبة، كم كتاباً سيبقى معك؟,90
إذا كنت تملك 5 زهور وأعطيت صديقك 2 منها، كم زهرة تبقى لديك؟,3
لدي 3 كتب و3 دفاتر. كم عدد الأشياء؟,6
إذا كانت الساعة الآن تشير إلى الثالثة، كم ساعة ستحتاج لتصل إلى الخامسة؟,2
إذا كنت تملك 60 قطعة من الحلوى، وأعطيت 25 منها، كم حلوى تبقى لديك؟,35
لدي ثلاثة برتقالات وخمس تفاحات. كم عدد الفواكه التي لدي؟,8
إذا كان راتب الموظف 3000 درهم، وحصل على زيادة 15٪، ثم حصل على زيادة إضافية 10٪ على الراتب الجديد، فكم أصبح راتبه؟,3795
لدي 7 كتب، إذا اشتريت 2 كتاباً إضافياً، كم عدد الكتب سيكون لديك؟,9
إذا كان لديك 750 تفاحة وتلف منها 180، كم تفاحة صالحة بقيت؟,570
إذا كان لدي 50 ريالًا واشتريت كتابًا بسعر 20 ريالًا، كم ريالًا تبقى؟,30
إذا كان لديك 310 تفاحات، وأكلت 130 منها، كم تفاحة ستبقى لديك؟,180
كم عدد العيون في 6 أشخاص؟,12
إذا كان ثمن القلم 5 دراهم وثمن الدفتر 3 أضعاف ثمن القلم، فكم ثمن الدفتر؟,15
إذا كان لديك 5 حقائب وكل حقيبة تحتوي على 8 كتب، وقررت إعطاء نصف الكتب لأصدقائك، كم كتاب تبقى؟,20
ما هو العدد الإجمالي للأشياء إذا كان لديك 3 عصافير و4 دجاجات؟,7
إذا كان لديك 650 درهماً وأنفقت 280 درهماً، كم درهماً سيبقى معك؟,370
إذا كان لديك 26 كتاباً، وأعطيت 21 منها لأصدقائك، كم كتاباً سيبقى لديك؟,5
إذا كان لديك خمس طماطم وليمونة، كم عدد الخضروات؟,5
إذا كان لديك 24 قلمًا وأعطيت 9 منها، كم قلمًا تبقى لديك؟,15
إذا كان لديك 7 مقاعد وأخذت 2 منها، كم مقعدًا تبقى لديك؟,5
إذا كان لديك 11 ريالاً، وأنفقت 4 ريالات، كم ريالاً سيبقى لديك؟,7
إذا كان لدي 18 كتابًا ووضعت نصفها على رف واحد، كم كتابًا وضعت؟,9
في مكتبة، 25٪ من الكتب باللغة العربية و30٪ باللغة الإنجليزية والباقي بلغات أخرى. إذا كان عدد الكتب 400، فكم كتابًا بلغات أخرى؟,180
إذا كان لديك 300 ريال، وأنفقت 200 ريال، كم ريالاً سيبقى لديك؟,100
إذا كان لديك 4 سيارات ولونت واحدة منها بالأحمر، كم سيارة غير ملونة بالأحمر تبقى؟,3
إذا كان لديك 9 تفاحات وأكلت 4، كم تفاحة ستبقى لديك؟,5
إذا كان لديك 6 كعكات، وأكلت 3 منها، كم كعكة تبقى لديك؟,3
إذا كان لديك 5 أصدقاء، وكل صديق لديه 4 كرات، ثم أعطى كل واحد منهم 1 كرة، كم عدد الكرات الكلي الآن؟,20
إذا كان لديك 15 علبة، وكل علبة تحتوي على 7 أنواع من الأدوات، وكل نوع يحتوي على 5 أدوات، كم عدد الأدوات لديك؟,525
إذا كان لديك 8 كتب، وأعطيت 2. كم كتابًا ستبقى لديك؟,6
إذا كان لدي 7 تفاحات وأعطيتك 3، كم بقي معي؟,4
إذا كان لديك 5 كرات، وأضفت 3 كرات أخرى، كم عدد الكرات لديك الآن؟,8
كم عدد الأصابع في 7 أيادي؟,35
إذا كان لديك 3 صناديق وكل صندوق يحتوي على 10 كرات، ثم أضفت 5 كرات لكل صندوق، كم يصبح العدد الإجمالي؟,45
إذا كانت لديك ثلاث ألعاب وثلاث سيارات، كم عدد الأشياء؟,6
ما هو ناتج جمع الأعداد من 1 إلى 5؟,15
