category,instruction,response
storytelling,كيفاش تونس صنعت تشالنج وان بإمكانياتها الذاتية وشنوة كان دور روسيا؟,القمر الصناعي 'تشالنج وان' هو تونسي 100% من ناحية التصميم والبرمجة، والمهندسين متاع شركة 'تيلنت' هوما اللي صنعوه. الدور الروسي كان في اللوجستيك، خاطر القمر خضع لاختبارات في مراكز روسية وتم إطلاقه بصاروخ 'سويوز 2' الروسي من قاعدة بايكونور.
cultural_knowledge,شنوة الفرق بين علم الفلك والتنجيم حسب الجمعية التونسية لعلوم الفلك؟,الجمعية توضح إنو علم الفلك هو علم صحيح يتقرى في الجامعات ويعتمد على الحسابات والفيزياء. أما التنجيم فهو مجرد 'دجل' ولا فن يعتمد على قراءة الطالع ولا علاقة له بالعلم، والهدف متاعو نفسي بالأساس.
cultural_knowledge,شنوة كان تأثير المسيحية في تونس في العصور القديمة؟,المسيحية كانت موجودة بقوة في تونس (قرطاج) من القرن الثاني ميلادي. شخصيات كيف ترتليان وقبريانوس القرطاجي لعبوا دور كبير في صياغة الفكر المسيحي العالمي. الكنيسة في تونس كانت منظمة وعندها شخصية 'إفريقية أمازيغية' قوية، ووقفت ضد الظلم الروماني قبل دخول الإسلام.
cultural_knowledge,وين تجي حلق الوادي في تونس؟,حلق الوادي هي مدينة وميناء في الضاحية الشمالية لتونس العاصمة، جاية بين تونس وقرطاج. هي مشهورة بماكلة الحوت وبالتنوع التاريخي متاعها، وتلقب بـ 'صقلية الصغيرة' خاطر عاشوا فيها برشة طليان.
cultural_knowledge,شنوة هو مشروع Genome Tunisia وكيفاش باش يعاون المرضى؟,المشروع هذا يهدف لدراسة الخريطة الجينية للتوانسة. بالفهم هذا، نجموا نعرفوا الأمراض الوراثية المنتشرة في بلادنا، ونوفروا تشخيص أدق ودواء يمشي مع طبيعة البدن التونسي.
cultural_knowledge,شكونهم أهم الصحفيين الرياضيين اللي طوروا الإعلام الرياضي في تونس؟,تونس جابت صحفيين كبار كيف عبد العزيز دحمان، رؤوف بن علي، أحمد ومحمد بوغنيم، منصور غلوسي، ورفيق بن عرفة. الناس هاذي هي اللي أسست مدرسة الإعلام الرياضي التونسي في التلفزة والإذاعة والجرائد.
cultural_knowledge,كيفاش تطور حساب أوقات الصلاة في تونس من قبل لتوّة؟,قبل، التوانسة كانوا يستعملوا الإسطرلاب والمزولة الشمسية لتحديد أوقات الصلاة. وتوّة، ولينا نستعملوا الحسابات الفلكية الدقيقة بالكمبيوتر والتطبيقات، مع الحفاظ على التقاليد التونسية في الأذان والتوقيت.
cultural_knowledge,شنوة صار في أول مشاركة دولية للمنتخب التونسي بعد الاستقلال؟,بعد الاستقلال عام 1956، تأسست الجامعة التونسية لكرة القدم (1957). أول طرح دولي كان ضد منتخب جبهة التحرير الجزائرية. وفي نفس العام، شاركت تونس في الألعاب العربية وربحت ليبيا، وبعدها تأهلنا لأولمبياد روما 1960 وين ربحنا تايوان 8-1.
cultural_knowledge,كيفاش أثر الاستعمار الفرنسي على اللغة والقراية في تونس؟,الاستعمار الفرنسي خلى الفرنسية لغة الإدارة والقراية في الشعب العلمية. لليوم، التونسي يلقى روحه يحكي بالدارجة في الشارع، ويقرا بالفصحى، ويخدم بالفرنسية، وهذا عمل نوع من الازدواجية اللغوية في المجتمع.
cultural_knowledge,شنوة هي أهم خدمة قدمها ابن الرقام الأوسي في علم الفلك في تونس؟,ابن الرقام الأوسي هو عالم فلك كبير عاش في تونس، صنع جداول فلكية دقيقة وكتب 'رسالة في علم الزلال' اللي تحكي على الساعات الشمسية، وهي من أهم المخطوطات اللي بقات من حضارة الأندلس وتونس.
cultural_knowledge,شنوة هي ثاني أكبر مدينة في تونس؟,صفاقس هي ثاني أكبر مدينة في تونس من ناحية السكان والنشاط الاقتصادي، وهي معروفة بكونها عاصمة الجنوب والقطب الصناعي للبلاد.
storytelling,شنوة عملت الجمعية التونسية للفضاء بخصوص طيحة القمر الصناعي الأوروبي ERS-2؟,الجمعية طمنت التوانسة وقالت اللي تونس بعيدة على خطر الشظايا. هبطت توقيتات دقيقة لدخول القمر للغلاف الجوي بناءً على معطيات وكالة الفضاء الأوروبية، ووضحت إنو الحطام من الممكن يطيح في دول أخرى كيف الجزائر ولا السعودية.
cultural_knowledge,أعطيني فكرة على تاريخ النجم الرياضي الساحلي وأهم ألقابه؟,النجم الساحلي (ليتوال) تأسس عام 1925 في سوسة. هو جمعية كبيرة عندها 11 بطولة و10 كؤوس، وهو الفريق التونسي الوحيد اللي هز كؤوس إفريقيا الكل بمختلف تسمياتها، وشارك في كاس العالم للأندية عام 2007.
cultural_knowledge,شنوّة هو الفُول المُدَمَس في الكوجينة التونسية؟,الفول المدمس هو فول طيب حتى يولي طري برشة، يتقدم خاصة في الصباح ولا في البرد مع زيت الزيتونة والكمون وشوية هريسة عربي للي يحب الحار.
cultural_knowledge,شنوة معناها الحروب البونيقية في تاريخ تونس؟,هي سلسلة من 3 حروب كبار صارت بين قرطاج وروما (من 264 لـ 146 قبل الميلاد). كانت صراع على شكون يسيطر على المتوسط، وأشهر بطل فيها هو حنبعل البرقي اللي وصل لأسوار روما.
advice_guidance,كيفاش نجموا نستغلوا رؤية كوكب المشتري بوضوح باش نشجعوا علم الفلك في تونس؟,كي يقرب المشتري للأرض، يولي يلمع برشة في السماء. هاذي فرصة باش مدينة العلوم والجمعيات ينظموا ليلات رصد للجمهور، باش الصغار يحبوا العلم ويهتموا بدراسة الفضاء والكون.
cultural_knowledge,شنوة فايدة مشروع BIODESERT على الفلاحة في تونس؟,المشروع هذا يلوج على بكتيريا تعيش في الصحراء تنجم تعاون النباتات باش تقاوم العطش والجفاف. هذا يعاون الفلاحة التونسية باش تتأقلم مع التغير المناخي من غير ما نستعملوا برشة مواد كيميائية.
advice_guidance,هل خسوف القمر يضر العين؟ وكيفاش نشوفوه في تونس؟,خسوف القمر ما يضرش العين جملة، تنجم تتفرج فيه بلاش نظارات. هو فرصة مزيانة للتصوير وللفلكيين باش يثبتوا في حساباتهم. في تونس، يكفي تخرج لبلاصة ما فيهاش برشة ضوء وتتفرج في القمر وهو يتبدل لونه للأحمر.
cultural_knowledge,أعطيني 10 مطاعم مشهورة في تونس العاصمة؟,"من أشهر المطاعم في العاصمة:
1. دار الجلد (في المدينة العربي)
2. لي بو ام (Le Bo M)
3. إيل ريتروفو (مطعم إيطالي)
4. الوليمة
5. دار بالحاج
6. المزار
7. السلطان أحمد (ماكلة تركية)
8. لا استراجال (L'Astragale)
9. دار صلاح
10. لي زنك (Le Zinc - مشهور بالبرجر)."
cultural_knowledge,كيفاش المدارس التونسية تعاون التلامذة اللي ما يحكيوش فصحى في الدار؟,المدارس تحاول تعمل حصص دعم وتستعمل برامج تعليمية تبسط اللغة الفصحى للتلامذة، باش ينجموا يفهموا الدروس العلمية والأدبية اللي تتقرى بالعربي، ويحاولوا يقربوا بين لغة الشارع ولغة القراية.
cultural_knowledge,شنوة هي أهمية مدينة تكنولوجيا المواصلات (الغزالة) في تونس؟,"قطب الغزالة لتكنولوجيا الاتصال عنده أهمية استراتيجية كبيرة في تونس خاطر:
• يوفر بيئة باهية للشركات الناشئة (Startups) والشركات العالمية في مجال الإعلامية والاتصالات.
• يخلق فرص شغل للشباب ويخليهم يطوروا مهاراتهم في الدومين التكنولوجي.
• يعاون في تطوير البنية التحتية الرقمية ويدعم التحول الرقمي في لبلاد.
• يقوي الاقتصاد التونسي ويخلي تونس تنافس في سوق التكنولوجيا إقليمياً وعالمياً."
cultural_knowledge,شنوة هي التحديات القانونية والأخلاقية اللي يواجهها مشروع Genome Tunisia وكيفاش يحميو في معطيات الناس؟,"مشروع 'Genome Tunisia' يواجه تحديات تخص خصوصية المعلومات الجينية، وباش يضمنوا حماية المشاركين عملوا:
• لجنة خاصة (DBAC) تراقب الخدمة وتثبت في احترام المعايير الوطنية والدولية.
• لازم كل مشارك يوافق كتابياً (موافقة مستنيرة) قبل ما ياخذوا منه أي عينة.
• المعلومات تتخزن من غير أسماء (Anonymous) وباستعمال كودات قوية باش حتى حد ما يعرف مولاها.
• الالتزام بإعلان هلسنكي لضمان سلامة وحقوق العباد اللي يشاركوا في البحث."
cultural_knowledge,شنوة دور اختراع منظار الشاهد متاع محمد الأوسط العياري في توحيد رؤية الهلال؟,الدكتور محمد الأوسط العياري اخترع منظار إلكتروني اسمو 'الشاهد' يصور الهلال بدقة كبيرة لحظة ولادته. الاختراع هذا ينحي الشك والاختلاف بين الدول في تحديد بدايات الشهور كيف رمضان والعيد. الهدف منه هو توحيد المسلمين في مناسباتهم الدينية وتفادي الاختلافات اللي تصير كل عام، وإن شاء الله يتعمم باستعمال أبراج رصد في برشة دول إسلامية.
cultural_knowledge,كيفاش صفقة بيع شركة InstaDeep التونسية لشركة BioNTech الألمانية بـ 680 مليون دولار باش تأثر على تونس؟,"الصفقة هاذي تعتبر 'بومبة' إيجابية لريادة الأعمال في تونس، خاطرها:
• عطات ثقة كبيرة للشباب التونسي إنو ينجم يوصل للعالمية بالذكاء الاصطناعي.
• باش تجلب مستثمرين أجانب أكثر لتونس في قطاع التكنولوجيا.
• تعاون في نقل الخبرات والتقنيات العالية للسوق التونسية.
• تثبت إلي تونس عندها كفاءات قادرة تنافس أكبر الشركات في العالم."
cultural_knowledge,شكونو ابن الرقام الأوسي وشنوة عمل في تونس؟,ابن الرقام الأوسي هو عالم تونسي ولد في الأندلس (مرسية) عام 1250، وهو طبيب وفلكي ورياضي. بعد ما سقطت مرسية، مشى لبجاية وبعد استقر في تونس العاصمة وين كتب أهم مؤلفاته في الفلك قبل ما يكمل حياته في غرناطة. يتسمى من كبار علماء زمانه اللي عاشوا في تونس.
cultural_knowledge,شنوة هي أهم مساهمات أبو الصلت في الفلك والرياضيات في تونس؟,"أبو الصلت أمية بن عبد العزيز كان عالم موسوعي، وأهم اللي عمله:
• كتب كتاب في 'الهيئة' يحكي على حركة الكواكب وأبعادها.
• ألف كتاب على 'الأسطرلاب' ووضح اللي الفلك علم صحيح مبني على الحساب مش تنجيم.
• طور آلات فلكية كيف 'الصفيحة الجامعة' لرصد الكواكب.
• أبحاثه قعدت مرجع كبير في المكتبات العالمية وشهدت على تطور العلوم في تونس وقتها."
cultural_knowledge,تونس قداش فيها من ولاية؟,الجمهورية التونسية مقسومة لـ 24 ولاية. كل ولاية يحكمها والي يعينه رئيس الجمهورية باقتراح من وزير الداخلية، والولايات هاذي هي التقسيم الإداري الرئيسي في لبلاد.
cultural_knowledge,كيفاش تعدات السلطة في تونس بعد ما هرب بن علي؟,بعد ما خرج بن علي نهار 14 جانفي 2011، محمد الغنوشي أعلن اللي هو باش ياخذ الرئاسة مؤقتاً حسب الفصل 56. لكن المجلس الدستوري قال لا، هذا شغور نهائي ولازم نطبقوا الفصل 57، وعين فؤاد المبزع (رئيس مجلس النواب وقتها) رئيس مؤقت. بعدها صارت حكومة وحدة وطنية، ومن بعد الغنوشي استقال وجاء الباجي قائد السبسي الله يرحمه وسير لبلاد حتى صارت انتخابات المجلس التأسيسي.
cultural_knowledge,شنوة تأثير القراية في البريفيه (التعليم الخاص) على اللغة العربية في تونس؟,التعليم الخاص في تونس، خاصة المدارس اللي تتبع برامج أجنبية، يركز برشة على الفرنسية والإنجليزية. هذا ساعات يخلي مستوى التلامذة في العربية الفصحى يضعف شوية. هذاكا علاش برشة عايلات وخبراء يطالبوا باش يكون فمة توازن بين اللغات الأجنبية ولغتنا العربية باش الصغير يطلع متمكن منهم الكل.
cultural_knowledge,كيفاش بدات قصة علي بقليتي مع الرياضيات في تونس؟,علي بقليتي كان مغروم بالأرقام والألغاز من صغره. عائلته ما كانتش في الميدان أما شجعوه برشة. قرا في تونس وكمل في جامعة ميتز في فرنسا وين تعمق في الرياضيات الصحيحة. بعد ما تخرج، رجع لتونس وانضم للجامعة التونسية وساهم برشة في البحث العلمي وقرى أجيال من المهندسين والطلبة.
cultural_knowledge,أعطيني ملخص على تاريخ النادي الرياضي الصفاقسي (CSS)؟,النادي الرياضي الصفاقسي (السي أس أس) تأسس عام 1928 وكان اسمه 'النادي التونسي'. في 1962 تبدل لاسم الحالي واختاروا الألوان البيضاء والسوداء (الببيط). هو من كبار تونس، هز البطولة والكأس برشة مرات، ومشهور بلقب 'يوفنتوس العرب'. عالمياً وقارياً، هز كأس الكاف 3 مرات (2007، 2008، 2013) وعنده شعبية كبيرة في صفاقس وفي كامل تونس.
cultural_knowledge,كيفاش يحضروا التلامذة في تونس للامتحانات اللي بالفصحى؟,التحضير يكون بمراجعة القواعد (نحو وصرف) وحل نماذج متاع امتحانات قديمة. المعلمين يركزوا برشة على فهم النصوص وعلى 'الإنشاء' (التعبير الكتابي) باش التلميذ يتعلم يكتب لغة صحيحة ومنظمة، وهذا اللي يعاونهم ينجحوا في السيزيام والنوفيام والباك.
advice_guidance,كيفاش الرقمنة والإدارة الإلكترونية تنجم تعاون تونس في التنمية؟,الرقمنة تنجم تساهم في التنمية عن طريق تسهيل الخدمات الإدارية وتقليص الوقت اللي يقضيه المواطن في الإجراءات. زادة تعزز الشفافية وتنقص من الفساد خاطر العمليات الكلها تولي مسجلة وواضحة. كيما تشجع الاستثمار، على خاطر الإدارة السريعة والواضحة تعطي ثقة أكبر للمستثمرين.
cultural_knowledge,قداش من معتمدية في ولاية تونس وشنومة المناطق متاعهم؟,ولاية تونس فيها 21 معتمدية، من بينهم المدينة، باب البحر، باب سويقة، العمران، التحرير، الزهور، سيدي حسين، الكرم، حلق الوادي، المرسى، وباردو. كل معتمدية تضم عدد من الأحياء والمناطق المختلفة حسب التنظيم الإداري. إذا تحب تفاصيل أكثر على معتمدية معينة، تنجم نمدك بالمعلومات.
cultural_knowledge,شكونو المخترع التونسي اللي سجل أول براءة اختراع أمريكية في الأمن السيبراني؟,المخترع هو الدكتور عادل بوحولة، وهو باحث تونسي تمكن من تسجيل براءة اختراع في مجال الأمن السيبراني في الولايات المتحدة. الإنجاز هذا يعكس تطور الكفاءات التونسية في مجالات التكنولوجيا الحديثة، خاصة في ميدان حماية الأنظمة والمعلومات.
cultural_knowledge,شنوة هو البريك التونسي؟,البريك هو سلطان الطاولة التونسية خاصة في رمضان. هو ورقة 'ملسوقة' تتحشى وتتقلى. أشهر نوع هو 'بريكة بالعظم' (تكون مثلثة فيها عظمة، معدنوس، بصل، تن، وكبار). فمة برشة أنواع أخرى كيف بريك الصوابع (بالبطاطا ولا الدجاج). وفي التقاليد، العريس لازم ياكل البريكة من غير ما يسيّل العظمة، كان نجح معناها 'صنايعي' ويستاهل العروسة!
cultural_knowledge,كيفاش كانت مسيرة قوافل قفصة في الفوت التونسي؟,نادي القوافل الرياضية بقفصة (EGSG) تأسس عام 1967. الجمعية هاذي عاشت برشة طلعات وهبطات، لعبت في الرابطة الثانية وطلعت للرابطة الأولى برشة مرات (أول مرة في 1988). القوافل هي رمز للجهة ومشهورة بملاعبية كبار كيف الهادي فلافل ومنصف اللافي، ودائماً ما تكون 'غول' خاصة كي تلعب فوق ميدانها في قفصة.
cultural_knowledge,شنوة معناها قطب تكنولوجي وشنومة أهم الأقطاب في تونس؟,"القطب التكنولوجي (Technopole) هو بلاصة تجمع الجامعات، ومراكز البحث، والشركات باش يطوروا تكنولوجيا معينة. في تونس عندنا برشة أقطاب:
• قطب الغزالة: اختصاص اتصالات وإعلامية.
• قطب برج السدرية: اختصاص طاقة ومياه وبيئة.
• قطب سيدي ثابت: اختصاص بيوتكنولوجيا ودواء.
• قطب صفاقس: اختصاص تكنولوجيا المعلومات والطب.
• أقطاب سوسة وبنزرت: كل واحد وعنده اختصاصه الصناعي والتكنولوجي."
cultural_knowledge,كيفاش القمر الصناعي تشالينج وان قوّى علاقات تونس الدولية في الفضاء؟,مشروع 'تشالينج وان' حل بيبان لتونس مع دول كبار، خاصة روسيا اللي عاونت في الإطلاق من قاعدة بايكونور. التعاون هذا يوري اللي تونس ولات شريك موثوق فيه في تكنولوجيا الفضاء، ويفتح المجال لشراكات أخرى مع وكالات كيف 'ناسا' ولا وكالة الفضاء الأوروبية في المستقبل.
cultural_knowledge,كيفاش نطيبوا السلاطة المشوية التونسية؟,السلاطة المشوية هي 'بنة' الصيف في تونس. نشويو الفلفل (حار ولا حلو) مع الطماطم، البصل، والثوم على الكانون ولا في الفور. بعد نقشروا الخضرة ونرحيوها (ولا نهرسوها في المهراس للي يحب البنة الزمنية). نزيدوها التابل والكروية، الملح، برشة زيت زيتونة، ونزينوها بالتن والعظم المسموط والزيتون. خفيفة، صحية، وتتاكل مع خبز طابونة.
cultural_knowledge,أعطيني فكرة صغيرة على مدينة المنستير؟,المنستير مدينة ساحلية مزيانة برشة وتاريخية. هي بلاد الزعيم الحبيب بورقيبة. مشهورة بـ 'الرباط' التاريخي وبحارها النظيفة. المنستير زادة قطب جامعي وسياحي كبير، وفيها مطار دولي. تاريخياً كانت تسمى 'روسبينا' في عهد الفينيقيين، واليوم هي من أهم المدن اللي تجلب السياح والطلبة في تونس.
storytelling,شنومة تفاصيل كسوف الشمس الكلي اللي باش يصير في تونس نهار 2 أوت 2027؟,"نهار 2 أوت 2027، تونس باش تعيش حدث فلكي تاريخي وهو كسوف كلي للشمس، ويعتبر من أطول الكسوفات في القرن 21 (يوصل لـ 6 دقائق و23 ثانية). أحسن بلاصة لمشاهدة الكسوف باش تكون جزر قرقنة. 
أهم المعلومات:
- **التاريخ**: 2 أوت 2027.
- **الوقت**: يبدأ الظلام التام مع العشرة وسبعة دقائق صباحاً (UTC).
- **شنوة باش يصير**: القمر باش يغطي الشمس كاملة، الدنيا تظلم في القايلة وباش نشوفوا 'الإكليل الشمسي'. الكسوف هذا فرصة كبيرة للعلماء والهواة في تونس باش يدرسوا الشمس."
cultural_knowledge,قداش من معتمدية في ولاية أريانة وشنومة المناطق اللي فيهم؟,"ولاية أريانة مقسومة كالتالي:
• **أريانة المدينة**: فيها 9 مناطق (أريانة الجديدة، أريانة العليا، المنزه 5 و6، النصر 1 و2، الياسمينة..).
• **سكرة**: فيها 7 مناطق (دار فضال، البساتين، شطرانة، برج الوزير..).
• **رواد**: فيها 7 مناطق (الغزالة، جعفر، النخيلات، رواد الشاطئ، برج الطويل..).
• **قلعة الأندلس**: فيها 6 مناطق (القنطرة، الحسيان، النحلي..).
• **سيدي ثابت**: فيها 5 مناطق (بجاوة، سبالة بن عمار، شرفش..).
• **حي التضامن**: فيها 9 مناطق (18 جانفي، 2 مارس، المنحي سليم..).
• **المنيهلة**: فيها 5 مناطق (المنيهلة، الرفاهة، البساتين..)."
cultural_knowledge,شكونو رئيس جامعة الكرة الطائرة الجديد وكيفاش ربح الانتخابات؟,عبد المجيد جراد هو اللي ربح رئاسة الجامعة التونسية للكرة الطائرة للفترة 2024-2028. الانتخابات صارت في دار الجامعات وجاب 121 صوت. عبد المجيد دخل بقائمة وحيدة بعد ما 'الكناس' (هيئة التحكيم الرياضي) نحّات قائمة منافسه رشيد الباروني خاطر فمة زوز أعضاء ما عندهمش الأقدمية اللي يفرضها القانون.
advice_guidance,كيفاش الظواهر الفلكية النادرة تنجم تعاون في نشر علم الفلك في تونس؟,"الحاجات هاذي كيف 'كسوف الشمس' ولا 'مرور عطارد' تجلب انتباه العباد وتخلي علم الفلك يولي معروف أكثر عن طريق:
• تغطية الإعلام اللي تخلي الناس تسأل وتفهم.
• الجمعية التونسية لعلوم الفلك تنظم خرجات للرصد وتوري الناس بالتلسكوبات.
• تشجع الصغار والشباب باش يوليوا يحبوا العلوم والبحث عن الفضاء.
• تلهم التلامذة باش يختاروا اختصاصات علمية وتكنولوجية (STEM)."
cultural_knowledge,شنوة هو مشروع Genome Tunisia وعلاش مهم للطب في تونس؟,"مشروع 'Genome Tunisia' بدأ في 2019 وباش يكمل لـ 2035. هدفه هو دراسة 'الجينات' متاع التوانسة (الخريطة الجينية). 
أهميته:
• يخلي الأطباء يفهموا الأمراض الوراثية في تونس بالباهي.
• يعاون في 'الطب الدقيق'، يعني يعطيو لكل مريض دواء يمشي مع جيناته هو بالذات.
• يطور البحث العلمي ويخلي عندنا 'بنك بيولوجي' مخزن فيه المعلومات الجينية للتوانسة للضرورة الطبية."
storytelling,شكوني الدكتورة لينا نصيب وشنومة أهم إنجازاتها؟,"الدكتورة لينا نصيب هي عالمة فيزياء تونسية عالمية، ربحت جائزة 'فالي' في 2023. هي دكتورة في الفيزياء النظرية وقرات في أحسن جامعات العالم (MIT و Caltech). 
إنجازاتها:
• اكتشفت بنية نجمية كبيرة وعملت طرق جديدة لدراسة 'المادة المظلمة' في الكون.
• عندها قناة يوتيوب اسمها 'قعدة فلكية' تفسر فيها علم الفلك بالدارجة التونسية باش تشجع الشباب والنساء يدخلوا لميدان العلوم."
cultural_knowledge,شنوة دور المنظمات الدولية في معاونة تونس في مشاكل الهجرة والبيئة؟,"المنظمات الدولية تنجم تعاون تونس عن طريق:
• تمويل مشاريع الفلاحة المستدامة والطاقة النظيفة.
• دعم الجمعيات اللي تخدم على قضايا المناخ.
• ربط الكفاءات التونسية بالخارج بمشاريع تنموية في بلادهم.
• معاونة العباد في المناطق المتضررة من التغيرات المناخية باش ما يضطروش للهجرة."
cultural_knowledge,كيفاش تلعب أنس جابر التنس وشنوة دور المدربين معاها؟,"أنس جابر معروفة بلقب 'وزيرة السعادة' وبطريقة لعبها 'المهبولة' المليانة إبداع:
• تستعمل برشة 'Amortis' (الضربات القصيرة) والضربات المفاجئة اللي تغدر الخصم.
• تلعب بذكاء وتنويع كبير مش كان قوة.
بالنسبة للمدربين، عصام جلالي كان عنده دور كبير في تأطيرها وفهم شخصيتها في التيران، وبرتراند بيريت عاونها زادة باش تطور من غير ما يقتل فيها روح الإبداع واللعب العفوي."
cultural_knowledge,شنومة الفاحات (البهارات) اللي نستعملوها في الكوجينة التونسية؟,"الفاح التونسي هو سر البنة، وأهمهم:
• التابل والكروية (أساس برشة طناجر).
• الفلفل زينة (بابريكا)، فلفل أكحل، وكركم.
• الكمون (ضروري للحوت واللبلابي).
• الرند، شوش الورد، والقرفة.
وطبعاً ما ننساوش 'الهريسة العربي' اللي مفوحة بالثوم والتابل وهي اللي تعطي الحرورية واللون للأكل التونسي."
cultural_knowledge,أعطيني لمحة على تاريخ تونس القديم؟,"تاريخ تونس غني وعاشوا فيه برشة حضارات:
1. **العهد القرطاجي**: الملكة عليسة أسست قرطاج، اللي ولات أقوى إمبراطورية بحرية، وعرفنا فيها القائد حنبعل.
2. **العهد الروماني**: روما هدمت قرطاج وبعد عاودت بناتها، وتونس كانت تسمى 'مطمور روما' من كثرة الخير والزيت والقمح.
3. **الوندال والبيزنطيين**: جاو قبايل الوندال وبعدهم البيزنطيين اللي حكموا لبلاد حتى وصل الفتح الإسلامي في القرن السابع.
كل حضارة خلات وراها آثار كيف 'قصر الجم' و'دقة' وفسيفساء باردو."
